web-scraper-order,web-scraper-start-url,games,games-href,League,Teams,Date,ODDH,ODDD,ODDA,ODD_1X,ODD_12,ODD_X2,ODD_BthScore_Yes,ODD_BthScore_No,ODD_+25,ODD_-25
"1594828429-36","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



18:30

                    Itália - Serie A
                
                Sampdoria - Cagliari
            

            
            
                

    Resultado
    
        
            
    
        Samp
        doria
    
    1,84
    


            
    
        Emp
        ate
    
    3,68
    


            
    
        Cagl
        iari
    
    4,28
    


        
    


                

    Resultado duplo
    
        
            
    
        Sampdoria ou em
        pate
    
    1,22
    


            
    
        Sampdoria ou Cagl
        iari
    
    1,27
    


            
    
        Cagliari ou em
        pate
    
    1,90
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/sampdoria-cagliari-m2563537","Itália - Serie A","Sampdoria - Cagliari","Hoje



18:30","1,84","3,68","4,28","1,22","1,27","1,90","1,68","1,85","1,75","1,80"
"1594828352-21","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


20:00

                    Espanha - La Liga
                
                Bétis - Alavés
            

            
            
                

    Resultado
    
        
            
    
        Bé
        tis
    
    2,29
    


            
    
        Emp
        ate
    
    3,12
    


            
    
        Ala
        vés
    
    3,00
    


        
    


                

    Resultado duplo
    
        
            
    
        Bétis ou em
        pate
    
    1,32
    


            
    
        Bétis ou Al
        avés
    
    1,32
    


            
    
        Alavés ou em
        pate
    
    1,52
    


        
    


                
    186
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/betis-alaves-m2566949","Espanha - La Liga","Bétis - Alavés","Amanhã


20:00","2,29","3,12","3,00","1,32","1,32","1,52","1,75","1,75","1,95","1,58"
"1594828409-32","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



20:15

                    Inglaterra - Premier Lg.
                
                Arsenal - Liverpool
            

            
            
                

    Resultado
    
        
            
    
        Ars
        enal
    
    3,80
    


            
    
        Emp
        ate
    
    3,87
    


            
    
        Live
        rpool
    
    1,89
    


        
    


                

    Resultado duplo
    
        
            
    
        Arsenal ou em
        pate
    
    1,85
    


            
    
        Arsenal ou Liver
        pool
    
    1,25
    


            
    
        Liverpool ou em
        pate
    
    1,27
    


        
    


                
    200
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/arsenal-liverpool-m2554367","Inglaterra - Premier Lg.","Arsenal - Liverpool","Hoje



20:15","3,80","3,87","1,89","1,85","1,25","1,27","1,45","2,20","1,50","2,15"
"1594828404-31","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



20:45

                    Itália - Serie A
                
                Udinese - Lazio
            

            
            
                

    Resultado
    
        
            
    
        Udi
        nese
    
    3,65
    


            
    
        Emp
        ate
    
    3,53
    


            
    
        La
        zio
    
    2,02
    


        
    


                

    Resultado duplo
    
        
            
    
        Udinese ou em
        pate
    
    1,72
    


            
    
        Udinese ou L
        azio
    
    1,28
    


            
    
        Lazio ou em
        pate
    
    1,28
    


        
    


                
    199
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/udinese-lazio-m2563536","Itália - Serie A","Udinese - Lazio","Hoje



20:45","3,65","3,53","2,02","1,72","1,28","1,28","1,58","2,00","1,68","1,88"
"1594828357-22","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


20:00

                    Espanha - La Liga
                
                Real Sociedad - Sevilha
            

            
            
                

    Resultado
    
        
            
    
        Real Soci
        edad
    
    2,24
    


            
    
        Emp
        ate
    
    3,25
    


            
    
        Sev
        ilha
    
    2,97
    


        
    


                

    Resultado duplo
    
        
            
    
        Real Sociedad ou em
        pate
    
    1,32
    


            
    
        Real Sociedad ou Sev
        ilha
    
    1,30
    


            
    
        Sevilha ou em
        pate
    
    1,55
    


        
    


                
    194
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/real-sociedad-sevilha-m2566948","Espanha - La Liga","Real Sociedad - Sevilha","Amanhã


20:00","2,24","3,25","2,97","1,32","1,30","1,55","1,62","1,90","1,75","1,72"
"1594828387-28","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



20:45

                    Itália - Serie A
                
                Sassuolo - Juventus
            

            
            
                

    Resultado
    
        
            
    
        Sass
        uolo
    
    4,85
    


            
    
        Emp
        ate
    
    4,25
    


            
    
        Juve
        ntus
    
    1,64
    


        
    


                

    Resultado duplo
    
        
            
    
        Sassuolo ou em
        pate
    
    2,15
    


            
    
        Sassuolo ou Juve
        ntus
    
    1,22
    


            
    
        Juventus ou em
        pate
    
    1,18
    


        
    


                
    201
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/sassuolo-juventus-m2563542","Itália - Serie A","Sassuolo - Juventus","Hoje



20:45","4,85","4,25","1,64","2,15","1,22","1,18","1,48","2,15","1,45","2,30"
"1594828392-29","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



20:45

                    Itália - Serie A
                
                Lecce - Fiorentina
            

            
            
                

    Resultado
    
        
            
    
        Le
        cce
    
    3,25
    


            
    
        Emp
        ate
    
    3,67
    


            
    
        Fioren
        tina
    
    2,12
    


        
    


                

    Resultado duplo
    
        
            
    
        Lecce ou em
        pate
    
    1,70
    


            
    
        Lecce ou Fioren
        tina
    
    1,30
    


            
    
        Fiorentina ou em
        pate
    
    1,35
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/lecce-fiorentina-m2563540","Itália - Serie A","Lecce - Fiorentina","Hoje



20:45","3,25","3,67","2,12","1,70","1,30","1,35","1,45","2,20","1,52","2,10"
"1594828382-27","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



21:30

                    Portugal - Primeira Liga
                
                FC Porto - Sporting
            

            
            
                

    Resultado
    
        
            
    
        FC P
        orto
    
    1,79
    


            
    
        Emp
        ate
    
    3,70
    


            
    
        Spor
        ting
    
    5,25
    


        
    


                

    Resultado duplo
    
        
            
    
        FC Porto ou em
        pate
    
    1,19
    


            
    
        FC Porto ou Spor
        ting
    
    1,30
    


            
    
        Sporting ou em
        pate
    
    2,05
    


        
    


                
    216
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/fc-porto-sporting-m2567336","Portugal - Primeira Liga","FC Porto - Sporting","Hoje



21:30","1,79","3,70","5,25","1,19","1,30","2,05","1,80","1,78","1,85","1,72"
"1594828414-33","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Hoje



19:15

                    Portugal - Primeira Liga
                
                Braga - Belenenses
            

            
            
                

    Resultado
    
        
            
    
        Br
        aga
    
    1,28
    


            
    
        Emp
        ate
    
    6,00
    


            
    
        Belene
        nses
    
    10,75
    


        
    


                

    Resultado duplo
    
        
            
    
        Braga ou em
        pate
    
    1,07
    


            
    
        Braga ou Belene
        nses
    
    1,13
    


            
    
        Belenenses ou em
        pate
    
    3,60
    


        
    


                
    215
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/braga-belenenses-m2563491","Portugal - Primeira Liga","Braga - Belenenses","Hoje



19:15","1,28","6,00","10,75","1,07","1,13","3,60","1,82","1,75","1,42","2,35"
"1594828377-26","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


17:30

                    Espanha - La Liga
                
                Eibar - Real Valladolid
            

            
            
                

    Resultado
    
        
            
    
        Ei
        bar
    
    2,14
    


            
    
        Emp
        ate
    
    3,00
    


            
    
        Real Vallad
        olid
    
    3,47
    


        
    


                

    Resultado duplo
    
        
            
    
        Eibar ou em
        pate
    
    1,27
    


            
    
        Eibar ou Real Vallad
        olid
    
    1,32
    


            
    
        Real Valladolid ou em
        pate
    
    1,60
    


        
    


                
    186
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/eibar-real-valladolid-m2567006","Espanha - La Liga","Eibar - Real Valladolid","Amanhã


17:30","2,14","3,00","3,47","1,27","1,32","1,60","1,90","1,62","2,15","1,45"
