League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
Ligue_1,2020-09-12,1600,Montpellier,Nice,2.05,3.25,3.5,1.9,1.6,1.72,1.75,1.26,None,1.67,2020-09-12,1546
RFPL,2020-09-12,1700,FC Akhmat Grozny,PFC Sochi,2.5,3.2,2.74,1.91,1.57,1.7,1.75,1.40,None,1.47,2020-09-12,1552
Premier_League,2020-09-12,1730,Liverpool,Leeds United,1.33,5.75,8.0,1.45,2.37,1.72,1.83,1.05,None,3.15,2020-09-12,1603
La_Liga,2020-09-12,1730,Granada CF,Athletic Bilbao,2.94,2.94,2.72,2.65,1.36,2.1,1.53,1.42,None,1.36,2020-09-12,1555
Eredivisie,2020-09-12,1745,SC Heerenveen,Willem II Tilburg,1.95,3.55,3.5,1.55,2.0,1.47,2.13,1.26,None,1.75,2020-09-12,1540
Eredivisie,2020-09-12,1900,PEC Zwolle,Feyenoord,4.33,4.0,1.67,1.47,2.15,1.47,2.12,2.05,None,1.18,2020-09-12,1540
Ligue_1,2020-09-12,2000,Saint-Etienne,Estrasburgo,2.05,3.15,3.65,2.05,1.5,1.8,1.67,1.24,None,1.7,2020-09-12,1546
Premier_League,2020-09-12,2000,West Ham,Newcastle,1.91,3.65,3.95,1.75,1.85,1.65,1.91,1.22,None,1.83,2020-09-12,1603
La_Liga,2020-09-12,2000,Cadiz CF,CA Osasuna,2.92,2.76,2.67,2.65,1.33,2.13,1.5,1.42,None,1.35,2020-09-12,1555
Eredivisie,2020-09-12,2000,FC Twente Enschede,Fortuna Sittard,1.83,3.6,3.9,1.57,1.95,1.53,2.02,1.21,None,1.88,2020-09-12,1540
Eredivisie,2020-09-13,1115,FC Emmen,VVV Venlo,1.87,3.55,3.8,1.67,1.8,1.6,1.91,1.22,None,1.83,2020-09-12,1540
Ligue_1,2020-09-13,1200,Lille,FC Metz,1.55,3.75,5.9,1.95,1.57,2.02,1.53,1.09,None,2.3,2020-09-12,1546
La_Liga,2020-09-13,1300,Alaves,Betis,2.92,3.1,2.4,2.0,1.6,1.75,1.8,1.50,None,1.35,2020-09-12,1555
Eredivisie,2020-09-13,1330,Sparta Rotterdam,Ajax,9.0,6.15,1.24,1.23,2.96,1.53,2.04,3.65,None,1.03,2020-09-12,1540
Eredivisie,2020-09-13,1330,Heracles Almelo,Den Haag,1.72,3.8,4.2,1.57,1.95,1.53,2.0,1.19,None,2.0,2020-09-12,1540
Ligue_1,2020-09-13,1400,Angers,Stade Reims,2.25,2.94,3.35,2.40,1.36,2.02,1.53,1.28,None,1.55,2020-09-12,1546
Premier_League,2020-09-13,1400,West Brom,Leicester,3.6,3.45,1.95,1.78,1.75,1.65,1.9,1.75,None,1.25,2020-09-12,1603
Ligue_1,2020-09-13,1400,Nimes,Rennes,3.15,3.15,2.25,2.0,1.55,1.75,1.72,1.57,None,1.31,2020-09-12,1546
Ligue_1,2020-09-13,1400,FC Lorient,RC Lens,2.16,3.15,3.35,2.02,1.53,1.78,1.7,1.28,None,1.63,2020-09-12,1546
Ligue_1,2020-09-13,1400,Dijon,Stade Brestois 29,2.68,3.1,2.6,1.91,1.6,1.67,1.8,1.44,None,1.42,2020-09-12,1546
RFPL,2020-09-13,1430,Dinamo Moscovo,Rubin Kazan,2.12,3.0,3.65,2.2,1.42,1.9,1.57,1.24,None,1.65,2020-09-12,1552
La_Liga,2020-09-13,1500,Real Valladolid,Real Sociedad,2.76,3.15,2.5,2.12,1.53,1.83,1.72,1.47,None,1.38,2020-09-12,1555
Eredivisie,2020-09-13,1545,FC Groningen,PSV Eindhoven,3.4,3.35,2.05,1.8,1.67,1.65,1.85,1.67,None,1.27,2020-09-12,1540
Eredivisie,2020-09-13,1545,RKC Waalwijk,Vitesse,4.45,4.0,1.65,1.42,2.25,1.44,2.2,2.11,None,1.17,2020-09-12,1540
Ligue_1,2020-09-13,1600,Monaco,Nantes,1.91,3.35,3.85,1.85,1.65,1.7,1.78,1.22,None,1.8,2020-09-12,1546
Premier_League,2020-09-13,1630,Tottenham,Everton,1.88,3.35,4.0,1.83,1.72,1.7,1.85,1.21,None,1.83,2020-09-12,1603
RFPL,2020-09-13,1700,CSKA Moscovo,Spartak Moscovo,2.4,3.15,2.9,1.85,1.61,1.65,1.8,1.36,None,1.5,2020-09-12,1552
RFPL,2020-09-13,1700,Rotor Volgograd,Krasnodar,6.3,4.15,1.47,1.83,1.63,1.95,1.55,2.50,None,1.08,2020-09-12,1552
La_Liga,2020-09-13,1730,Villarreal,Huesca,1.55,4.05,5.3,1.67,1.87,1.75,1.8,1.12,None,2.25,2020-09-12,1555
La_Liga,2020-09-13,2000,Valencia,Levante,2.05,3.3,3.4,1.7,1.85,1.55,2.05,1.27,None,1.67,2020-09-12,1555
Ligue_1,2020-09-13,2000,PSG,Marselha,1.67,3.8,4.65,1.53,2.02,1.53,2.04,1.16,None,2.1,2020-09-12,1546
RFPL,2020-09-14,1630,Zenit Sao Petersburgo,Arsenal Tula,1.26,5.45,10.0,1.61,1.85,2.14,1.44,1.03,None,3.55,2020-09-12,1552
Premier_League,2020-09-14,1800,Sheffield United,Wolverhampton,3.25,2.92,2.33,2.40,1.4,2.02,1.57,1.53,None,1.28,2020-09-12,1603
RFPL,2020-09-14,1830,Rostov,Lokomotiv Moscovo,2.52,3.05,2.82,1.91,1.57,1.67,1.78,1.38,None,1.45,2020-09-12,1552
Premier_League,2020-09-14,2015,Brighton,Chelsea,4.7,4.05,1.61,1.67,1.88,1.7,1.85,2.17,None,1.16,2020-09-12,1603
Ligue_1,2020-09-15,2000,Montpellier,Lyon,3.55,3.1,2.1,1.87,1.63,1.67,1.8,1.65,None,1.25,2020-09-12,1546
Ligue_1,2020-09-16,2000,PSG,FC Metz,1.09,9.0,19.5,1.16,3.7,1.88,1.67,-,None,6.2,2020-09-12,1546
Ligue_1,2020-09-17,2000,Marselha,Saint-Etienne,1.83,3.3,4.35,1.9,1.6,1.75,1.72,1.18,None,1.88,2020-09-12,1546
RFPL,2020-09-18,1800,Krasnodar,FK Khimki,1.33,4.75,8.5,1.65,1.8,2.0,1.53,1.04,None,3.05,2020-09-12,1552
Eredivisie,2020-09-18,1900,VVV Venlo,FC Utrecht,3.45,3.9,1.87,1.4,2.3,1.38,2.35,1.83,None,1.26,2020-09-12,1540
Bundesliga,2020-09-18,1930,Bayern Munique,FC Schalke 04,1.13,8.0,14.5,1.17,3.65,1.67,1.88,1.02,None,5.25,2020-09-12,1543
Ligue_1,2020-09-18,2000,Lyon,Nimes,1.44,4.35,6.35,1.67,1.8,1.83,1.65,1.08,None,2.56,2020-09-12,1546
Premier_League,2020-09-19,1230,Everton,West Brom,1.6,3.95,5.05,1.57,2.02,1.61,1.95,1.13,None,2.2,2020-09-12,1603
Bundesliga,2020-09-19,1430,1. FC Union Berlin,Augsburgo,2.17,3.25,3.2,1.88,1.67,1.7,1.85,1.30,None,1.61,2020-09-12,1543
RFPL,2020-09-19,1430,Ural Sverdlovskaya Oblast,Zenit Sao Petersburgo,6.3,4.1,1.47,1.57,1.91,1.67,1.78,2.45,None,1.08,2020-09-12,1552
