League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Championship,2020-10-16,1945,Derby County,Watford,3.05,3.25,2.25,1.87,1.63,1.67,1.8,1.57,None,1.33,None,2020-10-04,2251
Premier_League,2020-10-17,1230,Everton,Liverpool,3.8,4.0,1.75,1.44,2.3,1.44,2.3,1.91,None,1.22,None,2020-10-04,2309
Serie_A,2020-10-17,1400,Napoles,Atalanta,2.45,3.6,2.54,1.38,2.45,1.33,2.65,1.45,None,1.47,None,2020-10-04,2308
Bundesliga,2020-10-17,1430,Mainz 05,Bayer Leverkusen,4.95,3.9,1.61,1.38,2.45,1.42,2.37,2.18,None,1.14,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Augsburgo,RB Leipzig,5.4,4.1,1.53,1.44,2.3,1.5,2.16,2.33,None,1.12,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Borussia Monchengladbach,Wolfsburgo,1.88,3.55,3.75,1.60,2.0,1.53,2.12,1.22,None,1.83,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Hoffenheim,Borussia Dortmund,4.15,3.9,1.72,1.36,2.54,1.36,2.52,2.02,None,1.19,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Friburgo,Werder Bremen,2.25,3.3,3.05,1.78,1.75,1.61,1.95,1.33,None,1.57,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,FC Schalke 04,1. FC Union Berlin,2.6,3.15,2.63,1.87,1.67,1.65,1.9,1.42,None,1.44,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Arminia Bielefeld,Bayern Munique,11.5,6.5,1.19,1.26,3.0,1.63,1.95,4.15,None,1.02,None,2020-10-04,2247
Bundesliga,2020-10-17,1430,Hertha Berlin,Estugarda,2.05,3.5,3.25,1.53,2.11,1.44,2.3,1.30,None,1.67,None,2020-10-04,2247
Championship,2020-10-17,1500,Bournemouth,Queens Park Rangers,1.85,3.4,4.05,1.75,1.72,1.63,1.87,1.20,None,1.85,None,2020-10-04,2251
Championship,2020-10-17,1500,Barnsley FC,Bristol City,2.54,3.3,2.6,1.78,1.7,1.61,1.9,1.44,None,1.45,None,2020-10-04,2251
Championship,2020-10-17,1500,Rotherham,Norwich City,3.5,3.3,2.04,1.75,1.72,1.6,1.9,1.70,None,1.26,None,2020-10-04,2251
Premier_League,2020-10-17,1500,Sheffield United,Fulham,1.95,3.2,4.0,2.04,1.57,1.83,1.72,1.21,None,1.78,None,2020-10-04,2309
Championship,2020-10-17,1500,Wycombe,Millwall FC,3.95,3.5,1.85,1.75,1.72,1.65,1.83,1.85,None,1.21,None,2020-10-04,2251
Championship,2020-10-17,1500,Brentford FC,Coventry City,1.7,3.65,4.7,1.67,1.8,1.65,1.85,1.15,None,2.04,None,2020-10-04,2251
Championship,2020-10-17,1500,Blackburn Rovers,Nottingham Forest,2.05,3.35,3.4,1.91,1.6,1.72,1.75,1.27,None,1.67,None,2020-10-04,2251
Premier_League,2020-10-17,1500,Chelsea,Southampton,1.5,4.4,5.4,1.45,2.25,1.55,2.05,1.12,None,2.4,None,2020-10-04,2309
Championship,2020-10-17,1500,Middlesbrough,Reading,2.15,3.15,3.35,1.95,1.57,1.72,1.75,1.28,None,1.63,None,2020-10-04,2251
Premier_League,2020-10-17,1500,West Brom,Burnley,2.4,3.15,2.9,2.00,1.6,1.75,1.8,1.36,None,1.5,None,2020-10-04,2309
Premier_League,2020-10-17,1500,Leicester,Aston Villa,1.72,3.75,4.33,1.55,2.05,1.53,2.11,1.18,None,2.0,None,2020-10-04,2309
Premier_League,2020-10-17,1500,Newcastle,Manchester United,4.45,3.65,1.72,1.72,1.83,1.67,1.87,2.00,None,1.17,None,2020-10-04,2309
Championship,2020-10-17,1500,Swansea City,Huddersfield,2.05,3.25,3.5,1.90,1.61,1.7,1.78,1.26,None,1.67,None,2020-10-04,2251
Championship,2020-10-17,1500,Birmingham,Sheffield Wednesday,2.56,3.0,2.8,1.95,1.57,1.7,1.78,1.38,None,1.45,None,2020-10-04,2251
