League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Ligue_1,2020-10-16,1800,Dijon,Rennes,4.75,3.45,1.72,1.80,1.67,1.72,1.75,2.00,None,1.15,None,2020-10-09,1537
Championship,2020-10-16,1945,Derby County,Watford,3.15,3.25,2.19,1.90,1.61,1.7,1.78,1.60,None,1.31,None,2020-10-09,1539
Ligue_1,2020-10-16,2000,Nimes,PSG,9.5,6.45,1.22,1.26,2.8,1.63,1.87,3.85,None,1.03,None,2020-10-09,1537
Premiership,2020-10-17,1230,Celtic,Rangers,2.25,3.3,3.0,1.78,1.70,1.61,1.88,1.33,None,1.57,None,2020-10-09,1542
Premier_League,2020-10-17,1230,Everton,Liverpool,3.65,3.85,1.83,1.45,2.25,1.42,2.33,1.87,None,1.24,None,2020-10-09,1601
Serie_A,2020-10-17,1400,Napoles,Atalanta,2.4,3.75,2.52,1.36,2.54,1.32,2.68,1.47,None,1.5,None,2020-10-09,1600
Bundesliga,2020-10-17,1430,Mainz 05,Bayer Leverkusen,4.9,4.0,1.6,1.38,2.45,1.42,2.35,2.20,None,1.14,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,FC Schalke 04,1. FC Union Berlin,2.63,3.15,2.62,1.87,1.67,1.65,1.9,1.42,None,1.42,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Augsburgo,RB Leipzig,5.4,4.15,1.53,1.44,2.3,1.5,2.16,2.33,None,1.12,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Hertha Berlin,Estugarda,2.05,3.5,3.25,1.53,2.12,1.45,2.25,1.28,None,1.67,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Friburgo,Werder Bremen,2.2,3.4,3.0,1.72,1.83,1.57,2.02,1.33,None,1.57,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Hoffenheim,Borussia Dortmund,4.05,3.95,1.72,1.33,2.64,1.33,2.62,2.00,None,1.2,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Arminia Bielefeld,Bayern Munique,11.5,6.7,1.19,1.23,3.15,1.6,2.0,4.25,None,1.02,None,2020-10-09,1534
Bundesliga,2020-10-17,1430,Borussia Monchengladbach,Wolfsburgo,1.85,3.65,3.75,1.57,2.02,1.53,2.11,1.23,None,1.85,None,2020-10-09,1534
Championship,2020-10-17,1500,Middlesbrough,Reading,2.16,3.05,3.45,2.02,1.53,1.75,1.72,1.26,None,1.63,None,2020-10-09,1539
Premier_League,2020-10-17,1500,Sheffield United,Fulham,2.0,3.15,3.8,2.05,1.55,1.85,1.7,1.22,None,1.72,None,2020-10-09,1601
Premier_League,2020-10-17,1500,Leicester,Aston Villa,1.78,3.65,4.1,1.50,2.13,1.47,2.2,1.19,None,1.95,None,2020-10-09,1601
Championship,2020-10-17,1500,Blackburn Rovers,Nottingham Forest,1.9,3.35,3.95,1.95,1.57,1.78,1.7,1.21,None,1.8,None,2020-10-09,1539
Championship,2020-10-17,1500,Barnsley FC,Bristol City,2.58,3.2,2.62,1.78,1.70,1.6,1.9,1.42,None,1.45,None,2020-10-09,1539
Championship,2020-10-17,1500,Swansea City,Huddersfield,2.02,3.15,3.75,1.90,1.61,1.7,1.78,1.23,None,1.72,None,2020-10-09,1539
Premier_League,2020-10-17,1500,Newcastle,Manchester United,4.45,3.95,1.67,1.63,1.95,1.63,1.95,2.05,None,1.17,None,2020-10-09,1601
Championship,2020-10-17,1500,Bournemouth,Queens Park Rangers,1.72,3.5,4.7,1.72,1.75,1.67,1.8,1.15,None,2.0,None,2020-10-09,1539
Premier_League,2020-10-17,1500,West Brom,Burnley,2.33,3.2,2.94,1.95,1.63,1.72,1.83,1.35,None,1.53,None,2020-10-09,1601
Championship,2020-10-17,1500,Brentford FC,Coventry City,1.65,3.65,5.0,1.67,1.80,1.65,1.83,1.14,None,2.1,None,2020-10-09,1539
Premiership,2020-10-17,1500,Dundee United,Aberdeen FC,3.45,3.15,2.12,1.95,1.57,1.72,1.75,1.65,None,1.26,None,2020-10-09,1542
Premiership,2020-10-17,1500,St Mirren,Motherwell FC,3.0,3.3,2.25,1.91,1.60,1.7,1.78,1.55,None,1.33,None,2020-10-09,1542
Championship,2020-10-17,1500,Rotherham,Norwich City,3.35,3.2,2.14,1.75,1.72,1.6,1.91,1.63,None,1.28,None,2020-10-09,1539
Championship,2020-10-17,1500,Birmingham,Sheffield Wednesday,2.6,2.94,2.82,2.02,1.53,1.72,1.75,1.38,None,1.44,None,2020-10-09,1539
