,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1600687289-57,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Birmingham
              
                Rotherham",https://www.betano.pt/odds/birmingham-rotherham/6347434/,Championship,"Sábado, 26 Setembro 2020 15:00",Birmingham,Rotherham,2.2,3.1,3.3,2.02,1.53,Mais de2.5,1.33,2.52,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.28,1.28,1.6,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
1,1600687536-82,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Huesca
              
                Atlético de Madrid",https://www.betano.pt/odds/huesca-atletico-de-madrid/6567509/,LaLiga,"Quarta-feira, 30 Setembro 2020 18:00",Huesca,Atlético de Madrid,5.7,3.4,1.63,2.1,1.53,Mais de2.5,1.36,2.54,Mais de1.5,3.65,1.17,Mais de3.5,2.02,1.57,Ambas Equipas Marcam (Sim/Não),2.13,1.24,1.1,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
2,1600688124-145,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Sheffield United
              
                Leeds United",https://www.betano.pt/odds/sheffield-united-leeds-united/6397040/,Premier League,"Domingo, 27 Setembro 2020 12:00",Sheffield United,Leeds United,2.58,3.25,2.6,1.88,1.67,Mais de2.5,1.28,2.86,Mais de1.5,3.2,1.22,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.44,1.26,1.44,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:33"
3,1600687235-51,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Watford
              
                Luton Town",https://www.betano.pt/odds/watford-luton-town/6347480/,Championship,"Sábado, 26 Setembro 2020 15:00",Watford,Luton Town,1.67,3.55,4.9,1.8,1.67,Mais de2.5,1.25,2.86,Mais de1.5,2.96,1.23,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.14,1.21,2.05,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:18"
4,1600687501-78,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Villarreal
              
                Alavés",https://www.betano.pt/odds/villarreal-alaves/6567513/,LaLiga,"Quarta-feira, 30 Setembro 2020 18:00",Villarreal,Alavés,1.57,3.75,5.5,1.95,1.63,Mais de2.5,1.3,2.8,Mais de1.5,3.35,1.2,Mais de3.5,1.95,1.63,Ambas Equipas Marcam (Sim/Não),1.11,1.2,2.2,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
5,1600687088-35,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Saint-Étienne
              
                Rennes",https://www.betano.pt/odds/saint-etienne-rennes/6374162/,Ligue 1,"Sábado, 26 Setembro 2020 16:00",Saint-Étienne,Rennes,2.66,2.94,2.74,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.4,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.40,1.3,1.42,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:16"
6,1600687901-121,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AS Roma
              
                Juventus",https://www.betano.pt/odds/as-roma-juventus/6470822/,Série A,"Domingo, 27 Setembro 2020 19:45",AS Roma,Juventus,3.45,3.5,2.0,1.61,1.95,Mais de2.5,1.18,3.55,Mais de1.5,2.45,1.38,Mais de3.5,1.5,2.13,Ambas Equipas Marcam (Sim/Não),1.72,1.23,1.27,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:30"
7,1600687846-116,https://www.betano.pt/sport/futebol/eua/mls/195161/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Segunda-feira, 21 Setembro 2020 12:30"
8,1600687510-79,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Sevilha
              
                Levante",https://www.betano.pt/odds/sevilha-levante/6567512/,LaLiga,"Quarta-feira, 30 Setembro 2020 18:00",Sevilha,Levante,1.53,4.0,5.65,1.7,1.85,Mais de2.5,1.21,3.3,Mais de1.5,2.72,1.31,Mais de3.5,1.75,1.78,Ambas Equipas Marcam (Sim/Não),1.10,1.18,2.35,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:24"
9,1600687864-117,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Lázio
              
                Atalanta",https://www.betano.pt/odds/lazio-atalanta/6400671/,Série A,"Quarta-feira, 30 Setembro 2020 19:45",Lázio,Atalanta,2.37,3.4,2.74,2.13,1.5,Mais de3.5,1.13,4.1,Mais de1.5,1.47,2.2,Mais de2.5,1.38,2.45,Ambas Equipas Marcam (Sim/Não),1.40,1.24,1.5,1X,12.0,2X,"Segunda-feira, 21 Setembro 2020 12:30"
