web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1604264317-63","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Sevilha
              
                CA Osasuna","https://www.betano.pt/odds/sevilha-ca-osasuna/6903488/","LaLiga","Sábado, 7 Novembro 2020 17:30","Sevilha","CA Osasuna","1.63","3.60","5.35","2.16","1.50","Mais de2.5","1.36","2.54","Mais de1.5","3.85","1.15","Mais de3.5","2.13","1.50","Ambas Equipas Marcam (Sim/Não)","1.12","1.22","2.15","1X","12","2X","Domingo, 1 Novembro 2020 20:57","null"
"1604264086-37","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Watford
              
                Stoke City","https://www.betano.pt/odds/watford-stoke-city/6713851/","Championship","Quarta-feira, 4 Novembro 2020 19:00","Watford","Stoke City","2.13","2.98","3.40","1.44","2.20","Mais de1.5","2.33","1.38","Mais de2.5","4.25","1.09","Mais de3.5","2.00","1.55","Ambas Equipas Marcam (Sim/Não)","1.26","1.28","1.61","1X","12","2X","Domingo, 1 Novembro 2020 20:53","null"
"1604264401-73","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Vitória Guimarães
              
                Sporting CP","https://www.betano.pt/odds/vitoria-guimaraes-sporting-cp/6930466/","Primeira Liga","Sábado, 7 Novembro 2020 20:30","Vitória Guimarães","Sporting CP","3.20","3.20","2.20","1.75","1.72","Mais de2.5","1.23","2.94","Mais de1.5","2.84","1.25","Mais de3.5","1.60","1.91","Ambas Equipas Marcam (Sim/Não)","1.60","1.25","1.30","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604264425-76","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","CD Tondela
              
                CD Santa Clara","https://www.betano.pt/odds/cd-tondela-cd-santa-clara/6930464/","Primeira Liga","Sábado, 7 Novembro 2020 15:00","CD Tondela","CD Santa Clara","2.40","3.25","2.82","1.95","1.57","Mais de2.5","1.30","2.63","Mais de1.5","3.40","1.17","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.38","1.25","1.50","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604263912-17","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","1. FC Union Berlin
              
                Arminia Bielefeld","https://www.betano.pt/odds/1-fc-union-berlin-arminia-bielefeld/6886182/","Bundesliga","Sábado, 7 Novembro 2020 14:30","1. FC Union Berlin","Arminia Bielefeld","1.90","3.35","3.95","1.70","1.85","Mais de2.5","1.22","3.20","Mais de1.5","2.72","1.31","Mais de3.5","1.60","2.00","Ambas Equipas Marcam (Sim/Não)","1.21","1.25","1.80","1X","12","2X","Domingo, 1 Novembro 2020 20:50","null"
"1604264393-72","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","CD Nacional Madeira
              
                Gil Vicente FC","https://www.betano.pt/odds/cd-nacional-madeira-gil-vicente-fc/6930467/","Primeira Liga","Domingo, 8 Novembro 2020 15:00","CD Nacional Madeira","Gil Vicente FC","2.30","3.20","3.00","1.90","1.60","Mais de2.5","1.28","2.70","Mais de1.5","3.25","1.19","Mais de3.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","1.33","1.26","1.55","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604264385-71","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","SC Farense
              
                Boavista FC","https://www.betano.pt/odds/sc-farense-boavista-fc/6930469/","Primeira Liga","Domingo, 8 Novembro 2020 15:00","SC Farense","Boavista FC","2.58","2.98","2.80","2.02","1.53","Mais de2.5","1.32","2.54","Mais de1.5","3.40","1.17","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.38","1.30","1.44","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604264254-56","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","PFC Sochi
              
                FC Ufa","https://www.betano.pt/odds/pfc-sochi-fc-ufa/6730576/","Premier Liga","Sexta-feira, 6 Novembro 2020 16:00","PFC Sochi","FC Ufa","1.63","3.30","5.55","1.40","2.25","Mais de1.5","2.25","1.40","Mais de2.5","4.00","1.10","Mais de3.5","2.17","1.44","Ambas Equipas Marcam (Sim/Não)","1.10","1.23","2.13","1X","12","2X","Domingo, 1 Novembro 2020 20:56","null"
"1604264285-59","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Levante
              
                Alavés","https://www.betano.pt/odds/levante-alaves/6903492/","LaLiga","Domingo, 8 Novembro 2020 17:30","Levante","Alavés","2.20","3.25","3.10","1.91","1.65","Mais de2.5","1.30","2.80","Mais de1.5","3.30","1.21","Mais de3.5","1.72","1.83","Ambas Equipas Marcam (Sim/Não)","1.32","1.27","1.57","1X","12","2X","Domingo, 1 Novembro 2020 20:57","null"
"1604264455-80","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Sporting CP
              
                CD Tondela
                    AO VIVO","https://www.betano.pt/live/sporting-cp-cd-tondela/6879518/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Domingo, 1 Novembro 2020 20:59","null"
