League,Date,Time,HT,AT
La_Liga,2020-10-01,1700,Sevilla,Levante
La_Liga,2020-10-01,1700,Ath Bilbao,Cadiz CF
La_Liga,2020-10-01,1930,Celta Vigo,Barcelona
Eredivisie,2020-10-02,1800,Utrecht,Heerenveen
Primeira_Liga,2020-10-02,1800,Moreirense,Boavista
Bundesliga,2020-10-02,1830,Union Berlin,Mainz
Premiership,2020-10-02,1845,Kilmarnock,Motherwell
Serie_A,2020-10-02,1845,Fiorentina,Sampdoria
Premiership,2020-10-02,1845,Hibernian,Hamilton
Premiership,2020-10-02,1845,Dundee Utd,Livingston
Championship,2020-10-02,1845,Coventry,Bournemouth
Premiership,2020-10-02,1845,Aberdeen,St. Mirren
Ligue_1,2020-10-02,1900,Paris SG,Angers
Primeira_Liga,2020-10-02,2015,Vitoria Guimaraes,Ferreira
RFPL,2020-10-03,1100,Ufa,R. Volgograd
La_Liga,2020-10-03,1100,Valladolid,Eibar
Championship,2020-10-03,1130,Norwich,Derby
Premier_League,2020-10-03,1130,Chelsea,Crystal Palace
Serie_A,2020-10-03,1300,Sassuolo,Crotone
Bundesliga,2020-10-03,1330,Werder Bremen,Arminia Bielefeld
Bundesliga,2020-10-03,1330,FC Koln,B. Monchengladbach
Bundesliga,2020-10-03,1330,Stuttgart,Bayer Leverkusen
RFPL,2020-10-03,1330,Ural,CSKA Moscow
Bundesliga,2020-10-03,1330,Dortmund,Freiburg
Bundesliga,2020-10-03,1330,Eintracht Frankfurt,Hoffenheim
RFPL,2020-10-03,1330,Tambov,Arsenal Tula
Championship,2020-10-03,1400,Reading,Watford
Championship,2020-10-03,1400,Swansea,Millwall
Championship,2020-10-03,1400,Middlesbrough,Barnsley
Championship,2020-10-03,1400,Nottingham,Bristol City
Championship,2020-10-03,1400,Sheffield Wed,QPR
Premier_League,2020-10-03,1400,Everton,Brighton
Championship,2020-10-03,1400,Rotherham,Huddersfield
Championship,2020-10-03,1400,Blackburn,Cardiff
La_Liga,2020-10-03,1400,Atl. Madrid,Villarreal
Championship,2020-10-03,1400,Luton,Wycombe
Eredivisie,2020-10-03,1430,Vitesse,Heracles
Ligue_1,2020-10-03,1500,Lens,St Etienne
Primeira_Liga,2020-10-03,1500,Santa Clara,Gil Vicente
Serie_A,2020-10-03,1600,Genoa,Torino
RFPL,2020-10-03,1600,Spartak Moscow,Zenit
Premier_League,2020-10-03,1630,Leeds,Manchester City
Bundesliga,2020-10-03,1630,RB Leipzig,Schalke
La_Liga,2020-10-03,1630,Elche,Huesca
La_Liga,2020-10-03,1630,Real Sociedad,Getafe
Eredivisie,2020-10-03,1645,Waalwijk,Zwolle
Primeira_Liga,2020-10-03,1730,FC Porto,Maritimo
Eredivisie,2020-10-03,1800,Venlo,Den Haag
Serie_A,2020-10-03,1845,Udinese,AS Roma
Premier_League,2020-10-03,1900,Newcastle,Burnley
Ligue_1,2020-10-03,1900,Nice,Nantes
La_Liga,2020-10-03,1900,Valencia,Betis
Eredivisie,2020-10-03,1900,Twente,FC Emmen
Primeira_Liga,2020-10-03,2000,Tondela,Braga
MLS,2020-10-03,2030,Orlando City,New York Red Bulls
MLS,2020-10-03,2300,DC United,Atlanta Utd
MLS,2020-10-03,2330,Toronto FC,Philadelphia Union
MLS,2020-10-03,2330,New England Revolution,Nashville SC
MLS,2020-10-03,2330,Montreal Impact,Chicago Fire
MLS,2020-10-04,0,Minnesota United,FC Cincinnati
MLS,2020-10-04,0,Houston Dynamo,Sporting Kansas City
MLS,2020-10-04,0,Inter Miami,New York City
MLS,2020-10-04,30,FC Dallas,Columbus Crew
MLS,2020-10-04,200,Seattle Sounders,Vancouver Whitecaps
MLS,2020-10-04,230,San Jose Earthquakes,Los Angeles Galaxy
MLS,2020-10-04,300,Portland Timbers,Colorado Rapids
La_Liga,2020-10-04,1000,Osasuna,Celta Vigo
Eredivisie,2020-10-04,1015,Groningen,Ajax
Serie_A,2020-10-04,1030,Atalanta,Cagliari
Premiership,2020-10-04,1100,St Johnstone,Celtic
Premier_League,2020-10-04,1100,Leicester,West Ham
RFPL,2020-10-04,1100,Lokomotiv Moscow,Khimki
Premier_League,2020-10-04,1100,Southampton,West Brom
Ligue_1,2020-10-04,1100,Montpellier,Nimes
La_Liga,2020-10-04,1200,Alaves,Ath Bilbao
Eredivisie,2020-10-04,1230,Sparta Rotterdam,AZ Alkmaar
Eredivisie,2020-10-04,1230,Willem II,Feyenoord
Serie_A,2020-10-04,1300,Lazio,Inter
Championship,2020-10-04,1300,Brentford,Preston
Serie_A,2020-10-04,1300,Parma,Verona
Premier_League,2020-10-04,1300,Arsenal,Sheffield Utd
Serie_A,2020-10-04,1300,Benevento,Bologna
Ligue_1,2020-10-04,1300,Metz,Lorient
Premier_League,2020-10-04,1300,Wolves,Fulham
Ligue_1,2020-10-04,1300,Brest,Monaco
Ligue_1,2020-10-04,1300,Strasbourg,Lille
Ligue_1,2020-10-04,1300,Bordeaux,Dijon
RFPL,2020-10-04,1330,Sochi,FK Rostov
Bundesliga,2020-10-04,1330,Wolfsburg,Augsburg
RFPL,2020-10-04,1330,Rubin Kazan,Akhmat Grozny
La_Liga,2020-10-04,1400,Levante,Real Madrid
Premiership,2020-10-04,1400,Rangers,Ross County
Championship,2020-10-04,1400,Stoke,Birmingham
Primeira_Liga,2020-10-04,1430,Nacional,Belenenses
Eredivisie,2020-10-04,1445,PSV,Sittard
Ligue_1,2020-10-04,1500,Rennes,Reims
Premier_League,2020-10-04,1530,Manchester Utd,Tottenham
Bundesliga,2020-10-04,1600,Bayern Munich,Hertha Berlin
Serie_A,2020-10-04,1600,AC Milan,Spezia
La_Liga,2020-10-04,1630,Cadiz CF,Granada CF
RFPL,2020-10-04,1700,Dynamo Moscow,Krasnodar
Primeira_Liga,2020-10-04,1730,Benfica,SC Farense
Primeira_Liga,2020-10-04,1730,Famalicao,Rio Ave
Premier_League,2020-10-04,1815,Aston Villa,Liverpool
Serie_A,2020-10-04,1845,Juventus,Napoli
La_Liga,2020-10-04,1900,Barcelona,Sevilla
Ligue_1,2020-10-04,1900,Lyon,Marseille
Primeira_Liga,2020-10-04,2000,Portimonense,Sporting
MLS,2020-10-05,130,Real Salt Lake,Los Angeles FC
Championship,2020-10-16,1845,Derby,Watford
RFPL,2020-10-17,1300,Arsenal Tula,Ural
RFPL,2020-10-17,1300,FK Rostov,Akhmat Grozny
RFPL,2020-10-17,1300,Khimki,Spartak Moscow
RFPL,2020-10-17,1300,Lokomotiv Moscow,Ufa
Serie_A,2020-10-17,1300,Napoli,Atalanta
RFPL,2020-10-17,1300,Zenit,Sochi
RFPL,2020-10-17,1300,CSKA Moscow,Dynamo Moscow
RFPL,2020-10-17,1300,Krasnodar,Rubin Kazan
Bundesliga,2020-10-17,1330,Hertha Berlin,Stuttgart
Bundesliga,2020-10-17,1330,Mainz,Bayer Leverkusen
Bundesliga,2020-10-17,1330,Augsburg,RB Leipzig
Bundesliga,2020-10-17,1330,Freiburg,Werder Bremen
Bundesliga,2020-10-17,1330,Hoffenheim,Dortmund
Premier_League,2020-10-17,1400,Newcastle,Manchester Utd
Premier_League,2020-10-17,1400,Crystal Palace,Brighton
Championship,2020-10-17,1400,Swansea,Huddersfield
Premier_League,2020-10-17,1400,West Brom,Burnley
Premier_League,2020-10-17,1400,Leeds,Wolves
Premier_League,2020-10-17,1400,Everton,Liverpool
Premier_League,2020-10-17,1400,Manchester City,Arsenal
Championship,2020-10-17,1400,Rotherham,Norwich
Championship,2020-10-17,1400,Wycombe,Millwall
Championship,2020-10-17,1400,Barnsley,Bristol City
Championship,2020-10-17,1400,Brentford,Coventry
Premier_League,2020-10-17,1400,Sheffield Utd,Fulham
Championship,2020-10-17,1400,Birmingham,Sheffield Wed
Championship,2020-10-17,1400,Blackburn,Nottingham
Premier_League,2020-10-17,1400,Chelsea,Southampton
Championship,2020-10-17,1400,Middlesbrough,Reading
Championship,2020-10-17,1400,Luton,Stoke
Premier_League,2020-10-17,1400,Leicester,Aston Villa
Championship,2020-10-17,1400,Bournemouth,QPR
Serie_A,2020-10-17,1600,Sampdoria,Lazio
Serie_A,2020-10-17,1600,Inter,AC Milan
Bundesliga,2020-10-17,1630,Arminia Bielefeld,Bayern Munich
Eredivisie,2020-10-17,1645,Ajax,Heerenveen
Ligue_1,2020-10-17,1800,Angers,Metz
Ligue_1,2020-10-17,1800,Monaco,Montpellier
Ligue_1,2020-10-17,1800,St Etienne,Nice
Ligue_1,2020-10-17,1800,Reims,Lorient
Ligue_1,2020-10-17,1800,Nimes,Paris SG
Ligue_1,2020-10-17,1800,Marseille,Bordeaux
Ligue_1,2020-10-17,1800,Lille,Lens
Eredivisie,2020-10-17,1800,Willem II,Twente
Eredivisie,2020-10-17,1800,Heracles,Waalwijk
Ligue_1,2020-10-17,1800,Strasbourg,Lyon
Ligue_1,2020-10-17,1800,Nantes,Brest
Ligue_1,2020-10-17,1800,Dijon,Rennes
Bundesliga,2020-10-17,1830,B. Monchengladbach,Wolfsburg
Serie_A,2020-10-17,1845,Crotone,Juventus
Eredivisie,2020-10-17,1900,AZ Alkmaar,Venlo
Eredivisie,2020-10-18,1015,Feyenoord,Sparta Rotterdam
Serie_A,2020-10-18,1030,Bologna,Sassuolo
Championship,2020-10-18,1100,Preston,Cardiff
