web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601207342-125,https://www.oddsportal.com/soccer/england/championship/,Derby - Watford,https://www.oddsportal.com/soccer/england/championship/derby-watford-zXZalACe/,Championship,"Friday, 16 Oct  2020, 18:45",Derby - Watford,,England
1601207566-159,https://www.oddsportal.com/soccer/england/premier-league/,Liverpool - Arsenal,https://www.oddsportal.com/soccer/england/premier-league/liverpool-arsenal-Qaqjm50e/,Premier League,"Tomorrow, 28 Sep  2020, 19:00",Liverpool - Arsenal,,England
1601206750-39,https://www.oddsportal.com/soccer/scotland/premiership/,Celtic - Hibernian,https://www.oddsportal.com/soccer/scotland/premiership/celtic-hibernian-dIGM5m47/,Premiership,"Today, 27 Sep  2020, 14:00",Celtic - Hibernian,,Scotland
1601207374-130,https://www.oddsportal.com/soccer/england/championship/,Reading - Watford,https://www.oddsportal.com/soccer/england/championship/reading-watford-j5VHfiIU/,Championship,"Saturday, 03 Oct  2020, 14:00",Reading - Watford,,England
1601207548-156,https://www.oddsportal.com/soccer/england/premier-league/,Leeds - Manchester City,https://www.oddsportal.com/soccer/england/premier-league/leeds-manchester-city-hz3Xarp1/,Premier League,"Saturday, 03 Oct  2020, 16:30",Leeds - Manchester City,,England
1601207335-124,https://www.oddsportal.com/soccer/england/championship/,Barnsley - Bristol City,https://www.oddsportal.com/soccer/england/championship/barnsley-bristol-city-jJAj9jXN/,Championship,"Saturday, 17 Oct  2020, 14:00",Barnsley - Bristol City,,England
1601206650-25,https://www.oddsportal.com/soccer/russia/premier-league/,Ufa - R. Volgograd,https://www.oddsportal.com/soccer/russia/premier-league/ufa-r-volgograd-YNuc4cCo/,Premier League,"Saturday, 03 Oct  2020, 11:00",Ufa - R. Volgograd,,Russia
1601207179-101,https://www.oddsportal.com/soccer/france/ligue-1/,Bordeaux - Dijon,https://www.oddsportal.com/soccer/france/ligue-1/bordeaux-dijon-p6Bv3ps8/,Ligue 1,"Sunday, 04 Oct  2020, 13:00",Bordeaux - Dijon,,France
1601207481-146,https://www.oddsportal.com/soccer/england/premier-league/,Everton - Liverpool,https://www.oddsportal.com/soccer/england/premier-league/everton-liverpool-hlr6Esaf/,Premier League,"Saturday, 17 Oct  2020, 14:00",Everton - Liverpool,,England
1601206568-13,https://www.oddsportal.com/soccer/spain/laliga/,Cadiz CF - Sevilla,https://www.oddsportal.com/soccer/spain/laliga/cadiz-sevilla-YTYiGiZN/,LaLiga,"Today, 27 Sep  2020, 16:30",Cadiz CF - Sevilla,,Spain
