web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600976449-758","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sittard - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sittard-feyenoord-2PU2Iado/","Sunday, 06 Oct  2019, 12:30","Sittard - Feyenoord","8.97","6.14","1.28","Final result"
"1600976764-881","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-waalwijk-hWSBtt3A/","Sunday, 16 Feb  2020, 12:30","Ajax - Waalwijk","1.04","15.34","35.44","Final result"
"1600976651-836","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Willem II - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/willem-ii-sittard-6uYd6m4q/","Saturday, 21 Dec  2019, 18:45","Willem II - Sittard","1.46","4.75","6.22","Final result"
"1600976661-840","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-venlo-f1EiSUQ2/","Sunday, 22 Dec  2019, 14:45","Vitesse - Venlo","1.39","4.98","7.46","Final result"
"1600976687-850","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-den-haag-tWiYv8A8/","Friday, 24 Jan  2020, 18:00","Utrecht - Den Haag","1.43","4.77","6.91","Final result"
"1600976377-729","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-den-haag-K0XtIBjR/","Sunday, 15 Sep  2019, 12:30","Feyenoord - Den Haag","1.28","5.98","9.51","Final result"
"1600976619-823","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-willem-ii-IeupDbLb/","Friday, 13 Dec  2019, 18:00","Heerenveen - Willem II","1.72","4.10","4.36","Final result"
"1600976411-743","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-den-haag-KSTVQuZb/","Friday, 27 Sep  2019, 18:00","FC Emmen - Den Haag","2.11","3.80","3.20","Final result"
"1600976604-817","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-sittard-0K8JdwyI/","Saturday, 07 Dec  2019, 17:45","PSV - Sittard","1.16","8.17","15.12","Final result"
"1600976596-814","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-willem-ii-4hFAba65/","Friday, 06 Dec  2019, 18:15","Ajax - Willem II","1.13","9.07","17.14","Final result"
"1600976646-834","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-az-alkmaar-neiQB9tM/","Saturday, 21 Dec  2019, 17:45","Sparta Rotterdam - AZ Alkmaar","5.45","4.48","1.55","Final result"
"1600976858-918","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-twente-hhMjb5UC/","Sunday, 15 Mar  2020, 12:30","Ajax - Twente","-","-","-","Canceled"
"1600976302-699","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-ajax-4Gozrv9c/","Saturday, 17 Aug  2019, 16:30","Venlo - Ajax","18.64","8.94","1.13","Final result"
"1600976710-859","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-waalwijk-EqSXS1HD/","Friday, 31 Jan  2020, 18:00","AZ Alkmaar - Waalwijk","1.10","9.86","23.52","Final result"
"1600976267-685","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-heerenveen-pG0uQ5mC/","Sunday, 04 Aug  2019, 10:15","Heracles - Heerenveen","2.09","3.80","3.22","Final result"
"1600976788-890","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-psv-ngloeuI3/","Sunday, 23 Feb  2020, 12:30","Vitesse - PSV","3.08","3.57","2.23","Final result"
"1600976911-939","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-fc-emmen-rHqSkabE/","Sunday, 03 May  2020, 12:30","Zwolle - FC Emmen","-","-","-","Canceled"
"1600976699-855","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-fc-emmen-CKVGWqIl/","Sunday, 26 Jan  2020, 10:15","Vitesse - FC Emmen","1.46","4.57","6.54","Final result"
"1600976270-686","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-sparta-rotterdam-4IGtOqIO/","Sunday, 04 Aug  2019, 12:30","Feyenoord - Sparta Rotterdam","1.34","5.53","8.04","Final result"
"1600976299-698","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Zwolle","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-zwolle-QPnWrKgi/","Friday, 16 Aug  2019, 18:00","Vitesse - Zwolle","1.36","5.32","7.86","Final result"
"1600976737-870","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-willem-ii-ELHCXpKu/","Saturday, 08 Feb  2020, 17:45","PSV - Willem II","1.67","4.02","4.88","Final result"
"1600976628-827","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-vitesse-pAeQhUZq/","Saturday, 14 Dec  2019, 18:45","Twente - Vitesse","2.52","3.72","2.60","Final result"
"1600976883-928","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Groningen - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/groningen-az-alkmaar-8rkxA2TO/","Sunday, 22 Mar  2020, 14:45","Groningen - AZ Alkmaar","-","-","-","Canceled"
"1600976631-828","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-sparta-rotterdam-fuwHFisc/","Sunday, 15 Dec  2019, 10:15","FC Emmen - Sparta Rotterdam","2.68","3.71","2.43","Final result"
"1600976927-945","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Groningen - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/groningen-den-haag-dOP2qcyr/","Sunday, 03 May  2020, 12:30","Groningen - Den Haag","-","-","-","Canceled"
"1600976861-919","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-az-alkmaar-ry4CF6am/","Sunday, 15 Mar  2020, 14:45","Venlo - AZ Alkmaar","-","-","-","Canceled"
"1600976873-924","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heerenveen - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heerenveen-waalwijk-SrIlgY46/","Saturday, 21 Mar  2020, 18:45","Heerenveen - Waalwijk","-","-","-","Canceled"
"1600976732-868","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-sittard-Oh61QTCC/","Friday, 07 Feb  2020, 18:00","Heracles - Sittard","1.59","4.38","5.04","Final result"
"1600976671-844","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-heerenveen-QaV2PSAL/","Saturday, 18 Jan  2020, 17:45","Feyenoord - Heerenveen","1.52","4.50","5.81","Final result"
"1600976384-732","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-waalwijk-CbCLATr1/","Saturday, 21 Sep  2019, 16:30","Sparta Rotterdam - Waalwijk","1.40","5.29","6.65","Final result"
"1600976466-765","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-psv-ltXEFct4/","Saturday, 19 Oct  2019, 18:45","Utrecht - PSV","3.38","3.75","2.04","Final result"
"1600976262-683","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-waalwijk-C22XRRIa/","Saturday, 03 Aug  2019, 18:45","Venlo - Waalwijk","1.86","3.82","3.95","Final result"
"1600976798-894","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-heracles-0Gf1icHS/","Saturday, 29 Feb  2020, 16:30","Den Haag - Heracles","3.17","3.57","2.19","Final result"
"1600976409-742","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-az-alkmaar-4bh4oDFk/","Thursday, 26 Sep  2019, 18:00","Feyenoord - AZ Alkmaar","2.16","3.59","3.22","Final result"
"1600976556-800","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-willem-ii-d8mLmrhm/","Saturday, 23 Nov  2019, 18:45","Den Haag - Willem II","2.68","3.56","2.51","Final result"
"1600976436-753","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-fc-emmen-ShXwPJ3B/","Saturday, 05 Oct  2019, 16:30","Heracles - FC Emmen","1.65","4.31","4.68","Final result"
"1600976759-879","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-heerenveen-d4Z2r2Yc/","Sunday, 16 Feb  2020, 10:15","Vitesse - Heerenveen","1.96","3.66","3.67","Final result"
"1600976260-682","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-groningen-babTS73g/","Saturday, 03 Aug  2019, 16:30","FC Emmen - Groningen","2.65","3.37","2.63","Final result"
"1600976810-899","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-feyenoord-QcSN8bn3/","Sunday, 01 Mar  2020, 12:30","PSV - Feyenoord","1.91","3.83","3.72","Final result"
"1600976848-914","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-fc-emmen-4p58Gnps/","Saturday, 14 Mar  2020, 17:45","PSV - FC Emmen","-","-","-","Canceled"
"1600976840-911","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-sittard-KvOr0Ra0/","Friday, 13 Mar  2020, 18:00","Den Haag - Sittard","-","-","-","Canceled"
"1600976749-875","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-heracles-pQ5pQKIT/","Friday, 14 Feb  2020, 18:00","Venlo - Heracles","2.36","3.58","2.85","Final result"
"1600976747-874","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-den-haag-IDETT2J4/","Tuesday, 11 Feb  2020, 18:45","Sparta Rotterdam - Den Haag","1.86","3.65","4.09","Final result"
"1600976679-847","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-heracles-zZ4nH4I1/","Sunday, 19 Jan  2020, 12:30","FC Emmen - Heracles","2.70","3.77","2.39","Final result"
"1600976320-706","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-psv-CtkrtIwA/","Sunday, 18 Aug  2019, 18:00","Heracles - PSV","7.04","5.18","1.39","Final result"
"1600976490-774","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Zwolle","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-zwolle-EmvAPY9S/","Saturday, 26 Oct  2019, 18:45","Heracles - Zwolle","1.81","3.91","4.11","Final result"
"1600976441-755","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-twente-AHMrOwJH/","Saturday, 05 Oct  2019, 17:45","Sparta Rotterdam - Twente","1.86","4.01","3.81","Final result"
"1600976918-942","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-feyenoord-zFO6rHjl/","Sunday, 03 May  2020, 12:30","Twente - Feyenoord","-","-","-","Canceled"
"1600976916-941","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-heracles-vqwylwTQ/","Sunday, 03 May  2020, 12:30","Vitesse - Heracles","2.06","3.44","3.19","Canceled"
"1600976446-757","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-ajax-KjCIHydo/","Sunday, 06 Oct  2019, 10:15","Den Haag - Ajax","19.86","9.92","1.11","Final result"
"1600976475-768","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-sittard-ltgpVxti/","Sunday, 20 Oct  2019, 12:30","FC Emmen - Sittard","1.67","4.43","4.42","Final result"
"1600976641-832","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Twente","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-twente-EsgIDVB9/","Friday, 20 Dec  2019, 18:00","Waalwijk - Twente","2.29","3.70","2.89","Final result"
"1600976767-882","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-feyenoord-WMRFu0IG/","Sunday, 16 Feb  2020, 14:45","Zwolle - Feyenoord","3.53","3.77","1.99","Final result"
"1600976498-777","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-az-alkmaar-2DOqJWnd/","Sunday, 27 Oct  2019, 12:30","PSV - AZ Alkmaar","2.06","3.49","3.60","Final result"
"1600976568-805","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Sparta Rotterdam - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/sparta-rotterdam-vitesse-OKvxp0iC/","Sunday, 24 Nov  2019, 14:45","Sparta Rotterdam - Vitesse","2.34","3.77","2.78","Final result"
"1600976456-761","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-ajax-vVPRCeQM/","Saturday, 19 Oct  2019, 16:30","Waalwijk - Ajax","29.11","13.36","1.06","Final result"
"1600976551-798","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-sittard-QPdkg4UP/","Saturday, 23 Nov  2019, 17:45","Zwolle - Sittard","1.67","4.43","4.43","Final result"
"1600976800-895","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-vitesse-WboXoyuj/","Saturday, 29 Feb  2020, 17:45","Zwolle - Vitesse","2.99","3.72","2.23","Final result"
"1600976691-852","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-venlo-2otswnuL/","Saturday, 25 Jan  2020, 17:45","Waalwijk - Venlo","2.01","3.68","3.55","Final result"
"1600976833-908","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-waalwijk-bREgMHG2/","Sunday, 08 Mar  2020, 12:30","Heracles - Waalwijk","1.48","4.56","6.32","Final result"
"1600976704-857","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Groningen - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/groningen-ajax-UeQLV3Xf/","Sunday, 26 Jan  2020, 12:30","Groningen - Ajax","5.86","4.34","1.54","Final result"
"1600976659-839","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Groningen - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/groningen-fc-emmen-hdz93ol2/","Sunday, 22 Dec  2019, 12:30","Groningen - FC Emmen","1.60","4.08","5.48","Final result"
"1600976752-876","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Twente - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/twente-az-alkmaar-nZiCLvRp/","Saturday, 15 Feb  2020, 16:30","Twente - AZ Alkmaar","5.25","4.25","1.59","Final result"
"1600976654-837","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Ajax - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/ajax-den-haag-pWW057Jk/","Sunday, 22 Dec  2019, 10:15","Ajax - Den Haag","1.06","13.16","30.26","Final result"
"1600976754-877","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Den Haag - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/den-haag-psv-OjyepO3o/","Saturday, 15 Feb  2020, 17:45","Den Haag - PSV","5.12","4.09","1.63","Final result"
"1600976656-838","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-feyenoord-E5y54RYe/","Sunday, 22 Dec  2019, 12:30","Utrecht - Feyenoord","2.28","3.73","2.89","Final result"
"1600976581-808","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-den-haag-23Tw17pf/","Saturday, 30 Nov  2019, 18:45","Heracles - Den Haag","1.48","4.80","5.90","Final result"
"1600976454-760","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","PSV - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/psv-venlo-OKQnNcYN/","Sunday, 06 Oct  2019, 14:45","PSV - Venlo","1.15","7.96","17.55","Final result"
"1600976694-853","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-feyenoord-Glpox6fR/","Saturday, 25 Jan  2020, 17:45","Heracles - Feyenoord","4.17","4.29","1.73","Final result"
"1600976772-884","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Waalwijk - Sparta Rotterdam","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/waalwijk-sparta-rotterdam-vmRJvKXM/","Friday, 21 Feb  2020, 18:00","Waalwijk - Sparta Rotterdam","2.67","3.50","2.55","Final result"
"1600976538-793","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Willem II - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/willem-ii-psv-8SAJuo0Q/","Sunday, 10 Nov  2019, 12:30","Willem II - PSV","3.93","3.72","1.89","Final result"
"1600976609-819","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Vitesse - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/vitesse-feyenoord-YX6RfH5U/","Sunday, 08 Dec  2019, 10:15","Vitesse - Feyenoord","2.70","3.87","2.36","Final result"
