web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600978328-1281","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-utrecht-8Kd3hcLf/","Wednesday, 03 Apr  2019, 16:30","Venlo - Utrecht","4.23","3.82","1.80","Final result"
"1600978438-1325","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Zwolle - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/zwolle-venlo-jgkurVJ8/","Sunday, 12 May  2019, 12:30","Zwolle - Venlo","1.72","4.11","4.35","Final result"
"1600978043-1167","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-groningen-MmQAozjK/","Sunday, 09 Dec  2018, 12:30","Venlo - Groningen","3.04","3.41","2.32","Final result"
"1600977891-1106","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Ajax - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/ajax-az-alkmaar-SU4o56UJ/","Sunday, 07 Oct  2018, 14:45","Ajax - AZ Alkmaar","1.26","6.20","9.76","Final result"
"1600977873-1099","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-groningen-zHVwnRNs/","Saturday, 06 Oct  2018, 16:30","Den Haag - Groningen","2.11","3.57","3.36","Final result"
"1600978161-1214","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-heracles-CGT79zvd/","Sunday, 03 Feb  2019, 14:45","Den Haag - Heracles","2.16","3.67","3.17","Final result"
"1600978313-1275","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Zwolle - FC Emmen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/zwolle-fc-emmen-8dIK0LDE/","Sunday, 31 Mar  2019, 12:30","Zwolle - FC Emmen","1.59","4.25","5.34","Final result"
"1600978156-1212","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Zwolle - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/zwolle-utrecht-GlzaBd9q/","Sunday, 03 Feb  2019, 12:30","Zwolle - Utrecht","2.77","3.53","2.46","Final result"
"1600978383-1303","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heerenveen - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heerenveen-groningen-800PGX3C/","Sunday, 14 Apr  2019, 12:30","Heerenveen - Groningen","2.98","3.40","2.37","Final result"
"1600978133-1203","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Utrecht - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/utrecht-willem-ii-S4FLcwup/","Sunday, 27 Jan  2019, 12:30","Utrecht - Willem II","1.42","4.65","7.42","Final result"
"1600977736-1045","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-ajax-MFlPXLps/","Saturday, 18 Aug  2018, 16:30","Venlo - Ajax","12.38","6.35","1.23","Final result"
"1600978103-1191","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-venlo-zge8jMXG/","Saturday, 19 Jan  2019, 17:45","Den Haag - Venlo","2.07","3.37","3.70","Final result"
"1600977802-1071","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - PSV","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-psv-pERRNHuN/","Saturday, 15 Sep  2018, 16:30","Den Haag - PSV","6.10","4.83","1.48","Final result"
"1600977904-1111","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Breda - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/breda-willem-ii-djrUdrx0/","Sunday, 21 Oct  2018, 10:15","Breda - Willem II","3.01","3.33","2.40","Final result"
"1600978106-1192","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-heracles-UFfCktmN/","Saturday, 19 Jan  2019, 18:45","Groningen - Heracles","2.16","3.67","3.15","Final result"
"1600978521-1358","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Waalwijk - G.A. Eagles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/waalwijk-g-a-eagles-rmOzYbx5/","Saturday, 25 May  2019, 16:30","Waalwijk - G.A. Eagles","2.54","3.67","2.58","Final result"
"1600978491-1346","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-vitesse-OlbYA8lH/","Saturday, 18 May  2019, 18:45","Groningen - Vitesse","2.72","3.47","2.52","Final result"
"1600978070-1178","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Feyenoord - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/feyenoord-sittard-jqILto4h/","Sunday, 16 Dec  2018, 14:45","Feyenoord - Sittard","1.25","6.16","10.86","Final result"
"1600977924-1119","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Graafschap - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/de-graafschap-excelsior-rHoiCNym/","Saturday, 27 Oct  2018, 17:45","Graafschap - Excelsior","2.61","3.67","2.52","Final result"
"1600977770-1058","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Willem II - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/willem-ii-heracles-2m1UEMdh/","Sunday, 26 Aug  2018, 10:15","Willem II - Heracles","2.17","3.69","3.16","Final result"
"1600977906-1112","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heracles - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heracles-groningen-QPnYe2i6/","Sunday, 21 Oct  2018, 12:30","Heracles - Groningen","2.01","3.64","3.63","Final result"
"1600977985-1144","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-heracles-M7MlNa72/","Saturday, 24 Nov  2018, 18:45","Sittard - Heracles","2.18","3.64","3.13","Final result"
"1600978068-1177","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Ajax - Graafschap","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/ajax-de-graafschap-fHOCr7Zu/","Sunday, 16 Dec  2018, 12:30","Ajax - Graafschap","1.02","19.14","46.44","Final result"
"1600978225-1240","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","FC Emmen - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/fc-emmen-vitesse-vPxkMYva/","Sunday, 24 Feb  2019, 12:30","FC Emmen - Vitesse","3.39","3.45","2.14","Final result"
"1600978368-1297","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","AZ Alkmaar - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/az-alkmaar-den-haag-0U94Leks/","Saturday, 13 Apr  2019, 16:30","AZ Alkmaar - Den Haag","1.26","6.11","10.60","Final result"
"1600977790-1066","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-utrecht-88W2TLBo/","Saturday, 01 Sep  2018, 18:45","Sittard - Utrecht","3.52","3.77","2.00","Final result"
"1600977744-1048","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heracles - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heracles-den-haag-IsrYVaFg/","Saturday, 18 Aug  2018, 18:45","Heracles - Den Haag","1.90","3.91","3.76","Final result"
"1600978373-1299","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-venlo-Ys8CJZJg/","Saturday, 13 Apr  2019, 18:45","Sittard - Venlo","2.33","3.56","2.93","Final result"
"1600978350-1290","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Heracles - Breda","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/heracles-breda-0ELt6Gkf/","Saturday, 06 Apr  2019, 18:45","Heracles - Breda","1.83","3.97","3.98","Final result"
"1600977846-1088","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","PSV - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/psv-ajax-xOvTjG99/","Sunday, 23 Sep  2018, 14:45","PSV - Ajax","2.67","3.64","2.51","Final result"
"1600978325-1280","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Graafschap","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-de-graafschap-Qe7bgw6l/","Tuesday, 02 Apr  2019, 18:45","Groningen - Graafschap","1.60","4.16","5.49","Final result"
"1600978091-1186","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Graafschap - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/de-graafschap-vitesse-SUbCW0to/","Sunday, 23 Dec  2018, 12:30","Graafschap - Vitesse","5.85","4.34","1.54","Final result"
"1600978391-1306","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Groningen - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/groningen-ajax-jeK7GO9T/","Saturday, 20 Apr  2019, 16:30","Groningen - Ajax","9.44","6.22","1.27","Final result"
"1600977783-1063","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-heerenveen-AJikAbBN/","Saturday, 01 Sep  2018, 16:30","Venlo - Heerenveen","3.03","3.46","2.33","Final result"
"1600978426-1320","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-excelsior-StVoUsvT/","Thursday, 25 Apr  2019, 16:30","Den Haag - Excelsior","2.18","3.77","3.07","Final result"
"1600977788-1065","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Excelsior - Den Haag","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/excelsior-den-haag-63hK4xZp/","Saturday, 01 Sep  2018, 17:45","Excelsior - Den Haag","2.74","3.48","2.54","Final result"
"1600978253-1251","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-excelsior-2RkuXkgH/","Saturday, 09 Mar  2019, 16:30","Venlo - Excelsior","2.09","3.53","3.45","Final result"
"1600978421-1318","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Utrecht - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/utrecht-sittard-xhxZWqfA/","Wednesday, 24 Apr  2019, 17:45","Utrecht - Sittard","1.32","5.73","8.17","Final result"
"1600978303-1271","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Graafschap - Heracles","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/de-graafschap-heracles-6XXLuKyk/","Saturday, 30 Mar  2019, 17:45","Graafschap - Heracles","2.35","3.82","2.75","Final result"
"1600978371-1298","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Ajax - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/ajax-excelsior-EaSdbPmo/","Saturday, 13 Apr  2019, 16:30","Ajax - Excelsior","1.05","14.28","34.75","Final result"
"1600978215-1236","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Heerenveen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-heerenveen-nRcATGnP/","Saturday, 23 Feb  2019, 17:45","Sittard - Heerenveen","2.82","3.72","2.34","Final result"
