AT,Date,HT,League,Time
Cologne,2020-10-23,Stuttgart,Bundesliga,1930
Derby County,2020-10-23,Nottingham Forest,Championship,1945
Torino,2020-10-23,Sassuolo,Serie_A,1945
Leeds United,2020-10-23,Aston Villa,Premier_League,2000
Angers,2020-10-23,Rennes,Ligue_1,2000
Valencia,2020-10-23,Elche,La_Liga,2000
Bournemouth,2020-10-24,Watford,Championship,1230
Manchester City,2020-10-24,West Ham United,Premier_League,1230
Sampdoria,2020-10-24,Atalanta,Serie_A,1400
Hertha Berlin,2020-10-24,RB Leipzig,Bundesliga,1430
M'gladbach,2020-10-24,Mainz,Bundesliga,1430
SC Freiburg,2020-10-24,1. FC Union Berlin,Bundesliga,1430
Eintracht Frankfurt,2020-10-24,Bayern Munich,Bundesliga,1430
Rotherham United,2020-10-24,Reading,Championship,1500
Luton Town,2020-10-24,Sheffield Wednesday,Championship,1500
Brentford,2020-10-24,Stoke City,Championship,1500
Birmingham City,2020-10-24,Queens Park Rangers,Championship,1500
Wycombe Wanderers,2020-10-24,Norwich City,Championship,1500
Preston North End,2020-10-24,Huddersfield Town,Championship,1500
Barnsley,2020-10-24,Millwall,Championship,1500
Middlesbrough,2020-10-24,Cardiff City,Championship,1500
Blackburn Rovers,2020-10-24,Coventry City,Championship,1500
Swansea City,2020-10-24,Bristol City,Championship,1500
Real Madrid,2020-10-24,Barcelona,La_Liga,1500
Hamilton Academical,2020-10-24,St Mirren,Premiership,1500
Dundee United,2020-10-24,St. Johnstone,Premiership,1500
Hibernian,2020-10-24,Kilmarnock,Premiership,1500
Ross County,2020-10-24,Motherwell,Premiership,1500
Crystal Palace,2020-10-24,Fulham,Premier_League,1500
Ajax,2020-10-24,VVV-Venlo,Eredivisie,1530
Marseille,2020-10-24,Lorient,Ligue_1,1600
Eibar,2020-10-24,Sevilla,La_Liga,1730
Athletic Bilbao,2020-10-24,Osasuna,La_Liga,1730
Schalke,2020-10-24,Borussia Dortmund,Bundesliga,1730
Chelsea,2020-10-24,Manchester United,Premier_League,1730
FC Twente,2020-10-24,FC Utrecht,Eredivisie,1745
Willem II,2020-10-24,PEC Zwolle,Eredivisie,1900
Bologna,2020-10-24,Lazio,Serie_A,1945
Dijon,2020-10-24,Paris Saint-Germain,Ligue_1,2000
Real Betis,2020-10-24,Atletico Madrid,La_Liga,2000
Emmen,2020-10-24,Heerenveen,Eredivisie,2000
Sheffield United,2020-10-24,Liverpool,Premier_League,2000
Groningen,2020-10-25,Fortuna Sittard,Eredivisie,1115
Crotone,2020-10-25,Cagliari,Serie_A,1130
Nantes,2020-10-25,RC Lens,Ligue_1,1200
Celtic,2020-10-25,Aberdeen,Premiership,1200
Alaves,2020-10-25,Real Valladolid,La_Liga,1300
PSV Eindhoven,2020-10-25,Vitesse Arnhem,Eredivisie,1330
Heracles Almelo,2020-10-25,Sparta Rotterdam,Eredivisie,1330
Spezia,2020-10-25,Parma,Serie_A,1400
Reims,2020-10-25,Montpellier,Ligue_1,1400
Strasbourg,2020-10-25,Brest,Ligue_1,1400
Nimes,2020-10-25,Bordeaux,Ligue_1,1400
St Etienne,2020-10-25,Metz,Ligue_1,1400
Everton,2020-10-25,Southampton,Premier_League,1400
