AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,Tottenham Hotspur,,,,"8:00pm, Monday 26th October 2020.",0,0,,428890,,,,,,,,,,,,,,Burnley,,, Premier League
,,,,,,,,,,,,,Newcastle United,,,,"4:30pm, Sunday 25th October 2020.",0,0,,428896,,,,,,,,,,,,,,Wolverhampton Wanderers,,, Premier League
,,,,,,,,,,,,,Liverpool,,,,"12:30pm, Saturday 17th October 2020.",0,0,,428879,,,,,,,,,,,,,,Everton,,, Premier League
,,,,,,,,,,,,,Crystal Palace,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428891,,,,,,,,,,,,,,Fulham,,, Premier League
,,,,,,,,,,,,,Chelsea,,,,"5:30pm, Saturday 24th October 2020.",0,0,,428893,,,,,,,,,,,,,,Manchester United,,, Premier League
,,,,,,,,,,,,,Everton,,,,"2:00pm, Sunday 25th October 2020.",0,0,,428894,,,,,,,,,,,,,,Southampton,,, Premier League
,,,,,,,,,,,,,Sheffield United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428892,,,,,,,,,,,,,,Liverpool,,, Premier League
,,,,,,,,,,,,,West Bromwich Albion,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428889,,,,,,,,,,,,,,Brighton and Hove Albion,,, Premier League
,,,,,,,,,,,,,Rangers,,,,"3:00pm, Sunday 1st November 2020.",0,0,,425641,,,,,,,,,,,,,,Kilmarnock,,, Scottish Premiership
,,,,,,,,,,,,,Manchester City,,,,"12:30pm, Saturday 24th October 2020.",0,0,,428895,,,,,,,,,,,,,,West Ham United,,, Premier League
,,,,,,,,,,,,,Leicester City,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428887,,,,,,,,,,,,,,Arsenal,,, Premier League
,,,,,,,,,,,,,Leeds United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,428888,,,,,,,,,,,,,,Aston Villa,,, Premier League
,,,,,,,,,,,,,Livingston,,,,"7:45pm, Friday 6th November 2020.",0,0,,425646,,,,,,,,,,,,,,Ross County,,, Scottish Premiership
