Unnamed: 0,AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
0,,,,,,,,,,,,,,Valencia,,,,"8:00pm, Friday 23rd October 2020.",0,0,,433836,,,,,,,,,,,,,,Elche,,, Spanish La Liga
1,,,,,,,,,,,,,,Barcelona,,,,"8:00pm, Saturday 31st October 2020.",0,0,,433843,,,,,,,,,,,,,,Alaves,,, Spanish La Liga
2,,,,,,,,,,,,,,Elche,,,,"1:00pm, Sunday 1st November 2020.",0,0,,433849,,,,,,,,,,,,,,Real Betis,,, Spanish La Liga
3,,,,,,,,,,,,,,Atletico Madrid,,,,"5:30pm, Saturday 31st October 2020.",0,0,,433848,,,,,,,,,,,,,,Osasuna,,, Spanish La Liga
4,,,,,,,,,,,,,,Sevilla,,,,"3:00pm, Saturday 31st October 2020.",0,0,,433844,,,,,,,,,,,,,,Athletic Bilbao,,, Spanish La Liga
5,,,,,,,,,,,,,,Levante,,,,"5:30pm, Sunday 1st November 2020.",0,0,,433847,,,,,,,,,,,,,,Granada,,, Spanish La Liga
6,,,,,,,,,,,,,,Real Sociedad,,,,"3:00pm, Sunday 1st November 2020.",0,0,,433845,,,,,,,,,,,,,,Celta Vigo,,, Spanish La Liga
7,,,,,,,,,,,,,,Cadiz,,,,"8:00pm, Friday 30th October 2020.",0,0,,433846,,,,,,,,,,,,,,Eibar,,, Spanish La Liga
8,,,,,,,,,,,,,,SD Huesca,,,,"1:00pm, Saturday 31st October 2020.",0,0,,433850,,,,,,,,,,,,,,Real Madrid,,, Spanish La Liga
9,,,,,,,,,,,,,,Real Valladolid,,,,"8:00pm, Monday 2nd November 2020.",0,0,,433852,,,,,,,,,,,,,,Villarreal,,, Spanish La Liga
10,,,,,,,,,,,,,,Celta Vigo,,,,"8:00pm, Monday 26th October 2020.",0,0,,433838,,,,,,,,,,,,,,Levante,,, Spanish La Liga
11,,,,,,,,,,,,,,Cologne,,,,"7:30pm, Friday 23rd October 2020.",0,0,,427488,,,,,,,,,,,,,,Stuttgart,,, German Bundesliga
12,,,,,,,,,,,,,,Barnsley,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429781,,,,,,,,,,,,,,Millwall,,, Sky Bet Championship
13,,,,,,,,,,,,,,Wycombe Wanderers,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429782,,,,,,,,,,,,,,Norwich City,,, Sky Bet Championship
14,,,,,,,,,,,,,,1. FC Union Berlin,,,,"7:30pm, Monday 2nd November 2020.",0,0,,427498,,,,,,,,,,,,,,Hoffenheim,,, German Bundesliga
15,,,,,,,,,,,,,,Genoa,,,,"7:45pm, Sunday 1st November 2020.",0,0,,434379,,,,,,,,,,,,,,Sampdoria,,, Italian Serie A
16,,,,,,,,,,,,,,Sassuolo,,,,"5:00pm, Sunday 1st November 2020.",0,0,,434377,,,,,,,,,,,,,,Napoli,,, Italian Serie A
17,,,,,,,,,,,,,,Fiorentina,,,,"5:00pm, Sunday 1st November 2020.",0,0,,434378,,,,,,,,,,,,,,Roma,,, Italian Serie A
18,,,,,,,,,,,,,,Juventus,,,,"2:00pm, Sunday 1st November 2020.",0,0,,434380,,,,,,,,,,,,,,Spezia,,, Italian Serie A
19,,,,,,,,,,,,,,Parma,,,,"5:00pm, Saturday 31st October 2020.",0,0,,434376,,,,,,,,,,,,,,Inter Milan,,, Italian Serie A
20,,,,,,,,,,,,,,AC Milan,,,,"11:30am, Sunday 1st November 2020.",0,0,,434382,,,,,,,,,,,,,,Udinese,,, Italian Serie A
21,,,,,,,,,,,,,,Cagliari,,,,"7:45pm, Saturday 31st October 2020.",0,0,,434374,,,,,,,,,,,,,,Bologna,,, Italian Serie A
22,,,,,,,,,,,,,,Atalanta,,,,"2:00pm, Saturday 31st October 2020.",0,0,,434375,,,,,,,,,,,,,,Crotone,,, Italian Serie A
23,,,,,,,,,,,,,,Roma,,,,"7:45pm, Monday 26th October 2020.",0,0,,434371,,,,,,,,,,,,,,AC Milan,,, Italian Serie A
24,,,,,,,,,,,,,,Lazio,,,,"2:00pm, Sunday 1st November 2020.",0,0,,434381,,,,,,,,,,,,,,Torino,,, Italian Serie A
25,,,,,,,,,,,,,,Verona,,,,"7:45pm, Sunday 25th October 2020.",0,0,,434369,,,,,,,,,,,,,,Juventus,,, Italian Serie A
26,,,,,,,,,,,,,,Udinese,,,,"5:00pm, Sunday 25th October 2020.",0,0,,434367,,,,,,,,,,,,,,Fiorentina,,, Italian Serie A
27,,,,,,,,,,,,,,Spezia,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434372,,,,,,,,,,,,,,Parma,,, Italian Serie A
28,,,,,,,,,,,,,,Crotone,,,,"11:30am, Sunday 25th October 2020.",0,0,,434366,,,,,,,,,,,,,,Cagliari,,, Italian Serie A
29,,,,,,,,,,,,,,Napoli,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434365,,,,,,,,,,,,,,Benevento,,, Italian Serie A
30,,,,,,,,,,,,,,Bologna,,,,"7:45pm, Saturday 24th October 2020.",0,0,,434370,,,,,,,,,,,,,,Lazio,,, Italian Serie A
31,,,,,,,,,,,,,,Angers,,,,"8:00pm, Friday 23rd October 2020.",0,0,,431440,,,,,,,,,,,,,,Rennes,,, French Ligue 1
