AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
52.9,4,0,8,18,0,59.7,74.8,0,17,9,4,4,Eintracht Frankfurt,62.5,2,300.,2020-10-18,1,1,427472,47.1,2,2,2,19,4,40.3,67.6,0,9,2,5,3,Cologne,55.0,3,Bundesliga,1430
29.4,4,1,7,8,1,48.7,77.6,0,12,4,4,5,Hoffenheim,36.4,3,"8,000.",2020-10-03,1,2,427466,70.6,2,4,5,12,9,51.3,78.0,0,16,6,8,3,Eintracht Frankfurt,46.2,2,Bundesliga,1430
50.0,1,5,10,6,2,66.3,90.8,1,17,7,9,4,Bayern Munich,58.8,0,,2020-10-17,4,1,427475,50.0,5,1,6,6,2,33.7,78.2,0,11,1,5,5,Arminia Bielefeld,64.7,1,Bundesliga,1730
32.1,3,0,2,12,0,33.8,82.2,0,6,1,2,3,SC Freiburg,50.0,1,"11,500.",2020-10-03,0,4,427465,67.9,2,3,3,8,1,66.2,89.4,0,16,7,7,2,Borussia Dortmund,71.4,1,Bundesliga,1430
47.6,1,0,4,9,0,33.0,73.1,0,3,2,0,4,Heracles Almelo,47.8,1,,2020-10-03,0,3,431772,52.4,3,4,7,9,0,67.0,84.7,0,15,5,7,0,Vitesse Arnhem,57.1,2,Eredivisie,1530
48.0,2,0,1,10,1,38.4,69.5,0,5,1,2,6,West Bromwich Albion,61.1,1,,2020-10-04,0,2,428875,52.0,1,0,5,19,1,61.6,76.6,0,13,5,7,3,Southampton,66.7,2,Premier_League,1200
53.7,4,1,4,13,4,52.0,73.9,0,15,5,6,1,Wolfsburg,50.0,2,300.,2020-10-17,1,1,427474,46.3,3,2,5,14,2,48.0,76.7,0,13,8,2,5,M'gladbach,55.0,2,Bundesliga,1930
29.6,4,0,3,11,0,42.6,74.6,0,16,7,5,3,Fortuna Sittard,65.0,1,,2020-10-04,0,2,431774,70.4,1,3,6,12,6,57.4,79.8,0,9,3,5,5,PSV Eindhoven,75.0,0,Eredivisie,1545
46.2,2,1,2,13,0,36.0,67.4,0,8,5,1,6,FC Augsburg,84.2,1,"4,632.",2020-10-04,0,0,427471,53.8,5,0,12,7,3,64.0,84.0,0,18,7,6,1,Wolfsburg,82.4,0,Bundesliga,1430
50.0,3,1,2,11,2,46.6,62.2,0,11,3,5,2,Hamilton Academical,62.5,1,,2020-10-20,2,4,425578,50.0,9,1,10,17,0,53.4,68.8,0,18,3,6,3,Aberdeen,61.5,1,Premiership,1900
38.1,2,0,9,18,1,60.8,79.4,0,9,5,2,1,Columbus Crew,61.5,4,,2020-10-15,1,2,438735,61.9,4,1,4,12,1,39.2,72.2,0,11,4,3,1,FC Cincinnati,61.5,1, American MLS League,1230
45.2,2,0,4,9,3,35.5,79.1,0,6,2,2,3,Sheffield United,36.4,1,,2020-10-04,1,2,428867,54.8,1,1,2,3,0,64.5,89.1,0,6,0,5,1,Arsenal,50.0,0,Premier_League,1400
42.9,3,1,2,8,0,52.9,87.8,0,10,5,2,4,Fulham,78.6,1,,2020-10-04,0,1,428876,57.1,6,1,6,15,0,47.1,84.9,0,14,3,5,2,Wolverhampton Wanderers,55.6,1,Premier_League,1400
56.4,5,4,7,14,2,51.1,77.9,0,22,8,9,4,New England Revolution,92.3,2,,2020-10-15,3,2,438740,43.6,1,3,2,12,0,48.9,78.7,0,14,7,6,6,Montreal Impact,50.0,1, American MLS League,1230
23.1,8,5,4,10,0,62.0,89.9,0,22,6,8,1,Tottenham Hotspur,47.8,1,,2020-10-04,6,1,428873,76.9,1,0,2,14,1,38.0,82.7,1,5,2,2,2,Manchester United,33.3,2,Premier_League,1630
54.0,1,0,2,13,1,41.5,69.4,0,6,3,2,10,Genoa,63.6,4,,2020-10-19,0,0,434363,46.0,1,0,14,14,1,58.5,82.2,0,18,7,10,2,Verona,81.8,1,Serie_A,1945
44.8,3,1,6,18,1,59.0,86.9,0,17,8,6,6,New York City FC,42.9,3,,2020-10-18,1,3,438777,55.2,1,4,5,12,4,41.0,75.3,0,11,1,9,5,Columbus Crew,53.8,1, American MLS League,2300
66.7,0,0,2,11,1,45.6,80.4,0,4,3,1,1,Seattle Sounders FC,52.9,1,,2020-10-19,0,0,438784,33.3,4,0,6,17,0,54.4,83.0,0,11,6,1,1,San Jose Earthquakes,37.5,1, American MLS League,330
75.0,5,0,5,5,5,48.6,85.0,0,13,4,4,6,Inter Miami CF,50.0,2,,2020-10-18,1,2,438771,25.0,3,2,0,7,1,51.4,86.7,0,16,5,8,3,Montreal Impact,66.7,1, American MLS League,1200
48.4,0,1,4,18,1,55.4,81.6,0,9,4,5,5,Los Angeles Football Club,38.9,4,,2020-10-19,1,1,438783,51.6,3,2,3,11,4,44.6,73.9,0,16,7,6,4,Portland Timbers,68.4,2, American MLS League,300
48.0,1,0,3,10,2,54.5,85.5,0,7,1,5,4,Vancouver Whitecaps,25.0,1,,2020-10-19,0,1,438779,52.0,4,3,8,10,1,45.5,78.6,0,18,9,5,4,Los Angeles Galaxy,64.3,2, American MLS League,330
61.3,0,2,4,10,2,43.9,66.8,0,9,4,5,2,Sporting Kansas City,65.0,0,,2020-10-17,2,2,438770,38.7,3,2,5,12,3,56.1,75.3,0,9,2,4,3,Chicago Fire,72.0,1, American MLS League,2030
58.3,4,1,8,21,2,55.1,82.0,0,18,6,8,1,New York City FC,75.0,3,,2020-10-15,1,1,438741,41.7,3,2,1,8,4,44.9,80.3,0,9,4,2,7,Orlando City SC,93.3,3, American MLS League,1230
58.7,2,3,7,14,2,47.4,60.2,1,8,4,2,6,Osasuna,71.4,1,,2020-10-18,0,0,433826,41.3,3,0,6,14,1,52.6,63.4,0,10,1,6,3,Eibar,55.6,2,La_Liga,1100
31.6,3,3,9,10,5,53.1,81.1,0,15,4,8,1,Houston Dynamo,66.7,1,,2020-10-19,2,2,438780,68.4,1,2,1,10,0,46.9,78.8,0,4,0,3,6,Minnesota United FC,60.0,1, American MLS League,100
40.0,5,1,6,10,4,49.9,85.2,0,6,0,1,5,Atlanta United FC,56.3,1,,2020-10-19,0,1,438785,60.0,2,0,2,14,0,50.1,85.5,0,11,3,6,1,Toronto FC,50.0,1, American MLS League,1230
51.6,2,2,3,12,1,46.5,78.2,0,13,7,4,5,D.C. United,56.5,3,,2020-10-19,2,1,438778,48.4,3,0,5,11,0,53.5,78.9,0,11,2,6,2,FC Cincinnati,38.5,0, American MLS League,1230
47.2,3,1,2,10,3,57.5,84.8,0,11,6,2,3,FC Dallas,69.2,2,"3,502.",2020-10-21,0,3,438699,52.8,0,2,2,17,0,42.5,79.6,0,12,6,6,2,Nashville SC,88.9,1, American MLS League,130
62.5,0,1,2,16,0,43.3,75.2,0,7,4,3,7,Philadelphia Union,73.9,2,,2020-10-20,2,1,438781,37.5,7,-1,7,13,2,56.7,82.0,0,22,7,8,3,New England Revolution,66.7,1, American MLS League,1230
50.0,3,1,5,16,0,41.2,72.0,0,9,3,3,3,Orlando City SC,61.5,3,,2020-10-19,1,1,438782,50.0,2,0,6,15,1,58.8,77.6,0,14,8,4,2,New York Red Bulls,69.2,1, American MLS League,1200
53.3,6,3,5,18,3,51.9,64.4,0,12,4,2,0,Dundee United,71.4,1,,2020-09-26,1,1,425614,46.7,4,1,7,18,5,48.1,56.2,0,12,7,1,1,Hamilton Academical,80.0,4,Premiership,1500
40.0,2,0,5,11,0,35.1,78.1,0,9,7,0,6,Hibernian,57.1,2,,2020-09-27,0,3,425613,60.0,5,1,6,9,0,64.9,89.4,0,20,6,9,0,Celtic,72.7,0,Premiership,1500
51.6,7,1,6,14,3,54.1,84.9,0,18,3,8,0,Aberdeen,64.3,0,,2020-09-27,3,0,425617,48.4,5,0,2,16,2,45.9,77.6,1,8,3,0,5,Ross County,66.7,2,Premiership,1500
31.3,3,0,2,12,0,43.1,74.4,0,8,1,4,6,Hamilton Academical,64.7,2,,2020-10-02,2,3,425621,68.8,5,4,7,10,3,56.9,81.5,0,18,4,9,3,Hibernian,100.0,1,Premiership,1945
51.7,0,1,2,13,0,27.9,61.7,0,4,4,0,2,Ross County,66.7,1,,2020-10-04,0,2,425623,48.3,6,1,14,9,4,72.1,85.8,0,15,5,4,0,Rangers,62.5,0,Premiership,1500
47.8,6,0,6,11,2,37.6,59.5,0,11,4,1,4,St Mirren,52.4,1,,2020-10-02,1,2,425619,52.2,8,0,5,14,1,62.4,75.5,0,15,1,6,0,Aberdeen,50.0,1,Premiership,1945
53.3,11,2,5,12,5,55.8,78.3,0,27,10,6,2,Hibernian,58.3,1,,2020-10-17,0,0,425629,46.7,6,0,3,11,1,44.2,72.4,1,16,8,2,5,Ross County,61.5,1,Premiership,1500
48.9,7,1,10,18,0,60.2,77.0,0,18,4,7,3,Aberdeen,37.5,2,,2020-10-17,0,0,425626,51.1,3,1,2,9,1,39.8,62.8,0,6,0,3,6,Dundee United,63.6,1,Premiership,1500
54.1,9,2,11,14,1,68.5,85.3,0,19,7,3,0,Celtic,37.5,2,,2020-10-04,2,0,425624,45.9,4,1,1,13,1,31.5,63.1,0,7,3,0,1,St. Johnstone,37.5,3,Premiership,1200
61.1,6,5,7,11,3,48.2,57.6,0,22,8,8,1,St. Johnstone,69.2,0,,2020-10-17,5,3,425627,38.9,2,0,3,18,0,51.8,61.3,0,10,4,4,3,Hamilton Academical,50.0,1,Premiership,1500
34.5,3,1,4,8,0,56.1,84.1,0,15,3,9,1,Rangers,52.4,0,,2020-09-27,5,1,425616,65.5,6,0,7,14,0,43.9,80.3,0,8,1,1,4,Motherwell,46.2,1,Premiership,1200
50.6,3,5,11,11,5,55.7,61.3,0,16,7,6,0,Livingston,83.3,0,,2020-10-02,2,1,425620,49.4,0,0,3,15,0,44.3,50.0,0,1,0,1,4,Dundee United,100.0,0,Premiership,1945
26.5,2,1,2,9,1,46.6,75.7,0,13,5,6,2,Southampton,38.5,1,,2020-10-17,3,3,428877,73.5,3,1,6,11,3,53.4,81.7,0,11,3,5,3,Chelsea,43.8,1,Premier_League,1500
52.5,8,1,7,12,2,63.6,86.0,0,28,6,14,4,Manchester United,71.4,1,,2020-10-17,4,1,428883,47.5,1,1,0,9,0,36.4,71.5,0,7,2,4,8,Newcastle United,61.1,1,Premier_League,2000
48.8,3,0,3,14,1,38.1,67.1,0,11,3,5,1,Kilmarnock,55.6,0,,2020-10-17,3,1,425628,51.2,8,1,6,14,2,61.9,73.4,0,15,5,2,2,Livingston,76.9,4,Premiership,1500
44.4,3,1,6,10,2,41.5,84.6,0,11,5,3,4,Arsenal,76.9,1,,2020-10-17,0,1,428882,55.6,4,2,6,15,0,58.5,88.9,0,13,4,5,3,Manchester City,45.5,4,Premier_League,1730
39.2,2,2,5,18,1,43.5,75.0,0,9,2,5,0,Rangers,55.6,2,,2020-10-17,2,0,425625,60.8,4,0,1,13,3,56.5,77.8,0,5,1,0,3,Celtic,72.2,2,Premiership,1230
47.5,1,1,7,18,3,49.5,76.3,0,10,5,4,5,Aston Villa,57.1,3,,2020-10-18,1,0,428881,52.5,4,0,2,18,2,50.5,75.1,0,11,2,5,3,Leicester City,52.4,4,Premier_League,1915
54.5,5,0,7,12,3,48.5,81.3,0,13,4,4,3,West Ham United,50.0,5,,2020-10-18,3,3,428885,45.5,1,2,3,13,1,51.5,81.6,0,11,4,6,2,Tottenham Hotspur,56.0,0,Premier_League,1630
36.7,6,4,5,9,3,58.1,83.4,0,22,8,8,3,Liverpool,44.4,2,,2020-10-17,2,2,428879,63.3,1,3,2,15,2,41.9,74.7,1,11,5,5,6,Everton,50.0,3,Premier_League,1230
58.5,3,3,4,8,2,30.5,70.3,0,14,5,6,0,West Ham United,50.0,2,,2020-10-04,3,0,428872,41.5,2,1,6,10,4,69.5,84.5,0,4,2,0,3,Leicester City,57.1,2,Premier_League,1200
47.4,8,0,5,13,2,65.7,82.5,1,20,9,3,0,Brighton and Hove Albion,60.0,2,,2020-10-18,1,1,428878,52.6,0,0,2,13,1,34.3,68.9,0,1,0,1,2,Crystal Palace,47.4,3,Premier_League,1400
44.4,4,1,5,9,0,58.5,84.4,0,15,5,6,5,Fulham,57.1,2,,2020-10-18,1,1,428884,55.6,1,2,2,5,4,41.5,80.2,0,10,3,6,5,Sheffield United,60.0,0,Premier_League,1200
70.4,3,1,3,12,2,32.3,67.9,0,7,1,3,2,Wolverhampton Wanderers,57.1,1,,2020-10-19,1,0,428880,29.6,4,1,8,13,1,67.7,83.2,0,13,7,2,2,Leeds United,57.1,2,Premier_League,2000
46.3,1,1,2,17,0,43.2,68.2,0,9,4,4,6,Burnley,84.6,2,,2020-10-19,0,0,428886,53.7,2,0,8,15,2,56.8,75.3,0,13,5,6,4,West Bromwich Albion,57.1,2,Premier_League,1730
45.9,0,0,1,17,0,34.2,53.3,0,10,7,3,0,Wycombe Wanderers,87.5,0,,2020-10-20,0,1,429770,54.1,0,1,2,12,3,65.8,76.8,0,5,4,1,3,Reading,57.9,2,Championship,2000
46.4,2,0,3,25,0,47.4,64.8,0,7,3,2,4,Rotherham United,60.0,2,,2020-10-20,1,1,429769,53.6,4,4,3,13,3,52.6,68.9,0,20,12,4,1,Nottingham Forest,80.0,0,Championship,1945
40.4,5,0,3,13,0,58.2,81.6,0,10,4,1,5,Luton Town,50.0,1,,2020-10-20,0,2,429767,59.6,4,1,8,15,1,41.8,79.3,0,21,11,6,1,Millwall,66.7,2,Championship,1945
43.8,4,2,4,7,3,43.5,61.5,0,9,4,1,0,Middlesbrough,100.0,2,,2020-10-20,1,0,429765,56.2,2,0,1,9,0,56.5,68.0,0,7,5,0,1,Bristol City,62.5,0,Championship,1945
