HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
Spartak Moscow,FK Akhmat,RFPL,2020-08-14,2,0,2.59,0.35,19,7,4,3,9,4,3.69,13.16,2.84,0.1
Montpellier,Lyon,Ligue_1,2020-09-15,2,1,1.75,2.17,10,19,3,7,3,10,11.09,8.74,1.04,1.67
FK Akhmat,CSKA Moscow,RFPL,2020-08-30,0,3,0.82,1.62,19,12,5,8,6,5,9.27,9.23,0.67,2.09
Montpellier,Nice,Ligue_1,2020-09-12,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
Nimes,Brest,Ligue_1,2020-08-23,4,0,2.15,0.47,12,10,5,3,7,4,8.21,6.07,2.56,0.29
Rubin Kazan,FC Tambov,RFPL,2020-08-30,2,2,2.1,0.73,15,7,8,3,11,2,11.41,15.83,2.39,0.43
FK Akhmat,PFC Sochi,RFPL,2020-09-12,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
Eibar,Celta Vigo,La_Liga,2020-09-12,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
Liverpool,Leeds,Premier_League,2020-09-12,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
Crystal Palace,Southampton,Premier_League,2020-09-12,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
Paris Saint Germain,Metz,Ligue_1,2020-09-16,1,0,2.42,0.98,20,7,8,1,11,4,6.94,36.3,2.34,0.48
Saint-Etienne,Lorient,Ligue_1,2020-08-30,2,0,1.39,0.21,13,6,5,1,2,1,9.13,6.7,2.43,0.35
FC Ufa,FC Rostov,RFPL,2020-08-23,0,1,0.51,1.45,5,18,2,6,2,14,13.89,10.93,0.58,2.16
FC Tambov,PFC Sochi,RFPL,2020-08-25,0,1,0.7,2.17,11,16,1,6,2,5,24.36,14.12,0.31,2.54
FC Tambov,FC Ufa,RFPL,2020-09-12,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
Arsenal Tula,FC Ufa,RFPL,2020-08-14,2,3,0.7,1.39,18,6,7,4,9,3,7.25,9.32,0.7,2.03
FK Akhmat,FC Rotor Volgograd,RFPL,2020-08-19,3,1,3.2,0.58,25,7,9,3,11,1,6.87,15.17,2.84,0.1
Lyon,Dijon,Ligue_1,2020-08-28,4,1,3.97,0.22,27,6,12,2,15,0,6.0,28.6,2.98,0.01
CSKA Moscow,FC Tambov,RFPL,2020-08-15,2,1,1.15,0.91,12,12,4,6,8,4,12.21,28.6,1.58,1.11
Khimki,CSKA Moscow,RFPL,2020-08-08,0,2,0.6,1.97,18,14,4,3,6,21,21.23,11.44,0.41,2.42
Nice,Lens,Ligue_1,2020-08-23,2,1,0.18,3.04,4,17,2,4,3,5,7.27,12.41,0.02,2.96
FC Krasnodar,CSKA Moscow,RFPL,2020-08-26,1,1,0.9,0.83,18,18,7,10,14,8,10.24,8.61,1.39,1.27
Fulham,Arsenal,Premier_League,2020-09-12,0,3,0.13,2.16,5,13,2,6,0,11,32.69,21.93,0.06,2.89
Dinamo Moscow,Rubin Kazan,RFPL,2020-09-13,0,1,0.6,1.59,15,16,3,6,2,3,8.0,6.86,0.53,2.23
Monaco,Nantes,Ligue_1,2020-09-13,2,1,2.27,1.11,18,7,5,2,8,5,9.07,17.0,2.15,0.64
Lille,Metz,Ligue_1,2020-09-13,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
FC Rostov,Lokomotiv Moscow,RFPL,2020-09-14,0,0,0.93,0.34,11,7,3,1,10,2,8.09,12.76,1.97,0.68
Paris Saint Germain,Marseille,Ligue_1,2020-09-13,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
Bordeaux,Nantes,Ligue_1,2020-08-21,0,0,0.6,0.19,5,6,1,1,0,2,24.46,13.0,1.86,0.7
Rubin Kazan,FC Ufa,RFPL,2020-08-26,3,0,3.45,0.39,20,12,11,3,7,2,13.82,23.45,2.94,0.03
Rennes,Montpellier,Ligue_1,2020-08-29,2,1,1.79,0.49,16,11,7,3,7,2,5.11,13.27,2.35,0.45
Real Valladolid,Real Sociedad,La_Liga,2020-09-13,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
Dinamo Moscow,FC Rostov,RFPL,2020-08-19,2,0,1.15,0.42,6,11,3,1,5,7,13.26,4.89,2.18,0.54
Dijon,Angers,Ligue_1,2020-08-22,0,1,0.74,2.02,9,12,1,4,5,6,22.0,24.13,0.42,2.38
Ural,Dinamo Moscow,RFPL,2020-08-10,0,2,0.96,1.87,14,15,2,7,4,10,19.08,12.5,0.68,2.08
FC Rostov,Zenit St. Petersburg,RFPL,2020-08-15,0,2,0.6,1.68,19,14,4,6,6,9,11.95,6.07,0.43,2.36
PFC Sochi,Rubin Kazan,RFPL,2020-08-18,3,2,1.69,2.17,11,18,6,7,4,3,15.81,8.44,1.05,1.7
FC Rotor Volgograd,Zenit St. Petersburg,RFPL,2020-08-11,0,2,0.29,1.99,11,16,5,4,2,7,20.4,7.65,0.19,2.7
West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
Valencia,Levante,La_Liga,2020-09-13,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
Angers,Bordeaux,Ligue_1,2020-08-30,0,2,0.51,2.29,12,7,2,7,6,2,8.32,7.97,0.24,2.63
Rubin Kazan,Lokomotiv Moscow,RFPL,2020-08-11,0,2,1.53,1.17,14,12,3,5,3,9,18.65,9.22,1.68,1.02
Marseille,Saint-Etienne,Ligue_1,2020-09-17,0,2,2.65,1.03,13,12,2,5,10,4,8.77,10.17,2.44,0.41
Tottenham,Everton,Premier_League,2020-09-13,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
FC Rotor Volgograd,PFC Sochi,RFPL,2020-08-22,1,2,0.65,1.54,13,17,2,8,4,8,10.24,15.21,0.64,2.11
CSKA Moscow,Spartak Moscow,RFPL,2020-09-13,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
PFC Sochi,Ural,RFPL,2020-08-30,0,0,0.41,0.65,13,10,1,2,5,5,11.57,14.06,1.03,1.53
Nantes,Nimes,Ligue_1,2020-08-30,2,1,2.16,0.87,8,17,5,9,1,8,16.71,5.96,2.36,0.46
Ural,Lokomotiv Moscow,RFPL,2020-08-19,1,1,0.58,2.72,5,21,1,8,4,10,15.36,17.67,0.18,2.73
Brest,Marseille,Ligue_1,2020-08-30,2,3,2.13,1.32,19,7,4,4,11,3,6.34,14.33,1.99,0.77
Dinamo Moscow,Zenit St. Petersburg,RFPL,2020-08-26,1,0,0.15,0.74,6,18,2,4,1,10,17.31,10.83,0.68,1.87
FC Tambov,Khimki,RFPL,2020-08-18,1,0,1.33,0.67,5,20,2,3,0,5,14.25,8.22,2.04,0.68
West Bromwich Albion,Leicester,Premier_League,2020-09-13,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
Khimki,FK Akhmat,RFPL,2020-08-22,1,2,1.48,1.52,13,17,5,6,8,8,11.67,4.13,1.3,1.38
Arsenal Tula,Dinamo Moscow,RFPL,2020-08-22,2,0,1.62,0.8,12,7,4,3,4,3,13.0,6.73,2.11,0.62
Ural,FC Krasnodar,RFPL,2020-08-22,1,0,1.24,1.35,12,15,4,6,4,9,24.0,8.71,1.26,1.45
FC Krasnodar,FC Rostov,RFPL,2020-08-30,1,1,1.55,0.63,23,14,7,4,21,6,6.76,11.26,2.12,0.64
Monaco,Reims,Ligue_1,2020-08-23,2,2,2.68,1.83,22,9,5,3,14,3,3.79,21.19,1.94,0.86
Saint-Etienne,Strasbourg,Ligue_1,2020-09-12,2,0,1.76,1.3,10,14,4,6,2,4,9.8,9.09,1.84,0.89
Strasbourg,Nice,Ligue_1,2020-08-29,0,2,0.23,1.21,6,3,0,2,4,1,16.28,12.76,0.33,2.45
CSKA Moscow,Rubin Kazan,RFPL,2020-08-22,1,2,0.87,0.92,20,14,7,6,8,7,8.83,13.12,1.29,1.38
FC Ufa,FC Krasnodar,RFPL,2020-08-09,0,3,0.32,2.15,5,24,2,11,5,14,24.14,4.96,0.16,2.74
Lorient,Strasbourg,Ligue_1,2020-08-23,3,1,3.07,0.33,10,7,7,1,2,4,7.17,17.4,2.92,0.05
Alaves,Real Betis,La_Liga,2020-09-13,0,1,1.18,0.34,7,11,2,4,1,4,8.56,9.94,2.37,0.4
Lokomotiv Moscow,FC Krasnodar,RFPL,2020-08-15,1,0,1.53,1.45,16,16,9,3,5,13,13.91,6.17,1.4,1.34
FC Ufa,Dinamo Moscow,RFPL,2020-08-30,1,1,0.56,0.58,7,11,2,6,6,5,16.39,11.57,1.3,1.28
FC Rostov,Ural,RFPL,2020-08-26,1,0,0.74,0.16,12,6,2,1,4,3,10.71,12.82,1.92,0.65
Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
Rubin Kazan,Ural,RFPL,2020-08-15,1,1,2.14,1.42,21,13,6,5,7,5,13.0,8.73,1.92,0.83
Reims,Lille,Ligue_1,2020-08-30,0,1,0.21,0.91,4,10,0,3,0,0,10.81,16.39,0.59,2.04
Bordeaux,Lyon,Ligue_1,2020-09-11,0,0,0.23,1.8,5,20,0,3,2,13,15.88,5.15,0.26,2.57
Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
Spartak Moscow,Arsenal Tula,RFPL,2020-08-29,2,1,1.01,0.45,7,5,3,2,3,1,4.48,12.71,1.89,0.76
