HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Atalanta,Cagliari,Serie_A,2020-10-04,5,2,3.61,0.66,21,12,12,3,15,6,10.45,15.32,2.88,0.07
Eibar,Elche,La_Liga,2020-09-30,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
Leeds,Manchester City,Premier_League,2020-10-03,1,1,2.57,1.42,12,23,7,2,5,10,7.83,11.38,2.16,0.66
Sassuolo,Crotone,Serie_A,2020-10-03,4,1,1.86,1.59,7,15,4,6,4,13,8.35,9.74,1.6,1.11
Leeds,Wolverhampton Wanderers,Premier_League,2020-10-19,0,1,1.08,0.62,13,7,2,3,14,2,5.5,12.0,1.75,0.91
Bologna,Parma Calcio 1913,Serie_A,2020-09-28,4,1,2.05,1.24,12,9,8,3,7,3,7.36,10.57,1.96,0.81
Lens,Saint-Etienne,Ligue_1,2020-10-03,2,0,2.13,0.09,13,2,5,1,8,0,3.1,22.0,2.86,0.08
VfB Stuttgart,Bayer Leverkusen,Bundesliga,2020-10-03,1,1,0.8,1.7,12,15,3,6,5,4,12.43,7.9,0.66,2.1
Lokomotiv Moscow,Khimki,RFPL,2020-10-04,2,1,1.9,1.25,18,11,7,2,10,5,9.19,8.65,1.87,0.87
Atletico Madrid,Villarreal,La_Liga,2020-10-03,0,0,0.61,0.2,13,6,0,2,8,7,10.77,15.14,1.71,0.8
Alaves,Athletic Club,La_Liga,2020-10-04,1,0,0.52,0.49,8,8,3,0,3,4,9.84,4.85,1.32,1.23
Liverpool,Arsenal,Premier_League,2020-09-28,3,1,2.74,1.18,21,4,8,3,11,3,8.83,35.86,2.43,0.4
Lazio,Atalanta,Serie_A,2020-09-30,1,4,1.8,1.9,14,10,6,6,9,6,8.07,16.91,1.31,1.44
Borussia Dortmund,Freiburg,Bundesliga,2020-10-03,4,0,2.83,0.45,16,6,7,2,15,0,8.26,23.86,2.85,0.09
Wolverhampton Wanderers,Fulham,Premier_League,2020-10-04,1,0,0.89,0.97,14,10,5,2,2,6,14.59,21.21,1.23,1.42
Khimki,Dinamo Moscow,RFPL,2020-09-28,1,0,1.59,1.7,12,26,4,9,8,12,12.17,7.28,1.31,1.42
Fiorentina,Sampdoria,Serie_A,2020-10-02,1,2,2.03,2.18,22,18,5,8,5,6,8.21,12.48,1.28,1.48
Paris Saint Germain,Angers,Ligue_1,2020-10-02,6,1,2.91,0.94,18,8,12,2,15,2,10.39,33.22,2.59,0.29
Udinese,Roma,Serie_A,2020-10-03,0,1,1.67,0.76,10,13,4,3,2,4,16.11,8.1,2.11,0.65
Benevento,Bologna,Serie_A,2020-10-04,1,0,0.89,1.82,7,17,2,7,6,5,8.96,6.08,0.66,2.1
Rennes,Reims,Ligue_1,2020-10-04,2,2,2.09,1.05,18,9,3,4,7,2,6.15,20.38,2.12,0.65
Cadiz,Granada,La_Liga,2020-10-04,1,1,1.09,0.82,14,13,4,5,1,4,9.54,4.0,1.6,1.07
Verona,Genoa,Serie_A,2020-10-19,0,0,0.88,0.38,18,6,10,2,9,1,6.9,12.86,1.8,0.82
FC Tambov,Arsenal Tula,RFPL,2020-10-03,1,1,2.19,0.35,16,11,6,5,8,3,7.16,10.73,2.71,0.19
Levante,Real Madrid,La_Liga,2020-10-04,0,2,0.58,1.88,11,13,4,3,6,13,10.19,7.82,0.42,2.4
Manchester United,Tottenham,Premier_League,2020-10-04,1,6,0.87,3.3,5,22,2,8,3,8,19.88,6.68,0.13,2.79
Getafe,Real Betis,La_Liga,2020-09-29,3,0,0.91,0.44,8,10,4,2,1,3,13.84,3.58,1.81,0.83
Real Sociedad,Getafe,La_Liga,2020-10-03,3,0,2.2,0.32,11,5,6,1,1,1,4.35,7.27,2.74,0.16
Benevento,Inter,Serie_A,2020-09-30,2,5,1.25,4.53,11,18,6,8,2,12,21.35,7.32,0.06,2.9
Sevilla,Levante,La_Liga,2020-10-01,1,0,1.05,0.38,16,3,2,1,8,0,6.5,13.08,1.95,0.71
PFC Sochi,FC Rostov,RFPL,2020-10-04,4,2,0.91,1.03,14,8,8,3,2,2,8.94,14.33,1.25,1.43
Chelsea,Crystal Palace,Premier_League,2020-10-03,4,0,2.51,0.1,17,4,6,0,5,2,4.45,25.88,2.93,0.04
Lyon,Marseille,Ligue_1,2020-10-04,1,1,3.14,0.38,24,3,3,1,13,2,7.0,21.3,2.89,0.06
