,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
0,Hoffenheim,RasenBallsport Leipzig,Bundesliga,2020-06-12,0,2,1.76,1.37,24,15,6,7,8,13,8.68,9.42,1.65,1.1
1,Wolfsburg,Freiburg,Bundesliga,2020-06-13,2,2,2.48,2.09,20,11,6,6,11,4,11.05,8.84,1.6,1.16
2,Bayern Munich,Borussia M.Gladbach,Bundesliga,2020-06-13,2,1,1.78,0.98,10,9,5,2,8,4,13.5,20.69,2.0,0.74
3,FC Cologne,Union Berlin,Bundesliga,2020-06-13,1,2,1.34,0.53,10,6,6,4,7,1,6.28,11.2,2.11,0.62
4,Fortuna Duesseldorf,Borussia Dortmund,Bundesliga,2020-06-13,0,1,0.38,0.68,6,6,3,3,2,5,24.24,12.48,0.94,1.63
5,Paderborn,Werder Bremen,Bundesliga,2020-06-13,1,5,1.97,3.13,18,11,7,8,4,7,10.75,5.56,0.57,2.23
6,Hertha Berlin,Eintracht Frankfurt,Bundesliga,2020-06-13,1,4,0.6,2.94,5,18,4,7,2,9,16.21,9.52,0.12,2.81
7,Mainz 05,Augsburg,Bundesliga,2020-06-14,0,1,1.43,0.89,17,9,4,3,10,4,5.63,12.3,1.8,0.91
8,Schalke 04,Bayer Leverkusen,Bundesliga,2020-06-14,1,1,1.47,0.89,7,15,4,5,2,6,18.19,4.64,1.93,0.8
9,Werder Bremen,FC Cologne,Bundesliga,2020-06-27,6,1,3.25,0.85,18,6,9,2,5,0,9.3,12.88,2.76,0.16
10,Augsburg,RasenBallsport Leipzig,Bundesliga,2020-06-27,1,2,0.16,1.89,5,14,1,5,3,6,11.63,7.95,0.16,2.71
11,Union Berlin,Fortuna Duesseldorf,Bundesliga,2020-06-27,3,0,1.19,0.99,11,26,5,2,4,8,12.05,10.76,1.57,1.14
12,Wolfsburg,Bayern Munich,Bundesliga,2020-06-27,0,4,0.75,3.22,12,16,4,9,2,7,15.24,10.32,0.16,2.77
13,Borussia Dortmund,Hoffenheim,Bundesliga,2020-06-27,0,4,0.13,3.86,7,16,4,7,7,9,16.76,24.2,0.01,2.98
14,Eintracht Frankfurt,Paderborn,Bundesliga,2020-06-27,3,2,1.97,1.49,12,17,4,5,8,7,6.93,18.95,1.75,1.0
15,Bayer Leverkusen,Mainz 05,Bundesliga,2020-06-27,1,0,1.88,0.35,13,6,2,1,14,2,5.47,23.05,2.56,0.28
16,Borussia M.Gladbach,Hertha Berlin,Bundesliga,2020-06-27,2,1,3.07,0.83,23,5,8,2,9,4,13.14,18.57,2.69,0.2
17,Freiburg,Schalke 04,Bundesliga,2020-06-27,4,0,1.88,0.65,15,22,8,6,10,7,11.53,16.79,2.31,0.49
18,Getafe,Real Sociedad,La_Liga,2020-06-29,2,1,1.39,0.73,11,5,4,1,2,5,6.77,7.21,1.98,0.72
19,Mallorca,Celta Vigo,La_Liga,2020-06-30,5,1,1.68,1.56,9,12,7,8,1,13,14.59,10.09,1.42,1.28
20,Barcelona,Atletico Madrid,La_Liga,2020-06-30,2,2,1.81,1.78,12,10,5,3,4,3,8.59,16.48,1.33,1.35
21,Leganes,Sevilla,La_Liga,2020-06-30,0,3,0.76,0.71,9,11,3,6,2,3,10.12,9.87,1.38,1.24
22,Real Valladolid,Levante,La_Liga,2020-07-01,0,0,1.37,0.21,14,8,4,3,11,6,16.31,12.06,2.53,0.28
23,Alaves,Granada,La_Liga,2020-07-01,0,2,1.02,1.24,11,7,4,4,5,5,4.8,7.12,1.13,1.54
24,Valencia,Athletic Club,La_Liga,2020-07-01,0,2,1.27,0.91,10,12,1,4,8,5,9.86,10.92,1.67,1.01
25,Real Betis,Villarreal,La_Liga,2020-07-01,0,2,0.4,2.92,10,14,1,6,4,6,18.81,8.72,0.1,2.85
26,Real Sociedad,Espanyol,La_Liga,2020-07-02,2,1,1.39,0.12,12,4,4,3,3,0,6.67,14.75,2.51,0.28
27,Eibar,Osasuna,La_Liga,2020-07-02,0,2,0.84,0.97,11,9,4,6,3,4,7.94,9.63,1.23,1.45
28,Real Madrid,Getafe,La_Liga,2020-07-02,1,0,1.76,0.35,8,10,4,3,3,1,4.27,8.02,2.57,0.28
29,Atletico Madrid,Mallorca,La_Liga,2020-07-03,3,0,2.65,0.6,15,13,3,1,18,4,9.38,14.68,2.71,0.2
30,Granada,Valencia,La_Liga,2020-07-04,2,2,2.68,0.85,17,4,4,3,10,4,5.72,9.36,2.6,0.27
31,Real Valladolid,Alaves,La_Liga,2020-07-04,1,0,0.59,0.31,5,7,3,0,0,1,11.41,11.76,1.6,0.93
32,Celta Vigo,Real Betis,La_Liga,2020-07-04,1,1,0.24,0.64,5,10,1,3,6,3,8.58,6.96,0.83,1.71
33,Osasuna,Getafe,La_Liga,2020-07-05,0,0,0.67,0.29,6,6,2,1,3,1,5.63,4.11,1.76,0.81
34,Espanyol,Leganes,La_Liga,2020-07-05,0,1,0.71,0.42,7,4,2,2,2,3,5.22,14.19,1.63,0.95
35,Athletic Club,Real Madrid,La_Liga,2020-07-05,0,1,0.24,2.9,7,10,1,4,2,6,12.5,9.31,0.05,2.92
36,Villarreal,Barcelona,La_Liga,2020-07-05,1,4,0.96,2.75,10,18,4,12,8,22,29.22,10.32,0.33,2.53
37,Tottenham,Everton,Premier_League,2020-07-06,1,0,0.51,0.4,12,11,2,3,3,3,10.58,12.2,1.37,1.14
38,Arsenal,Leicester,Premier_League,2020-07-07,1,1,1.29,1.0,11,13,7,5,8,5,17.11,8.0,1.61,1.08
39,Watford,Norwich,Premier_League,2020-07-07,2,1,0.73,1.13,9,12,4,3,6,7,11.23,9.0,0.92,1.76
40,Crystal Palace,Chelsea,Premier_League,2020-07-07,2,3,1.29,2.66,13,14,4,6,7,8,14.0,7.38,0.49,2.32
41,Manchester City,Newcastle United,Premier_League,2020-07-08,5,0,3.29,0.22,23,6,9,1,23,1,6.38,33.33,2.91,0.05
42,Sheffield United,Wolverhampton Wanderers,Premier_League,2020-07-08,1,0,0.47,0.33,7,6,3,1,7,2,18.89,11.85,1.41,1.08
43,West Ham,Burnley,Premier_League,2020-07-08,0,1,2.0,1.05,22,8,5,4,8,6,10.94,24.13,2.07,0.71
44,Brighton,Liverpool,Premier_League,2020-07-08,1,3,2.36,2.62,12,19,2,8,5,15,20.92,8.65,1.27,1.51
45,Everton,Southampton,Premier_League,2020-07-09,1,1,0.67,2.3,11,17,4,4,2,13,14.41,6.93,0.27,2.6
46,Bournemouth,Tottenham,Premier_League,2020-07-09,0,0,0.96,0.48,8,9,2,0,6,5,12.29,6.47,1.82,0.83
47,Aston Villa,Manchester United,Premier_League,2020-07-09,0,3,0.6,2.87,9,14,1,6,2,13,21.24,8.0,0.15,2.77
48,Liverpool,Burnley,Premier_League,2020-07-11,1,1,2.18,0.45,23,6,9,2,19,2,8.69,23.47,2.56,0.29
49,Sheffield United,Chelsea,Premier_League,2020-07-11,3,0,2.01,1.18,9,15,4,4,5,3,45.91,4.73,2.04,0.73
50,Brighton,Manchester City,Premier_League,2020-07-11,0,5,0.15,5.52,3,26,0,8,5,14,27.06,9.6,0.0,3.0
51,Watford,Newcastle United,Premier_League,2020-07-11,2,1,3.13,1.49,17,8,5,4,11,1,6.25,12.08,2.5,0.35
52,Norwich,West Ham,Premier_League,2020-07-11,0,4,0.61,3.81,11,19,2,7,7,9,14.11,20.88,0.05,2.92
53,Aston Villa,Crystal Palace,Premier_League,2020-07-12,2,0,1.7,0.97,12,9,9,5,4,3,8.92,7.45,1.95,0.8
54,Tottenham,Arsenal,Premier_League,2020-07-12,2,1,1.82,0.69,15,13,9,4,4,6,17.04,13.06,2.26,0.53
