web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1604424085-188,https://understat.com/league/EPL,010.950.80,https://understat.com/match/14488,Burnley,Tottenham,EPL,Oct 26 2020,0,1,0.95,0.8,13,9,4,3,4,6,14.87,9.78,1.46,1.2
1604424066-185,https://understat.com/league/EPL,030.411.23,https://understat.com/match/14496,Burnley,Chelsea,EPL,Oct 31 2020,0,3,0.41,1.23,5,14,0,9,1,12,16.92,8.96,0.6,2.11
1604424047-182,https://understat.com/league/EPL,212.631.22,https://understat.com/match/14501,Newcastle United,Everton,EPL,Nov 01 2020,2,1,2.63,1.22,11,15,4,4,5,8,34.25,8.79,2.45,0.39
1604424001-177,https://understat.com/league/Bundesliga,110.731.57,https://understat.com/match/15185,Schalke 04,VfB Stuttgart,Bundesliga,Oct 30 2020,1,1,0.73,1.57,9,20,2,8,2,10,8.93,6.93,0.63,2.1
1604424041-181,https://understat.com/league/EPL,010.391.00,https://understat.com/match/14500,Manchester United,Arsenal,EPL,Nov 01 2020,0,1,0.39,1.0,8,7,2,2,10,7,17.65,11.85,0.62,2.06
1604424240-210,https://understat.com/league/Ligue_1,031.632.73,https://understat.com/match/15839,Nantes,Paris Saint Germain,Ligue 1,Oct 31 2020,0,3,1.63,2.73,6,13,1,4,4,8,24.52,12.52,0.6,2.19
1604424130-194,https://understat.com/league/La_liga,142.122.28,https://understat.com/match/14848,Celta Vigo,Real Sociedad,La liga,Nov 01 2020,1,4,2.12,2.28,9,9,2,7,5,7,7.62,6.39,1.24,1.48
1604424227-208,https://understat.com/league/Ligue_1,030.402.78,https://understat.com/match/15836,Angers,Nice,Ligue 1,Nov 01 2020,0,3,0.4,2.78,11,12,5,5,7,6,7.85,13.95,0.07,2.89
1604424155-198,https://understat.com/league/La_liga,211.331.15,https://understat.com/match/14846,Athletic Club,Sevilla,La liga,Oct 31 2020,2,1,1.33,1.15,16,7,5,3,3,6,13.5,6.39,1.52,1.17
1604424078-187,https://understat.com/league/EPL,201.350.80,https://understat.com/match/14504,Wolverhampton Wanderers,Crystal Palace,EPL,Oct 30 2020,2,0,1.35,0.8,15,11,5,2,8,4,13.85,16.71,1.82,0.89
1604423912-164,https://understat.com/league/Serie_A,120.961.02,https://understat.com/match/15484,Udinese,AC Milan,Serie A,Nov 01 2020,1,2,0.96,1.02,9,12,2,4,4,9,14.21,8.43,1.3,1.33
1604423873-159,https://understat.com/league/Serie_A,110.861.18,https://understat.com/match/15481,Sampdoria,Genoa,Serie A,Nov 01 2020,1,1,0.86,1.18,9,11,3,4,7,5,7.48,13.04,1.05,1.64
1604424182-202,https://understat.com/league/La_liga,201.850.79,https://understat.com/match/14854,Villarreal,Real Valladolid,La liga,Nov 02 2020,2,0,1.85,0.79,11,11,5,1,6,3,7.13,10.79,2.23,0.56
1604424221-207,https://understat.com/league/Ligue_1,000.381.15,https://understat.com/match/15837,Dijon,Lorient,Ligue 1,Nov 01 2020,0,0,0.38,1.15,11,9,2,1,3,3,10.25,10.46,0.52,2.2
1604424149-197,https://understat.com/league/La_liga,131.433.06,https://understat.com/match/14851,Osasuna,Atletico Madrid,La liga,Oct 31 2020,1,3,1.43,3.06,8,11,3,6,2,9,16.55,10.36,0.35,2.5
1604423809-151,https://understat.com/league/RFPL,010.261.44,https://understat.com/match/14326,FC Rotor Volgograd,CSKA Moscow,RFPL,Nov 01 2020,0,1,0.26,1.44,7,22,2,6,1,14,27.54,6.38,0.43,2.33
1604423823-153,https://understat.com/league/RFPL,120.631.88,https://understat.com/match/14327,FC Ufa,Ural,RFPL,Nov 01 2020,1,2,0.63,1.88,13,11,3,5,7,6,9.71,7.11,0.41,2.41
1604424136-195,https://understat.com/league/La_liga,313.060.48,https://understat.com/match/14847,Real Betis,Elche,La liga,Nov 01 2020,3,1,3.06,0.48,17,4,10,2,13,2,8.76,29.14,2.85,0.09
1604423848-157,https://understat.com/league/RFPL,312.530.53,https://understat.com/match/14321,Rubin Kazan,Arsenal Tula,RFPL,Oct 31 2020,3,1,2.53,0.53,16,17,3,4,6,10,19.5,8.35,2.69,0.21
1604423880-160,https://understat.com/league/Serie_A,203.630.37,https://understat.com/match/15480,Roma,Fiorentina,Serie A,Nov 01 2020,2,0,3.63,0.37,17,8,6,1,9,3,9.69,7.18,2.94,0.03
1604423995-176,https://understat.com/league/Bundesliga,120.680.99,https://understat.com/match/15186,FC Cologne,Bayern Munich,Bundesliga,Oct 31 2020,1,2,0.68,0.99,10,6,2,4,2,9,28.86,5.75,0.91,1.72
1604424162-199,https://understat.com/league/La_liga,412.240.80,https://understat.com/match/14852,Real Madrid,SD Huesca,La liga,Oct 31 2020,4,1,2.24,0.8,13,9,6,2,9,0,9.3,20.56,2.41,0.42
