web-scraper-order,web-scraper-start-url,Games,Games-href,League,Teams,Date,Time,ODDH,ODDD,ODDA,ODD_25+2,ODD_25-2,ODD_BthScore_Yes2,ODD_BthScore_No2,Tag25,TagBthScore ,ODD_1X,ODD_12,ODD_X2,TagDC
"1595158275-347","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","22/07/2020
20:45

                    Itália - Serie A
                
                SPAL - Roma
            

            
            
                

    Resultado
    
        
            
    
        SP
        AL
    
    6,55
    


            
    
        Emp
        ate
    
    4,72
    


            
    
        Ro
        ma
    
    1,38
    


        
    


                

    Resultado duplo
    
        
            
    
        SPAL ou em
        pate
    
    2,80
    


            
    
        SPAL ou 
        Roma
    
    1,15
    


            
    
        Roma ou em
        pate
    
    1,10
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/spal-roma-m2573572","Itália - Serie A","SPAL - Roma","22/07/2020","20:45","6,55","4,72","1,38","1,38","2,35","1,58","1,95","Acima de 2.5","As duas equipas marcam","2,80","1,15","1,10","Resultado duplo"
"1595158142-324","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","Hoje



16:00

                    Inglaterra - Premier Lg.
                
                Tottenham - Leicester
            

            
            
                

    Resultado
    
        
            
    
        Tott
        enham
    
    2,34
    


            
    
        Emp
        ate
    
    3,35
    


            
    
        Leic
        ester
    
    3,10
    


        
    


                

    Resultado duplo
    
        
            
    
        Tottenham ou em
        pate
    
    1,38
    


            
    
        Tottenham ou Leice
        ster
    
    1,35
    


            
    
        Leicester ou em
        pate
    
    1,60
    


        
    


                
    200
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/tottenham-leicester-m2569672","Inglaterra - Premier Lg.","Tottenham - Leicester","Hoje","16:00","2,34","3,35","3,10","1,90","1,65","1,70","1,82","Acima de 2.5","As duas equipas marcam","1,38","1,35","1,60","Resultado duplo"
"1595158084-314","https://www.betclic.pt/futebol-s1/liga-dos-campeoes-c8","08/08/2020
20:00

                    Liga dos Campeões
                
                Bayern Munique - Chelsea
            

            
            
                

    Resultado
    
        
            
    
        Bayern Mun
        ique
    
    1,40
    


            
    
        Emp
        ate
    
    4,53
    


            
    
        Che
        lsea
    
    5,70
    


        
    


                

    Resultado duplo
    
        
            
    
        Bayern Munique ou em
        pate
    
    1,11
    


            
    
        Bayern Munique ou Che
        lsea
    
    1,14
    


            
    
        Chelsea ou em
        pate
    
    2,60
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/liga-dos-campeoes-c8/bayern-munique-chelsea-m2564045","Liga dos Campeões","Bayern Munique - Chelsea","08/08/2020","20:00","1,40","4,53","5,70","1,30","2,40","1,45","2,05","Acima de 2.5","As duas equipas marcam","1,11","1,14","2,60","Resultado duplo"
"1595157916-284","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147","22/07/2020
17:00

                    Rússia - Premier Lg.
                
                Rubin Kazan - Spartak Moscovo
            

            
            
                

    Resultado
    
        
            
    
        Rubin K
        azan
    
    2,92
    


            
    
        Emp
        ate
    
    3,10
    


            
    
        Spartak Mos
        covo
    
    2,30
    


        
    


                

    Resultado duplo
    
        
            
    
        Rubin Kazan ou em
        pate
    
    1,52
    


            
    
        Rubin Kazan ou Spartak Mos
        covo
    
    1,30
    


            
    
        Spartak Moscovo ou em
        pate
    
    1,35
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/russia-premier-lg-c147/rubin-kazan-spartak-moscovo-m2539395","Rússia - Premier Lg.","Rubin Kazan - Spartak Moscovo","22/07/2020","17:00","2,92","3,10","2,30","1,85","1,55","1,72","1,80","Acima de 2.5","As duas equipas marcam","1,52","1,30","1,35","Resultado duplo"
"1595158147-325","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","Hoje



14:00

                    Inglaterra - Premier Lg.
                
                Bournemouth - Southampton
            

            
            
                

    Resultado
    
        
            
    
        Bournem
        outh
    
    2,35
    


            
    
        Emp
        ate
    
    3,63
    


            
    
        Southam
        pton
    
    2,87
    


        
    


                

    Resultado duplo
    
        
            
    
        Bournemouth ou em
        pate
    
    1,42
    


            
    
        Bournemouth ou Southam
        pton
    
    1,30
    


            
    
        Southampton ou em
        pate
    
    1,58
    


        
    


                
    200
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/bournemouth-southampton-m2569673","Inglaterra - Premier Lg.","Bournemouth - Southampton","Hoje","14:00","2,35","3,63","2,87","1,60","2,00","1,50","2,10","Acima de 2.5","As duas equipas marcam","1,42","1,30","1,58","Resultado duplo"
"1595157875-277","https://www.betclic.pt/futebol-s1/escocia-premiership-c33","03/08/2020
19:45

                    Escócia - Premiership
                
                Ross County - Motherwell
            

            
            
                

    Resultado
    
        
            
    
        Ross Co
        unty
    
    2,85
    


            
    
        Emp
        ate
    
    3,22
    


            
    
        Mother
        well
    
    2,28
    


        
    


                

    Resultado duplo
    
        
            
    
        Ross County ou em
        pate
    
    1,52
    


            
    
        Ross County ou Mother
        well
    
    1,28
    


            
    
        Motherwell ou em
        pate
    
    1,35
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/escocia-premiership-c33/ross-county-motherwell-m2564692","Escócia - Premiership","Ross County - Motherwell","03/08/2020","19:45","2,85","3,22","2,28","1,72","1,68","1,62","1,90","Acima de 2.5","As duas equipas marcam","1,52","1,28","1,35","Resultado duplo"
"1595157977-295","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                Wigan - Fulham
            

            
            
                

    Resultado
    
        
            
    
        Wi
        gan
    
    2,61
    


            
    
        Emp
        ate
    
    3,35
    


            
    
        Ful
        ham
    
    2,39
    


        
    


                

    Resultado duplo
    
        
            
    
        Wigan ou em
        pate
    
    1,48
    


            
    
        Wigan ou Fu
        lham
    
    1,27
    


            
    
        Fulham ou em
        pate
    
    1,42
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/wigan-fulham-m2576832","Inglaterra - Championship","Wigan - Fulham","22/07/2020","19:30","2,61","3,35","2,39","1,58","1,85","1,52","2,10","Acima de 2.5","As duas equipas marcam","1,48","1,27","1,42","Resultado duplo"
"1595158183-331","https://www.betclic.pt/futebol-s1/eua-mls-c504","22/07/2020
01:00

                    EUA - MLS
                
                Atlanta United - Crew
            

            
            
                

    Resultado
    
        
            
    
        Atlanta Un
        ited
    
    2,42
    


            
    
        Emp
        ate
    
    3,17
    


            
    
        Cr
        ew
    
    2,48
    


        
    


                

    Resultado duplo
    
        
            
    
        Atlanta United ou em
        pate
    
    1,38
    


            
    
        Atlanta United ou 
        Crew
    
    1,25
    


            
    
        Crew ou em
        pate
    
    1,40
    


        
    


                
    106
    
        apostas","https://www.betclic.pt/futebol-s1/eua-mls-c504/atlanta-united-crew-m2560436","EUA - MLS","Atlanta United - Crew","22/07/2020","01:00","2,42","3,17","2,48","1,62","1,75","1,55","1,95","Acima de 2.5","As duas equipas marcam","1,38","1,25","1,40","Resultado duplo"
"1595157962-292","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                West Bromwich - QPR
            

            
            
                

    Resultado
    
        
            
    
        West Brom
        wich
    
    1,21
    


            
    
        Emp
        ate
    
    5,50
    


            
    
        Q
        PR
    
    10,75
    


        
    


                

    Resultado duplo
    
        
            
    
        West Bromwich ou em
        pate
    
    1,04
    


            
    
        West Bromwich ou
         QPR
    
    1,10
    


            
    
        QPR ou em
        pate
    
    3,90
    


        
    


                
    103
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/west-bromwich-qpr-m2576835","Inglaterra - Championship","West Bromwich - QPR","22/07/2020","19:30","1,21","5,50","10,75","1,45","2,05","2,00","1,58","Acima de 2.5","As duas equipas marcam","1,04","1,10","3,90","Resultado duplo"
"1595158378-366","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7","Hoje



20:00

                    Espanha - La Liga
                
                Granada - Athletic Bilbau
            

            
            
                

    Resultado
    
        
            
    
        Gra
        nada
    
    2,05
    


            
    
        Emp
        ate
    
    3,35
    


            
    
        Athletic Bi
        lbau
    
    3,78
    


        
    


                

    Resultado duplo
    
        
            
    
        Granada ou em
        pate
    
    1,28
    


            
    
        Granada ou Athletic Bi
        lbau
    
    1,32
    


            
    
        Athletic Bilbau ou em
        pate
    
    1,75
    


        
    


                
    189
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/granada-athletic-bilbau-m2572611","Espanha - La Liga","Granada - Athletic Bilbau","Hoje","20:00","2,05","3,35","3,78","1,95","1,62","1,75","1,75","Acima de 2.5","As duas equipas marcam","1,28","1,32","1,75","Resultado duplo"
