web-scraper-order,web-scraper-start-url,games,games-href,League,Teams,Date,ODDH,ODDD,ODDA,ODD_1X,ODD_12,ODD_X2,ODD_BthScore_Yes,ODD_BthScore_No,ODD_+25,ODD_-25
"1594588171-14","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


20:45

                    Itália - Serie A
                
                Inter - Torino
            

            
            
                

    Resultado
    
        
            
    
        In
        ter
    
    1,38
    


            
    
        Emp
        ate
    
    4,65
    


            
    
        Tor
        ino
    
    6,70
    


        
    


                

    Resultado duplo
    
        
            
    
        Inter ou em
        pate
    
    1,10
    


            
    
        Inter ou To
        rino
    
    1,15
    


            
    
        Torino ou em
        pate
    
    2,80
    


        
    


                
    192
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/inter-torino-m2556942","Itália - Serie A","Inter - Torino","Amanhã


20:45","1,38","4,65","6,70","1,10","1,15","2,80","1,65","1,88","1,45","2,20"
"1594588183-18","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


18:30

                    Espanha - La Liga
                
                Alavés - Getafe
            

            
            
                

    Resultado
    
        
            
    
        Ala
        vés
    
    3,27
    


            
    
        Emp
        ate
    
    2,77
    


            
    
        Get
        afe
    
    2,48
    


        
    


                

    Resultado duplo
    
        
            
    
        Alavés ou em
        pate
    
    1,48
    


            
    
        Alavés ou Ge
        tafe
    
    1,38
    


            
    
        Getafe ou em
        pate
    
    1,30
    


        
    


                
    185
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/alaves-getafe-m2557145","Espanha - La Liga","Alavés - Getafe","Amanhã


18:30","3,27","2,77","2,48","1,48","1,38","1,30","2,25","1,45","2,65","1,30"
"1594588141-1","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
18:30

                    Itália - Serie A
                
                Milan - Parma
            

            
            
                

    Resultado
    
        
            
    
        Mi
        lan
    
    1,42
    


            
    
        Emp
        ate
    
    4,35
    


            
    
        Pa
        rma
    
    6,40
    


        
    


                

    Resultado duplo
    
        
            
    
        Milan ou em
        pate
    
    1,11
    


            
    
        Milan ou P
        arma
    
    1,17
    


            
    
        Parma ou em
        pate
    
    2,60
    


        
    


                
    104
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/milan-parma-m2563543","Itália - Serie A","Milan - Parma","15/07/2020
18:30","1,42","4,35","6,40","1,11","1,17","2,60","1,72","1,80","1,52","2,00"
"1594588162-10","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","14/07/2020
20:15

                    Inglaterra - Premier Lg.
                
                Chelsea - Norwich City
            

            
            
                

    Resultado
    
        
            
    
        Che
        lsea
    
    1,12
    


            
    
        Emp
        ate
    
    7,70
    


            
    
        Norwich 
        City
    
    15,50
    


        
    


                

    Resultado duplo
    
        
            
    
        Chelsea ou em
        pate
    
    1,03
    


            
    
        Chelsea ou Norwich 
        City
    
    1,06
    


            
    
        Norwich City ou em
        pate
    
    5,25
    


        
    


                
    190
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/chelsea-norwich-city-m2564460","Inglaterra - Premier Lg.","Chelsea - Norwich City","14/07/2020
20:15","1,12","7,70","15,50","1,03","1,06","5,25","1,95","1,58","1,30","2,65"
"1594588146-3","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
18:00

                    Inglaterra - Premier Lg.
                
                Burnley - Wolves
            

            
            
                

    Resultado
    
        
            
    
        Bur
        nley
    
    4,38
    


            
    
        Emp
        ate
    
    3,13
    


            
    
        Wol
        ves
    
    1,85
    


        
    


                

    Resultado duplo
    
        
            
    
        Burnley ou em
        pate
    
    1,82
    


            
    
        Burnley ou Wo
        lves
    
    1,30
    


            
    
        Wolves ou em
        pate
    
    1,19
    


        
    


                
    156
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/burnley-wolves-m2564456","Inglaterra - Premier Lg.","Burnley - Wolves","15/07/2020
18:00","4,38","3,13","1,85","1,82","1,30","1,19","2,05","1,52","2,20","1,45"
"1594588151-5","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
18:00

                    Inglaterra - Premier Lg.
                
                Newcastle - Tottenham
            

            
            
                

    Resultado
    
        
            
    
        Newc
        astle
    
    4,18
    


            
    
        Emp
        ate
    
    3,47
    


            
    
        Tott
        enham
    
    1,78
    


        
    


                

    Resultado duplo
    
        
            
    
        Newcastle ou em
        pate
    
    1,88
    


            
    
        Newcastle ou Totte
        nham
    
    1,25
    


            
    
        Tottenham ou em
        pate
    
    1,20
    


        
    


                
    156
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/newcastle-tottenham-m2564436","Inglaterra - Premier Lg.","Newcastle - Tottenham","15/07/2020
18:00","4,18","3,47","1,78","1,88","1,25","1,20","1,68","1,80","1,72","1,75"
"1594588188-20","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Itália - Serie A
                
                    
                        63'
                                -
                            
                        
                        P2
                    
                    
                
            
            
                Nápoles
                
                    2
                     -
                    1
                
                Milan
            
        
        
            
            

    Resultado
    
        
            
    
        Náp
        oles
    
    1,22
    


            
    
        Emp
        ate
    
    4,10
    


            
    
        Mi
        lan
    
    14
    


        
    


            

    Equipa marca o golo 4
    
        
            
    
        Náp
        oles
    
    2,30
    


            
    
        Nenhum 
        golo
    
    2,45
    


            
    
        Mi
        lan
    
    2,80
    


        
    


            
        
            
    36
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/napoles-milan-m2556966","null","null","null","1,22","4,10","14","2,30","2,40","2,85","1,25","7,00","7,50","9,00"
"1594588148-4","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","15/07/2020
18:00

                    Inglaterra - Premier Lg.
                
                Manchester City - Bournemouth
            

            
            
                

    Resultado
    
        
            
    
        Manchester 
        City
    
    1,13
    


            
    
        Emp
        ate
    
    7,75
    


            
    
        Bournem
        outh
    
    13,75
    


        
    


                

    Resultado duplo
    
        
            
    
        Manchester City ou em
        pate
    
    1,03
    


            
    
        Manchester City ou Bournem
        outh
    
    1,06
    


            
    
        Bournemouth ou em
        pate
    
    5,00
    


        
    


                
    101
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/manchester-city-bournemouth-m2564452","Inglaterra - Premier Lg.","Manchester City - Bournemouth","15/07/2020
18:00","1,13","7,75","13,75","1,03","1,06","5,00","1,75","1,70","1,62","1,88"
"1594588167-12","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Amanhã


21:15

                    Portugal - Primeira Liga
                
                V. Setúbal - Famalicão
            

            
            
                

    Resultado
    
        
            
    
        V. S
        etúbal
    
    3,17
    


            
    
        Emp
        ate
    
    3,25
    


            
    
        Fama
        licão
    
    2,29
    


        
    


                

    Resultado duplo
    
        
            
    
        V. Setúbal ou e
        mpate
    
    1,58
    


            
    
        V. Setúbal ou Fama
        licão
    
    1,35
    


            
    
        Famalicão ou em
        pate
    
    1,35
    


        
    


                
    151
    
        apostas","https://www.betclic.pt/futebol-s1/portugal-primeira-liga-c32/v-setubal-famalicao-m2563461","Portugal - Primeira Liga","V. Setúbal - Famalicão","Amanhã


21:15","3,17","3,25","2,29","1,58","1,35","1,35","1,78","1,80","2,00","1,62"
"1594588185-19","https://www.betclic.pt/futebol-s1/top-futebol-europeu-p1","Espanha - La Liga
                
                    
                        46'
                                -
                            
                        
                        P2
                    
                    
                
            
            
                Sevilha
                
                    1
                     -
                    0
                
                Maiorca
            
        
        
            
            

    Resultado
    
        
            
    
        Sev
        ilha
    
    1,04
    


            
    
        Emp
        ate
    
    7,00
    


            
    
        Mai
        orca
    
    21
    


        
    


            

    Equipa marca o golo 2
    
        
            
    
        Sev
        ilha
    
    1,48
    


            
    
        Nenhum 
        golo
    
    4,00
    


            
    
        Mai
        orca
    
    3,60
    


        
    


            
        
            
    55
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/sevilha-maiorca-m2557147","null","null","null","1,03","7,25","21","1,48","4,00","3,60","13","1,07","9,00","10"
