,Unnamed: 0,League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
0,0,Primeira_Liga,2020-07-20,1915,Tondela,SC Braga,5.0,4.05,1.57,1.57,2.02,1.63,1.95,2.25,1.17,1.14,2020-07-19,1145
1,1,Serie_A,2020-07-19,1830,Fiorentina,Torino,1.88,3.3,4.1,1.67,1.88,1.57,2.04,1.20,1.26,1.8,2020-07-19,1145
2,2,Premier_League,2020-07-22,2015,Liverpool,Chelsea,2.0,3.45,3.45,1.50,2.13,1.44,2.3,1.27,1.23,1.72,2020-07-19,1145
3,3,Championship,2020-07-22,1930,Luton Town,Blackburn Rovers,1.72,3.65,4.4,1.60,1.91,1.55,2.0,1.17,1.2,1.95,2020-07-19,1145
4,4,Serie_A,2020-07-20,2045,Juventus,Lazio,1.6,4.0,4.85,1.55,2.05,1.60,2.0,1.14,1.18,2.19,2020-07-19,1145
5,5,MLS,2020-07-22,1400,Real Salt Lake,Sporting Kansas City,2.86,3.65,2.2,1.42,2.2,1.35,2.37,1.57,1.21,1.38,2020-07-19,1145
6,6,Premier_League,2020-07-21,2015,Aston Villa,Arsenal,3.1,3.7,2.05,1.65,2.17,1.50,2.16,1.67,1.21,1.32,2020-07-19,1145
7,7,Championship,2020-07-22,1930,Millwall FC,Huddersfield,2.33,3.2,2.96,1.67,1.8,1.53,2.02,1.35,1.25,1.53,2020-07-19,1145
8,8,La_Liga,2020-07-19,2000,Sevilha,Valencia,1.8,3.85,3.8,1.55,2.05,1.53,2.1,1.22,1.19,1.91,2020-07-19,1145
9,9,Champions,2020-08-12,2000,Atalanta,PSG,3.2,3.6,2.05,None,None,None,None,None,None,None,2020-07-19,1145
10,10,Liga_Europa,2020-08-05,2000,Inter de Milao,Getafe,2.0,3.2,3.75,None,None,None,None,None,None,None,2020-07-19,1145
11,11,Championship,2020-07-22,1930,Bristol City,Preston,2.67,3.1,2.6,1.72,1.75,1.53,2.0,1.44,1.27,1.42,2020-07-19,1145
12,12,MLS,2020-07-23,330,Colorado Rapids,Minnesota United,3.05,3.5,2.14,1.50,2.02,1.42,2.18,1.63,1.21,1.33,2020-07-19,1145
13,13,Championship,2020-07-22,1930,Wigan,Fulham,2.67,3.35,2.45,1.60,1.91,1.47,2.13,1.47,1.23,1.42,2020-07-19,1145
14,14,Liga_Europa,2020-08-05,2000,Manchester United,Linz,1.3,5.3,8.5,None,None,None,None,None,1.14,3.25,2020-07-19,1145
15,15,Primeira_Liga,2020-07-19,1900,Belenenses SAD,Gil Vicente,2.33,3.25,3.35,2.10,1.55,1.83,1.72,1.30,1.28,1.57,2020-07-19,1145
16,16,MLS,2020-07-21,100,Philadelphia Union,Orlando City SC,2.25,3.35,2.96,1.63,1.83,1.50,2.02,1.35,1.23,1.57,2020-07-19,1145
17,17,La_Liga,2020-07-19,1730,Villarreal,Eibar,1.7,3.6,4.65,1.55,2.05,1.53,2.12,1.15,1.22,2.02,2020-07-19,1145
18,18,Championship,2020-07-22,1930,Cardiff,Hull City,1.36,4.65,7.85,1.50,2.05,1.72,1.75,1.04,1.12,2.92,2020-07-19,1145
19,19,Serie_A,2020-07-19,1830,Napoles,Udinese,1.6,4.1,5.85,1.75,1.85,1.75,1.8,1.12,1.19,2.25,2020-07-19,1145
20,20,MLS,2020-07-24,330,Los Angeles FC,Portland Timbers,1.6,3.95,5.05,1.47,2.1,1.50,2.02,1.14,1.17,2.2,2020-07-19,1145
21,21,Premiership,2020-08-03,1945,Ross County,Motherwell FC,3.0,3.15,2.33,1.75,1.72,1.57,1.95,1.53,1.26,1.33,2020-07-19,1145
22,22,Championship,2020-07-19,1500,Barnsley FC,Nottingham Forest,2.62,3.25,2.56,1.78,1.7,1.61,1.9,1.45,1.25,1.44,2020-07-19,1145
23,23,Liga_Europa,2020-08-05,1755,FC Copenhagen,Istanbul Basaksehir,2.2,3.2,3.15,None,None,None,None,None,None,None,2020-07-19,1145
24,24,La_Liga,2020-07-19,2000,CA Osasuna,Maiorca,1.8,3.7,3.95,1.63,1.95,1.57,2.02,1.21,1.21,1.88,2020-07-19,1145
25,25,RFPL,2020-07-22,1700,Rostov,Zenit Sao Petersburgo,2.19,3.1,2.5,1.57,1.83,1.47,2.0,1.38,1.22,1.5,2020-07-19,1145
26,26,RFPL,2020-07-22,1700,Rubin Kazan,Spartak Moscovo,2.68,2.9,2.16,1.85,1.57,1.65,1.75,1.53,1.25,1.33,2020-07-19,1145
