League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Primeira_Liga,2020-10-02,1900,Moreirense FC,Boavista FC,2.4,3.05,2.98,2.02,1.53,1.75,1.72,1.35,None,1.5,None,2020-10-02,1310
Eredivisie,2020-10-02,1900,FC Utrecht,SC Heerenveen,1.65,4.15,4.25,1.36,2.4,1.4,2.3,1.18,None,2.1,None,2020-10-02,1256
Bundesliga,2020-10-02,1930,1. FC Union Berlin,Mainz 05,2.05,3.45,3.3,1.70,1.85,1.57,2.02,1.30,None,1.67,None,2020-10-02,1258
Serie_A,2020-10-02,1945,Fiorentina,Sampdoria,1.63,3.9,4.75,1.55,2.05,1.55,2.05,1.15,None,2.14,None,2020-10-02,1313
Premiership,2020-10-02,1945,Aberdeen FC,St Mirren,1.55,3.8,5.95,2.02,1.53,2.05,1.5,1.09,None,2.3,None,2020-10-02,1307
Premiership,2020-10-02,1945,Dundee United,Livingston FC,2.67,3.1,2.6,1.95,1.57,1.72,1.75,1.44,None,1.42,None,2020-10-02,1307
Championship,2020-10-02,1945,Coventry City,Bournemouth,3.5,3.25,2.05,1.88,1.61,1.7,1.78,1.67,None,1.26,None,2020-10-02,1303
Premiership,2020-10-02,1945,Hibernian FC,Hamilton Academical,1.5,4.2,5.9,1.61,1.90,1.72,1.75,1.10,None,2.45,None,2020-10-02,1307
Ligue_1,2020-10-02,2000,PSG,Angers,1.08,9.75,21.0,1.16,3.5,1.87,1.63,-,None,6.6,None,2020-10-02,1301
Primeira_Liga,2020-10-02,2115,Vitoria Guimaraes,FC Pacos Ferreira,1.7,3.45,5.0,2.05,1.50,1.95,1.57,1.13,None,2.05,None,2020-10-02,1310
RFPL,2020-10-03,1200,FC Ufa,Rotor Volgograd,1.95,3.15,4.0,2.25,1.4,2.0,1.53,1.20,None,1.75,None,2020-10-02,1307
La_Liga,2020-10-03,1200,Real Valladolid,Eibar,2.33,2.98,3.2,2.25,1.45,1.91,1.65,1.30,None,1.53,None,2020-10-02,1309
Premier_League,2020-10-03,1230,Chelsea,Crystal Palace FC,1.4,4.45,6.9,1.53,2.10,1.67,1.87,1.07,None,2.7,None,2020-10-02,1315
Championship,2020-10-03,1230,Norwich City,Derby County,1.65,3.8,4.75,1.60,1.90,1.6,1.91,1.15,None,2.11,None,2020-10-02,1303
Serie_A,2020-10-03,1400,Sassuolo,FC Crotone,1.42,4.65,6.4,1.50,2.15,1.67,1.87,1.08,None,2.68,None,2020-10-02,1313
Bundesliga,2020-10-03,1430,Borussia Dortmund,Friburgo,1.28,5.4,9.0,1.38,2.45,1.67,1.87,1.04,None,3.35,None,2020-10-02,1258
Bundesliga,2020-10-03,1430,Eintracht Frankfurt,Hoffenheim,2.3,3.45,2.82,1.38,2.45,1.32,2.67,1.38,None,1.53,None,2020-10-02,1258
Bundesliga,2020-10-03,1430,Werder Bremen,Arminia Bielefeld,2.12,3.45,3.15,1.65,1.91,1.53,2.1,1.31,None,1.65,None,2020-10-02,1258
Bundesliga,2020-10-03,1430,Colonia,Borussia Monchengladbach,3.75,3.65,1.85,1.55,2.05,1.5,2.18,1.85,None,1.23,None,2020-10-02,1258
RFPL,2020-10-03,1430,Ural Sverdlovskaya Oblast,CSKA Moscovo,5.4,3.65,1.61,1.80,1.65,1.8,1.65,2.18,None,1.12,None,2020-10-02,1307
Bundesliga,2020-10-03,1430,Estugarda,Bayer Leverkusen,3.55,3.75,1.88,1.44,2.3,1.4,2.4,1.83,None,1.25,None,2020-10-02,1258
RFPL,2020-10-03,1430,Tambov,Arsenal Tula,3.05,3.05,2.35,2.10,1.47,1.8,1.65,1.53,None,1.32,None,2020-10-02,1307
Championship,2020-10-03,1500,Middlesbrough,Barnsley FC,2.2,3.2,3.2,1.91,1.60,1.7,1.78,1.31,None,1.6,None,2020-10-02,1303
Championship,2020-10-03,1500,Reading,Watford,3.15,3.05,2.3,1.95,1.57,1.7,1.78,1.55,None,1.31,None,2020-10-02,1303
Championship,2020-10-03,1500,Swansea City,Millwall FC,2.3,3.05,3.15,2.13,1.47,1.83,1.65,1.31,None,1.55,None,2020-10-02,1303
La_Liga,2020-10-03,1500,Atletico de Madrid,Villarreal,1.65,3.6,5.1,1.85,1.70,1.8,1.75,1.13,None,2.11,None,2020-10-02,1309
Championship,2020-10-03,1500,Rotherham,Huddersfield,2.35,3.0,3.1,2.05,1.50,1.75,1.72,1.31,None,1.53,None,2020-10-02,1303
Premier_League,2020-10-03,1500,Everton,Brighton,1.72,3.55,4.6,1.70,1.85,1.65,1.91,1.16,None,2.0,None,2020-10-02,1315
Championship,2020-10-03,1500,Luton Town,Wycombe,1.75,3.5,4.45,1.80,1.67,1.72,1.75,1.17,None,1.95,None,2020-10-02,1303
Championship,2020-10-03,1500,Sheffield Wednesday,Queens Park Rangers,2.04,3.15,3.7,1.83,1.65,1.65,1.83,1.23,None,1.7,None,2020-10-02,1303
Championship,2020-10-03,1500,Nottingham Forest,Bristol City,2.58,3.1,2.7,2.02,1.53,1.75,1.72,1.40,None,1.44,None,2020-10-02,1303
Championship,2020-10-03,1500,Blackburn Rovers,Cardiff,2.18,3.2,3.25,1.83,1.65,1.65,1.83,1.30,None,1.61,None,2020-10-02,1303
Eredivisie,2020-10-03,1530,Vitesse,Heracles Almelo,1.65,3.95,4.55,1.47,2.11,1.47,2.1,1.17,None,2.1,None,2020-10-02,1256
Ligue_1,2020-10-03,1600,RC Lens,Saint-Etienne,2.0,3.3,3.6,2.00,1.55,1.8,1.67,1.25,None,1.72,None,2020-10-02,1301
Primeira_Liga,2020-10-03,1600,CD Santa Clara,Gil Vicente FC,2.25,2.96,3.35,2.00,1.53,1.72,1.75,1.27,None,1.57,None,2020-10-02,1310
RFPL,2020-10-03,1700,Spartak Moscovo,Zenit Sao Petersburgo,3.4,3.25,2.1,1.75,1.70,1.6,1.88,1.65,None,1.27,None,2020-10-02,1307
La_Liga,2020-10-03,1730,Real Sociedad,Getafe,2.25,2.98,3.3,2.25,1.45,1.9,1.65,1.28,None,1.55,None,2020-10-02,1309
La_Liga,2020-10-03,1730,Elche CF,Huesca,3.0,3.05,2.4,2.20,1.47,1.91,1.65,1.50,None,1.33,None,2020-10-02,1309
Premier_League,2020-10-03,1730,Leeds United,Manchester City,6.65,5.05,1.36,1.3,2.8,1.45,2.25,2.86,None,1.07,None,2020-10-02,1315
Bundesliga,2020-10-03,1730,RB Leipzig,FC Schalke 04,1.25,6.0,9.0,1.33,2.62,1.72,1.83,1.03,None,3.6,None,2020-10-02,1258
Eredivisie,2020-10-03,1745,RKC Waalwijk,PEC Zwolle,3.45,3.75,1.91,1.53,2.02,1.47,2.1,1.78,None,1.26,None,2020-10-02,1256
Primeira_Liga,2020-10-03,1830,FC Porto,CS Maritimo,1.14,7.55,14.25,1.57,1.95,2.54,1.32,1.02,None,4.95,None,2020-10-02,1310
Eredivisie,2020-10-03,1900,VVV Venlo,Den Haag,1.91,3.6,3.55,1.61,1.90,1.53,2.02,1.25,None,1.78,None,2020-10-02,1256
Serie_A,2020-10-03,1945,Udinese,AS Roma,4.75,3.8,1.65,1.61,1.95,1.61,1.95,2.10,None,1.15,None,2020-10-02,1313
Premier_League,2020-10-03,2000,Newcastle,Burnley,2.35,3.0,3.1,2.10,1.53,1.8,1.75,1.32,None,1.53,None,2020-10-02,1315
La_Liga,2020-10-03,2000,Valencia,Betis,2.7,3.15,2.56,1.95,1.63,1.7,1.85,1.45,None,1.4,None,2020-10-02,1309
Eredivisie,2020-10-03,2000,FC Twente Enschede,FC Emmen,1.83,3.7,3.8,1.57,1.95,1.5,2.05,1.22,None,1.88,None,2020-10-02,1256
Ligue_1,2020-10-03,2000,Nice,Nantes,2.4,3.15,2.9,2.00,1.55,1.75,1.72,1.36,None,1.5,None,2020-10-02,1301
Primeira_Liga,2020-10-03,2100,CD Tondela,SC Braga,6.0,3.85,1.53,1.80,1.67,1.83,1.65,2.35,None,1.09,None,2020-10-02,1310
La_Liga,2020-10-04,1100,CA Osasuna,Celta de Vigo,2.6,2.98,2.78,2.10,1.53,1.8,1.75,1.38,None,1.44,None,2020-10-02,1309
Eredivisie,2020-10-04,1115,FC Groningen,Ajax,6.4,4.75,1.4,1.38,2.35,1.55,2.0,2.74,None,1.08,None,2020-10-02,1256
Serie_A,2020-10-04,1130,Atalanta,Cagliari,1.24,5.8,10.0,1.31,2.72,1.63,1.95,1.03,None,3.65,None,2020-10-02,1313
Premiership,2020-10-04,1200,FC St Johnstone,Celtic,10.0,5.15,1.27,1.57,1.95,1.95,1.57,3.45,None,1.03,None,2020-10-02,1307
RFPL,2020-10-04,1200,Lokomotiv Moscovo,FK Khimki,1.53,4.0,5.7,1.72,1.72,1.8,1.65,1.10,None,2.35,None,2020-10-02,1307
Premier_League,2020-10-04,1200,Southampton,West Brom,1.72,3.7,4.4,1.72,1.83,1.67,1.88,1.17,None,2.0,None,2020-10-02,1315
Ligue_1,2020-10-04,1200,Montpellier,Nimes,1.67,3.65,4.85,1.70,1.78,1.65,1.83,1.15,None,2.05,None,2020-10-02,1301
Premier_League,2020-10-04,1200,Leicester,West Ham,1.65,3.9,4.55,1.55,2.05,1.57,2.02,1.16,None,2.1,None,2020-10-02,1315
