League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Ligue_1,2020-10-16,1800,Dijon,Rennes,4.9,3.4,1.72,1.87,1.63,1.75,1.72,2.00,None,1.14,None,2020-10-06,1240
Championship,2020-10-16,1945,Derby County,Watford,3.05,3.25,2.25,1.90,1.61,1.67,1.8,1.57,None,1.33,None,2020-10-06,1242
Ligue_1,2020-10-16,2000,Nimes,PSG,6.65,5.15,1.36,1.3,2.62,1.47,2.1,2.90,None,1.07,None,2020-10-06,1240
Premier_League,2020-10-17,1230,Everton,Liverpool,3.65,3.75,1.85,1.47,2.2,1.42,2.33,1.85,None,1.24,None,2020-10-06,1303
Serie_A,2020-10-17,1400,Napoles,Atalanta,2.52,3.65,2.45,1.33,2.62,1.28,2.82,1.47,None,1.45,None,2020-10-06,1302
Bundesliga,2020-10-17,1430,Friburgo,Werder Bremen,2.2,3.35,3.05,1.75,1.80,1.61,1.95,1.33,None,1.6,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,Borussia Monchengladbach,Wolfsburgo,1.87,3.6,3.75,1.60,2.00,1.53,2.12,1.23,None,1.83,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,Hoffenheim,Borussia Dortmund,4.1,3.95,1.72,1.36,2.54,1.36,2.52,2.00,None,1.19,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,Augsburgo,RB Leipzig,5.3,4.2,1.53,1.44,2.3,1.5,2.17,2.33,None,1.12,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,Arminia Bielefeld,Bayern Munique,11.5,6.6,1.19,1.24,3.1,1.6,2.0,4.20,None,1.02,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,FC Schalke 04,1. FC Union Berlin,2.62,3.15,2.62,1.88,1.67,1.67,1.88,1.42,None,1.42,None,2020-10-06,1237
Bundesliga,2020-10-17,1430,Hertha Berlin,Estugarda,2.05,3.5,3.25,1.53,2.12,1.45,2.25,1.28,None,1.67,None,2020-10-06,1237
