web-scraper-order,web-scraper-start-url,Leagues,Leagues-href,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2
"1595017245-33","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Parma
              
                Nápoles","https://www.betano.pt/odds/parma-napoles/5976744/","Série A","Quarta-feira, 22 Julho 2020 18:30","Parma","Nápoles","5.10","4.05","1.57","1.55","2.05","2.25","1.17","1.13"
"1595017138-14","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Chicago Fire
              
                San Jose Earthquakes","https://www.betano.pt/odds/chicago-fire-san-jose-earthquakes/5986922/","MLS","Segunda-feira, 20 Julho 2020 01:00","Chicago Fire","San Jose Earthquakes","2.25","3.55","2.84","1.42","2.20","1.38","1.21","1.57"
"1595017109-8","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","FC Cincinnati
              
                New York Red Bulls","https://www.betano.pt/odds/fc-cincinnati-new-york-red-bulls/5986917/","MLS","Quinta-feira, 23 Julho 2020 01:00","FC Cincinnati","New York Red Bulls","4.00","3.55","1.83","1.50","2.05","1.87","1.21","1.21"
"1595017471-75","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","Bournemouth
              
                Southampton","https://www.betano.pt/odds/bournemouth-southampton/5793720/","Premier League","Domingo, 19 Julho 2020 14:00","Bournemouth","Southampton","2.30","3.55","2.76","1.50","2.15","1.38","1.22","1.55"
"1595017437-68","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","Manchester United
              
                West Ham","https://www.betano.pt/odds/manchester-united-west-ham/5882505/","Premier League","Quarta-feira, 22 Julho 2020 18:00","Manchester United","West Ham","1.26","5.75","9.00","1.80","1.75","1.03","1.12","3.50"
"1595017178-21","https://www.betano.pt/sport/futebol/","Premier Liga","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Rubin Kazan
              
                Spartak Moscovo","https://www.betano.pt/odds/rubin-kazan-spartak-moscovo/5984759/","Premier Liga","Quarta-feira, 22 Julho 2020 17:00","Rubin Kazan","Spartak Moscovo","2.40","2.98","2.33","1.55","1.87","1.44","1.24","1.42"
"1595017265-37","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","AS Roma
              
                Inter de Milão","https://www.betano.pt/odds/as-roma-inter-de-milao/5949624/","Série A","Domingo, 19 Julho 2020 20:45","AS Roma","Inter de Milão","2.96","3.50","2.19","1.40","2.40","1.60","1.23","1.35"
"1595017098-6","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Los Angeles FC
              
                Portland Timbers","https://www.betano.pt/odds/los-angeles-fc-portland-timbers/5986929/","MLS","Sexta-feira, 24 Julho 2020 03:30","Los Angeles FC","Portland Timbers","1.57","4.15","4.90","null","null","null","null","null"
"1595017415-65","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Stoke City
              
                Brentford FC","https://www.betano.pt/odds/stoke-city-brentford-fc/5735085/","Championship","Sábado, 18 Julho 2020 12:30","Stoke City","Brentford FC","5.15","3.80","1.61","1.72","1.75","2.18","1.18","1.13"
"1595017259-36","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Juventus
              
                Lázio","https://www.betano.pt/odds/juventus-lazio/5949625/","Série A","Segunda-feira, 20 Julho 2020 20:45","Juventus","Lázio","1.65","3.90","4.60","1.57","2.02","1.16","1.18","2.11"
"1595017144-15","https://www.betano.pt/sport/futebol/","MLS","https://www.betano.pt/sport/futebol/eua/mls/195161r/","Los Angeles FC
              
                Los Angeles Galaxy","https://www.betano.pt/odds/los-angeles-fc-los-angeles-galaxy/5943473/","MLS","Domingo, 19 Julho 2020 03:30","Los Angeles FC","Los Angeles Galaxy","1.67","4.10","4.15","1.40","2.25","1.19","1.15","2.05"
"1595017421-66","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Charlton
              
                Wigan","https://www.betano.pt/odds/charlton-wigan/5735079/","Championship","Sábado, 18 Julho 2020 12:30","Charlton","Wigan","3.65","3.20","2.02","1.67","1.80","1.70","1.25","1.24"
