,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2
0,1595155324-53,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Tondela
              
                SC Braga",https://www.betano.pt/odds/tondela-sc-braga/5968135/,Primeira Liga,"Segunda-feira, 20 Julho 2020 19:15",Tondela,SC Braga,5.0,4.05,1.57,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.45,1.38,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),2.25,1.17,1.14,1X,12,2X
1,1595155485-82,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Fiorentina
              
                Torino",https://www.betano.pt/odds/fiorentina-torino/5949621/,Série A,"Domingo, 19 Julho 2020 18:30",Fiorentina,Torino,1.88,3.3,4.1,1.67,1.88,Mais de2.5,1.2,3.35,Mais de1.5,2.6,1.35,Mais de3.5,1.57,2.04,Ambas Equipas Marcam (Sim/Não),1.20,1.26,1.8,1X,12,2X
2,1595155505-85,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Liverpool
              
                Chelsea",https://www.betano.pt/odds/liverpool-chelsea/5882506/,Premier League,"Quarta-feira, 22 Julho 2020 20:15",Liverpool,Chelsea,2.0,3.45,3.45,1.50,2.13,Mais de2.5,1.15,3.85,Mais de1.5,2.25,1.45,Mais de3.5,1.44,2.3,Ambas Equipas Marcam (Sim/Não),1.27,1.23,1.72,1X,12,2X
3,1595155055-7,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Luton Town
              
                Blackburn Rovers",https://www.betano.pt/odds/luton-town-blackburn-rovers/5771392/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Luton Town,Blackburn Rovers,1.72,3.65,4.4,1.60,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.45,1.35,Mais de3.5,1.55,2.0,Ambas Equipas Marcam (Sim/Não),1.17,1.2,1.95,1X,12,2X
4,1595155464-78,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Juventus
              
                Lázio",https://www.betano.pt/odds/juventus-lazio/5949625/,Série A,"Segunda-feira, 20 Julho 2020 20:45",Juventus,Lázio,1.6,4.0,4.85,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.4,1.4,Mais de3.5,1.60,2.0,Ambas Equipas Marcam (Sim/Não),1.14,1.18,2.19,1X,12,2X
5,1595155371-61,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Real Salt Lake
              
                Sporting Kansas City",https://www.betano.pt/odds/real-salt-lake-sporting-kansas-city/5986927/,MLS,"Quarta-feira, 22 Julho 2020 14:00",Real Salt Lake,Sporting Kansas City,2.86,3.65,2.2,2.04,1.5,Mais de3.5,1.1,3.95,Mais de1.5,1.42,2.2,Mais de2.5,1.35,2.37,Ambas Equipas Marcam (Sim/Não),1.57,1.21,1.38,1X,12,2X
6,1595155516-87,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Aston Villa
              
                Arsenal",https://www.betano.pt/odds/aston-villa-arsenal/5882504/,Premier League,"Terça-feira, 21 Julho 2020 20:15",Aston Villa,Arsenal,3.1,3.7,2.05,1.65,2.17,Mais de2.5,1.2,4.25,Mais de1.5,2.62,1.45,Mais de3.5,1.50,2.16,Ambas Equipas Marcam (Sim/Não),1.67,1.21,1.32,1X,12,2X
7,1595155065-9,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Millwall FC
              
                Huddersfield",https://www.betano.pt/odds/millwall-fc-huddersfield/5771389/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Millwall FC,Huddersfield,2.33,3.2,2.96,1.67,1.8,Mais de2.5,1.2,3.15,Mais de1.5,2.63,1.3,Mais de3.5,1.53,2.02,Ambas Equipas Marcam (Sim/Não),1.35,1.25,1.53,1X,12,2X
8,1595155255-41,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Sevilha
              
                Valência",https://www.betano.pt/odds/sevilha-valencia/5979293/,LaLiga,"Domingo, 19 Julho 2020 20:00",Sevilha,Valência,1.8,3.85,3.8,1.55,2.05,Mais de2.5,1.15,3.8,Mais de1.5,2.4,1.4,Mais de3.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.22,1.19,1.91,1X,12,2X
9,1595155225-36,https://www.betano.pt/sport/futebol/liga-dos-campeoes/liga-dos-campeoes-jogos/182748r/,"Atalanta
              
                PSG
                        
            Em local neutro",https://www.betano.pt/odds/atalanta-psg/5924176/,Liga dos Campeões - Jogos,"Quarta-feira, 12 Agosto 2020 20:00",Atalanta,PSG,3.2,3.6,2.05,2.13,1.53,Atalanta,,,,,,,1.02,6.9,Total de Golos Mais/Menos (alternativas),2.16,1.72,6.9,Atalanta,PSG,Sem Golos
10,1595155194-31,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Inter de Milão
              
                Getafe
                        
            Em local neutro",https://www.betano.pt/odds/inter-de-milao-getafe/5916276/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 20:00",Inter de Milão,Getafe,2.0,3.2,3.75,1.45,2.33,Inter de Milão,,,,,,,1.04,6.0,Total de Golos Mais/Menos (alternativas),1.72,2.45,6.0,Inter de Milão,Getafe,Sem Golos
11,1595155081-12,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Bristol City
              
                Preston",https://www.betano.pt/odds/bristol-city-preston/5771386/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Bristol City,Preston,2.67,3.1,2.6,1.72,1.75,Mais de2.5,1.22,3.05,Mais de1.5,2.72,1.28,Mais de3.5,1.53,2.0,Ambas Equipas Marcam (Sim/Não),1.44,1.27,1.42,1X,12,2X
12,1595155360-59,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Colorado Rapids
              
                Minnesota United",https://www.betano.pt/odds/colorado-rapids-minnesota-united/5986926/,MLS,"Quinta-feira, 23 Julho 2020 03:30",Colorado Rapids,Minnesota United,3.05,3.5,2.14,1.50,2.02,Mais de2.5,1.14,3.55,Mais de1.5,2.25,1.4,Mais de3.5,1.42,2.18,Ambas Equipas Marcam (Sim/Não),1.63,1.21,1.33,1X,12,2X
13,1595155050-6,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Wigan
              
                Fulham",https://www.betano.pt/odds/wigan-fulham/5771394/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Wigan,Fulham,2.67,3.35,2.45,1.60,1.91,Mais de2.5,1.17,3.4,Mais de1.5,2.45,1.35,Mais de3.5,1.47,2.13,Ambas Equipas Marcam (Sim/Não),1.47,1.23,1.42,1X,12,2X
14,1595155199-32,https://www.betano.pt/sport/futebol/liga-europa/liga-europa-jogos/182761r/,"Manchester United
              
                Linz
                        
            Primeira mão: 5-0",https://www.betano.pt/odds/manchester-united-linz/5916232/,Liga Europa - Jogos,"Quarta-feira, 5 Agosto 2020 20:00",Manchester United,Linz,1.3,5.3,8.5,1.47,2.2,Mais de2.5,1.12,4.2,Mais de1.5,2.2,1.47,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.04,1.14,3.25,1X,12,2X
15,1595155339-56,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Belenenses SAD
              
                Gil Vicente",https://www.betano.pt/odds/belenenses-sad-gil-vicente/5968132/,Primeira Liga,"Domingo, 19 Julho 2020 19:00",Belenenses SAD,Gil Vicente,2.33,3.25,3.35,2.10,1.55,Mais de2.5,1.42,2.86,Mais de1.5,4.25,1.23,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.30,1.28,1.57,1X,12,2X
16,1595155387-64,https://www.betano.pt/sport/futebol/eua/mls/195161/,"Philadelphia Union
              
                Orlando City SC",https://www.betano.pt/odds/philadelphia-union-orlando-city-sc/5986896/,MLS,"Terça-feira, 21 Julho 2020 01:00",Philadelphia Union,Orlando City SC,2.25,3.35,2.96,1.63,1.83,Mais de2.5,1.19,3.15,Mais de1.5,2.56,1.3,Mais de3.5,1.50,2.02,Ambas Equipas Marcam (Sim/Não),1.35,1.23,1.57,1X,12,2X
17,1595155292-48,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Villarreal
              
                Eibar",https://www.betano.pt/odds/villarreal-eibar/5979294/,LaLiga,"Domingo, 19 Julho 2020 17:30",Villarreal,Eibar,1.7,3.6,4.65,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.33,1.42,Mais de3.5,1.53,2.12,Ambas Equipas Marcam (Sim/Não),1.15,1.22,2.02,1X,12,2X
18,1595155024-1,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Cardiff
              
                Hull City",https://www.betano.pt/odds/cardiff-hull-city/5771408/,Championship,"Quarta-feira, 22 Julho 2020 19:30",Cardiff,Hull City,1.36,4.65,7.85,1.50,2.05,Mais de2.5,1.14,3.65,Mais de1.5,2.25,1.42,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.04,1.12,2.92,1X,12,2X
19,1595155475-80,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Nápoles
              
                Udinese",https://www.betano.pt/odds/napoles-udinese/5949623/,Série A,"Domingo, 19 Julho 2020 18:30",Nápoles,Udinese,1.6,4.1,5.85,1.75,1.85,Mais de2.5,1.22,3.2,Mais de1.5,2.78,1.3,Mais de3.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),1.12,1.19,2.25,1X,12,2X
