,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
0,1600446654-93,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Alavés
              
                Getafe",https://www.betano.pt/odds/alaves-getafe/6502445/,LaLiga,"Domingo, 27 Setembro 2020 18:00",Alavés,Getafe,3.2,2.94,2.33,1.50,2.14,Mais de1.5,2.56,1.35,Mais de2.5,4.85,1.08,Mais de3.5,2.11,1.53,Ambas Equipas Marcam (Sim/Não),1.53,1.32,1.3,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:29"
1,1600446486-75,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Dinamo Moscovo
              
                FC Akhmat Grozny",https://www.betano.pt/odds/dinamo-moscovo-fc-akhmat-grozny/6293937/,Premier Liga,"Segunda-feira, 21 Setembro 2020 17:00",Dinamo Moscovo,FC Akhmat Grozny,1.95,3.3,3.7,2.02,1.5,Mais de2.5,1.31,2.52,Mais de1.5,3.5,1.14,Mais de3.5,1.83,1.63,Ambas Equipas Marcam (Sim/Não),1.23,1.24,1.75,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:27"
2,1600446919-121,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Bolonha
              
                Parma",https://www.betano.pt/odds/bolonha-parma/6470824/,Série A,"Segunda-feira, 28 Setembro 2020 19:45",Bolonha,Parma,2.05,3.45,3.3,1.65,1.91,Mais de2.5,1.20,3.35,Mais de1.5,2.58,1.35,Mais de3.5,1.53,2.1,Ambas Equipas Marcam (Sim/Não),1.28,1.24,1.67,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
3,1600446600-87,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"CA Osasuna
              
                Levante",https://www.betano.pt/odds/ca-osasuna-levante/6502451/,LaLiga,"Domingo, 27 Setembro 2020 18:00",CA Osasuna,Levante,2.37,3.25,2.86,1.91,1.65,Mais de2.5,1.28,2.82,Mais de1.5,3.3,1.21,Mais de3.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),1.36,1.27,1.5,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:29"
4,1600445811-5,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"SC Heerenveen
              
                VVV Venlo",https://www.betano.pt/odds/sc-heerenveen-vvv-venlo/6349676/,Eredivisie,"Sábado, 26 Setembro 2020 19:00",SC Heerenveen,VVV Venlo,1.63,3.95,4.7,1.11,2.02,1X,,,,,,,,,,,,,,,,"Sexta-feira, 18 Setembro 2020 17:16"
5,1600446442-71,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Hibernian FC
              
                Rangers",https://www.betano.pt/odds/hibernian-fc-rangers/6284809/,Premiership,"Domingo, 20 Setembro 2020 12:00",Hibernian FC,Rangers,6.3,4.15,1.47,1.67,1.8,Mais de2.5,1.19,3.2,Mais de1.5,2.66,1.3,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),2.52,1.15,1.08,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:26"
6,1600447098-140,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"West Ham
              
                Wolverhampton",https://www.betano.pt/odds/west-ham-wolverhampton/6475943/,Premier League,"Domingo, 27 Setembro 2020 19:00",West Ham,Wolverhampton,3.1,3.25,2.2,2.10,1.53,Mais de2.5,1.35,2.58,Mais de1.5,3.75,1.16,Mais de3.5,1.85,1.7,Ambas Equipas Marcam (Sim/Não),1.57,1.27,1.32,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
7,1600446937-123,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"FC Crotone
              
                AC Milão",https://www.betano.pt/odds/fc-crotone-ac-milao/6470823/,Série A,"Domingo, 27 Setembro 2020 17:00",FC Crotone,AC Milão,5.9,4.05,1.5,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.35,1.42,Mais de3.5,1.63,1.95,Ambas Equipas Marcam (Sim/Não),2.40,1.17,1.09,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
8,1600447231-155,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester United
              
                Crystal Palace FC",https://www.betano.pt/odds/manchester-united-crystal-palace-fc/6283417/,Premier League,"Sábado, 19 Setembro 2020 17:30",Manchester United,Crystal Palace FC,1.32,5.35,7.35,1.55,2.05,Mais de2.5,1.15,3.8,Mais de1.5,2.45,1.38,Mais de3.5,1.9,1.65,Ambas Equipas Marcam (Sim/Não),1.06,1.09,3.1,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
9,1600446121-38,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"FC Metz
              
                Stade Reims",https://www.betano.pt/odds/fc-metz-stade-reims/6374157/,Ligue 1,"Domingo, 20 Setembro 2020 14:00",FC Metz,Stade Reims,2.56,2.8,3.0,1.50,2.05,Mais de1.5,2.50,1.33,Mais de2.5,4.55,1.08,Mais de3.5,2.02,1.53,Ambas Equipas Marcam (Sim/Não),1.33,1.33,1.45,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:21"
