,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
0,1601640989-146,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Chelsea
              
                Southampton",https://www.betano.pt/odds/chelsea-southampton/6458240/,Premier League,"Sábado, 17 Outubro 2020 16:00",Chelsea,Southampton,1.5,3.95,6.0,2.05,1.55,Mais de3.5,1.11,4.3,Mais de1.5,1.44,2.3,Mais de2.5,1.5,2.16,Ambas Equipas Marcam (Sim/Não),1.10,1.19,2.37,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:15",
1,1601640097-38,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Nantes
              
                Stade Brestois 29",https://www.betano.pt/odds/nantes-stade-brestois-29/6551759/,Ligue 1,"Domingo, 18 Outubro 2020 19:00",Nantes,Stade Brestois 29,2.25,3.2,3.1,1.27,1.50,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:01",
2,1601640400-77,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Middlesbrough
              
                Barnsley FC",https://www.betano.pt/odds/middlesbrough-barnsley-fc/6411298/,Championship,"Sábado, 3 Outubro 2020 15:00",Middlesbrough,Barnsley FC,2.2,3.2,3.2,1.91,1.60,Mais de2.5,1.3,2.66,Mais de1.5,3.25,1.19,Mais de3.5,1.7,1.78,Ambas Equipas Marcam (Sim/Não),1.31,1.26,1.6,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:03",
3,1601640068-35,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Borussia Dortmund
              
                Friburgo",https://www.betano.pt/odds/borussia-dortmund-friburgo/6562362/,Bundesliga,"Sábado, 3 Outubro 2020 14:30",Borussia Dortmund,Friburgo,1.28,5.4,9.0,2.00,1.60,Mais de3.5,1.1,4.55,Mais de1.5,1.38,2.45,Mais de2.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.04,1.13,3.35,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
4,1601640596-99,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Levante
              
                Real Madrid",https://www.betano.pt/odds/levante-real-madrid/6641041/,LaLiga,"Domingo, 4 Outubro 2020 15:00",Levante,Real Madrid,5.75,4.3,1.47,2.15,1.50,Mais de3.5,1.13,4.1,Mais de1.5,1.45,2.25,Mais de2.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),2.45,1.16,1.1,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:09",
5,1601640287-62,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Birmingham
              
                Sheffield Wednesday",https://www.betano.pt/odds/birmingham-sheffield-wednesday/6539928/,Championship,"Sábado, 17 Outubro 2020 15:00",Birmingham,Sheffield Wednesday,2.45,3.3,2.72,1.35,1.42,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:03",
6,1601641060-155,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Arsenal
              
                Sheffield United",https://www.betano.pt/odds/arsenal-sheffield-united/6458224/,Premier League,"Domingo, 4 Outubro 2020 14:00",Arsenal,Sheffield United,1.53,3.95,5.75,1.80,1.75,Mais de2.5,1.25,3.05,Mais de1.5,2.98,1.26,Mais de3.5,1.87,1.67,Ambas Equipas Marcam (Sim/Não),1.10,1.19,2.33,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:15",
7,1601640294-63,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Barnsley FC
              
                Bristol City",https://www.betano.pt/odds/barnsley-fc-bristol-city/6539927/,Championship,"Sábado, 17 Outubro 2020 15:00",Barnsley FC,Bristol City,2.4,3.25,2.82,1.33,1.44,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:03",
8,1601640950-142,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Fiorentina
              
                Sampdoria",https://www.betano.pt/odds/fiorentina-sampdoria/6595025/,Série A,"Sexta-feira, 2 Outubro 2020 19:45",Fiorentina,Sampdoria,1.63,3.9,4.75,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.35,1.42,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),1.15,1.18,2.14,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:13",
9,1601639938-19,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"FC Schalke 04
              
                1. FC Union Berlin",https://www.betano.pt/odds/fc-schalke-04-1-fc-union-berlin/6632985/,Bundesliga,"Domingo, 18 Outubro 2020 17:00",FC Schalke 04,1. FC Union Berlin,2.37,3.1,2.98,1.88,1.67,Mais de2.5,1.28,2.84,Mais de1.5,3.15,1.23,Mais de3.5,1.67,1.88,Ambas Equipas Marcam (Sim/Não),1.33,1.28,1.5,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
10,1601640075-36,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"1. FC Union Berlin
              
                Mainz 05",https://www.betano.pt/odds/1-fc-union-berlin-mainz-05/6562361/,Bundesliga,"Sexta-feira, 2 Outubro 2020 19:30",1. FC Union Berlin,Mainz 05,2.05,3.45,3.3,1.70,1.85,Mais de2.5,1.21,3.3,Mais de1.5,2.72,1.31,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.30,1.24,1.67,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
11,1601641037-152,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Aston Villa
              
                Liverpool",https://www.betano.pt/odds/aston-villa-liverpool/6458189/,Premier League,"Domingo, 4 Outubro 2020 19:15",Aston Villa,Liverpool,8.5,5.0,1.31,2.17,1.50,Mais de3.5,1.13,4.1,Mais de1.5,1.47,2.2,Mais de2.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),3.15,1.15,1.04,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:15",
12,1601640903-136,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Parma
              
                Hellas Verona",https://www.betano.pt/odds/parma-hellas-verona/6595032/,Série A,"Domingo, 4 Outubro 2020 14:00",Parma,Hellas Verona,2.82,3.05,2.52,1.95,1.63,Mais de2.5,1.3,2.78,Mais de1.5,3.25,1.22,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.45,1.3,1.38,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:13",
13,1601640280-61,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Blackburn Rovers
              
                Nottingham Forest",https://www.betano.pt/odds/blackburn-rovers-nottingham-forest/6539929/,Championship,"Sábado, 17 Outubro 2020 15:00",Blackburn Rovers,Nottingham Forest,2.25,3.35,2.96,1.30,1.50,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 13:03",
14,1601640470-85,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Aberdeen FC
              
                St Mirren",https://www.betano.pt/odds/aberdeen-fc-st-mirren/6403488/,Premiership,"Sexta-feira, 2 Outubro 2020 19:45",Aberdeen FC,St Mirren,1.55,3.8,5.95,2.02,1.53,Mais de2.5,1.31,2.58,Mais de1.5,3.5,1.16,Mais de3.5,2.05,1.5,Ambas Equipas Marcam (Sim/Não),1.09,1.18,2.3,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
15,1601640384-75,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Reading
              
                Watford",https://www.betano.pt/odds/reading-watford/6411307/,Championship,"Sábado, 3 Outubro 2020 15:00",Reading,Watford,3.15,3.05,2.3,1.95,1.57,Mais de2.5,1.31,2.6,Mais de1.5,3.3,1.18,Mais de3.5,1.7,1.78,Ambas Equipas Marcam (Sim/Não),1.55,1.28,1.31,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:03",
16,1601639986-25,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hertha Berlin
              
                Estugarda",https://www.betano.pt/odds/hertha-berlin-estugarda/6632979/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Hertha Berlin,Estugarda,2.05,3.45,3.3,1.50,2.16,Mais de2.5,1.14,3.95,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.35,Ambas Equipas Marcam (Sim/Não),1.28,1.24,1.67,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
17,1601639970-23,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Augsburgo
              
                RB Leipzig",https://www.betano.pt/odds/augsburgo-rb-leipzig/6632981/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Augsburgo,RB Leipzig,4.8,4.25,1.57,2.04,1.57,Mais de3.5,1.1,4.45,Mais de1.5,1.4,2.4,Mais de2.5,1.45,2.25,Ambas Equipas Marcam (Sim/Não),2.25,1.16,1.15,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
18,1601640738-116,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Portimonense
              
                Sporting CP",https://www.betano.pt/odds/portimonense-sporting-cp/6568910/,Primeira Liga,"Domingo, 4 Outubro 2020 21:00",Portimonense,Sporting CP,3.85,3.45,1.88,1.72,1.75,Mais de2.5,1.22,3.05,Mais de1.5,2.8,1.26,Mais de3.5,1.63,1.87,Ambas Equipas Marcam (Sim/Não),1.80,1.22,1.22,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:10",
19,1601640439-81,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Rangers
              
                Ross County",https://www.betano.pt/odds/rangers-ross-county/6403493/,Premiership,"Domingo, 4 Outubro 2020 15:00",Rangers,Ross County,1.1,8.0,21.0,2.10,1.47,Mais de3.5,1.1,4.1,Mais de1.5,1.42,2.25,Mais de2.5,2.45,1.35,Ambas Equipas Marcam (Sim/Não),-,1.05,5.8,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
