web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603111148-23","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Borussia Dortmund
              
                FC Schalke 04","https://www.betano.pt/odds/borussia-dortmund-fc-schalke-04/6700532/","Bundesliga","Sábado, 24 Outubro 2020 17:30","Borussia Dortmund","FC Schalke 04","1.23","5.85","10.00","1.95","1.63","Mais de3.5","1.09","4.70","Mais de1.5","1.36","2.50","Mais de2.5","1.75","1.80","Ambas Equipas Marcam (Sim/Não)","1.02","1.11","3.80","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111585-75","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Dinamo Moscovo
              
                PFC Sochi","https://www.betano.pt/odds/dinamo-moscovo-pfc-sochi/6615674/","Premier Liga","Sábado, 24 Outubro 2020 12:00","Dinamo Moscovo","PFC Sochi","1.95","3.30","3.70","1.95","1.55","Mais de2.5","1.30","2.56","Mais de1.5","3.35","1.16","Mais de3.5","1.78","1.67","Ambas Equipas Marcam (Sim/Não)","1.23","1.24","1.72","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:45","null"
"1603111172-26","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Mainz 05
              
                Borussia Mönchengladbach","https://www.betano.pt/odds/mainz-05-borussia-monchengladbach/6700529/","Bundesliga","Sábado, 24 Outubro 2020 14:30","Mainz 05","Borussia Mönchengladbach","4.60","3.90","1.65","1.50","2.19","Mais de2.5","1.14","3.95","Mais de1.5","2.20","1.47","Mais de3.5","1.50","2.16","Ambas Equipas Marcam (Sim/Não)","2.11","1.18","1.16","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111945-117","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Burnley
              
                Chelsea","https://www.betano.pt/odds/burnley-chelsea/6457845/","Premier League","Sábado, 31 Outubro 2020 15:00","Burnley","Chelsea","5.15","4.30","1.53","1.50","2.14","Mais de2.5","1.14","4.00","Mais de1.5","2.30","1.44","Mais de3.5","1.60","2.00","Ambas Equipas Marcam (Sim/Não)","2.35","1.15","1.13","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","null"
"1603111381-51","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Watford
              
                Blackburn Rovers","https://www.betano.pt/odds/watford-blackburn-rovers/6579726/","Championship","Quarta-feira, 21 Outubro 2020 19:45","Watford","Blackburn Rovers","2.02","3.35","3.50","1.91","1.60","Mais de2.5","1.28","2.70","Mais de1.5","3.25","1.19","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.26","1.24","1.70","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603110981-3","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Fortuna Sittard
              
                FC Groningen","https://www.betano.pt/odds/fortuna-sittard-fc-groningen/6615410/","Eredivisie","Domingo, 25 Outubro 2020 13:30","Fortuna Sittard","FC Groningen","2.86","3.25","2.37","1.70","1.78","Mais de2.5","1.22","3.05","Mais de1.5","2.72","1.28","Mais de3.5","1.55","2.00","Ambas Equipas Marcam (Sim/Não)","1.53","1.25","1.36","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:35","null"
"1603111156-24","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","1. FC Union Berlin
              
                Friburgo","https://www.betano.pt/odds/1-fc-union-berlin-friburgo/6700531/","Bundesliga","Sábado, 24 Outubro 2020 14:30","1. FC Union Berlin","Friburgo","2.20","3.35","3.05","1.70","1.85","Mais de2.5","1.22","3.25","Mais de1.5","2.70","1.32","Mais de3.5","1.55","2.05","Ambas Equipas Marcam (Sim/Não)","1.33","1.25","1.57","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111985-122","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Arsenal
              
                Leicester","https://www.betano.pt/odds/arsenal-leicester/6422371/","Premier League","Domingo, 25 Outubro 2020 19:15","Arsenal","Leicester","1.80","3.80","3.85","1.57","2.02","Mais de2.5","1.16","3.70","Mais de1.5","2.45","1.38","Mais de3.5","1.55","2.05","Ambas Equipas Marcam (Sim/Não)","1.22","1.20","1.90","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","null"
"1603111797-100","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Moreirense FC
              
                CS Marítimo","https://www.betano.pt/odds/moreirense-fc-cs-maritimo/6820089/","Primeira Liga","Domingo, 25 Outubro 2020 15:00","Moreirense FC","CS Marítimo","2.70","2.78","2.86","2.02","1.53","Mais de2.5","1.32","2.56","Mais de1.5","3.35","1.17","Mais de3.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","1.36","1.33","1.40","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:49","null"
"1603111483-63","https://www.betano.pt/sport/futebol/escocia/premiership/1647r/","Aberdeen FC
              
                Celtic","https://www.betano.pt/odds/aberdeen-fc-celtic/6604817/","Premiership","Domingo, 25 Outubro 2020 12:00","Aberdeen FC","Celtic","6.90","3.85","1.47","1.80","1.67","Mais de2.5","1.24","2.90","Mais de1.5","2.90","1.24","Mais de3.5","1.88","1.61","Ambas Equipas Marcam (Sim/Não)","2.45","1.18","1.07","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:44","null"
