web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1604422622-20,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"1. FC Union Berlin
              
                Eintracht Frankfurt",https://www.betano.pt/odds/1-fc-union-berlin-eintracht-frankfurt/6967576/,Bundesliga,"Sábado, 28 Novembro 2020 14:30",1. FC Union Berlin,Eintracht Frankfurt,2.5,3.55,2.5,1.42,1.42,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:56",
1604423572-133,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Manchester United
              
                West Brom",https://www.betano.pt/odds/manchester-united-west-brom/6592992/,Premier League,"Sábado, 21 Novembro 2020 15:00",Manchester United,West Brom,1.33,4.5,9.5,1.55,2.05,Mais de2.5,1.16,3.75,Mais de1.5,2.35,1.42,Mais de3.5,1.83,1.72,Ambas Equipas Marcam (Sim/Não),1.03,1.17,3.05,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604423684-147,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Everton
              
                Manchester United",https://www.betano.pt/odds/everton-manchester-united/6457871/,Premier League,"Sábado, 7 Novembro 2020 12:30",Everton,Manchester United,2.76,3.4,2.37,1.65,1.91,Mais de2.5,1.2,3.4,Mais de1.5,2.56,1.35,Mais de3.5,1.5,2.14,Ambas Equipas Marcam (Sim/Não),1.50,1.24,1.38,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604422710-32,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"FC Schalke 04
              
                Wolfsburgo",https://www.betano.pt/odds/fc-schalke-04-wolfsburgo/6967545/,Bundesliga,"Sábado, 21 Novembro 2020 14:30",FC Schalke 04,Wolfsburgo,3.1,3.3,2.2,1.55,1.28,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:56",
1604422561-13,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"RKC Waalwijk
              
                Sparta Rotterdam",https://www.betano.pt/odds/rkc-waalwijk-sparta-rotterdam/6749135/,Eredivisie,"Sábado, 7 Novembro 2020 20:00",RKC Waalwijk,Sparta Rotterdam,2.76,3.55,2.3,1.60,1.91,Mais de2.5,1.16,3.45,Mais de1.5,2.45,1.35,Mais de3.5,1.47,2.1,Ambas Equipas Marcam (Sim/Não),1.55,1.21,1.4,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:54",
1604422499-5,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"PEC Zwolle
              
                FC Utrecht",https://www.betano.pt/odds/pec-zwolle-fc-utrecht/6870948/,Eredivisie,"Sábado, 21 Novembro 2020 20:00",PEC Zwolle,FC Utrecht,3.8,3.7,1.83,1.78,1.18,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:54",
1604422883-53,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"PSG
              
                Rennes",https://www.betano.pt/odds/psg-rennes/6751297/,Ligue 1,"Domingo, 8 Novembro 2020 18:00",PSG,Rennes,1.28,5.65,8.0,1.91,1.6,Mais de3.5,1.07,4.65,Mais de1.5,1.35,2.45,Mais de2.5,1.63,1.87,Ambas Equipas Marcam (Sim/Não),1.04,1.07,3.3,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:59",
1604423002-67,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Coventry City",https://www.betano.pt/odds/nottingham-forest-coventry-city/6713849/,Championship,"Quarta-feira, 4 Novembro 2020 19:45",Nottingham Forest,Coventry City,1.75,3.3,4.4,1.90,1.6,Mais de2.5,1.28,2.67,Mais de1.5,3.2,1.19,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.16,1.24,1.91,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422521-8,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Willem II Tilburg
              
                VVV Venlo",https://www.betano.pt/odds/willem-ii-tilburg-vvv-venlo/6869864/,Eredivisie,"Sábado, 21 Novembro 2020 17:45",Willem II Tilburg,VVV Venlo,1.63,4.1,4.5,1.13,2.02,1X,,,,,,,,,,,,,,,,"Terça-feira, 3 Novembro 2020 16:54",
1604423224-92,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Alavés
              
                Valência",https://www.betano.pt/odds/alaves-valencia/6976986/,LaLiga,"Domingo, 22 Novembro 2020 20:00",Alavés,Valência,2.64,3.0,2.72,2.25,1.45,Mais de2.5,1.4,2.4,Mais de1.5,4.05,1.13,Mais de3.5,1.9,1.65,Ambas Equipas Marcam (Sim/Não),1.40,1.31,1.42,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
1604423509-126,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Benevento Calcio
              
                Spezia",https://www.betano.pt/odds/benevento-calcio-spezia/6912562/,Série A,"Sábado, 7 Novembro 2020 17:00",Benevento Calcio,Spezia,2.05,3.5,3.25,1.50,2.18,Mais de2.5,1.14,3.95,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.35,Ambas Equipas Marcam (Sim/Não),1.30,1.23,1.67,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:10",
1604423344-107,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Sevilha
              
                CA Osasuna",https://www.betano.pt/odds/sevilha-ca-osasuna/6903488/,LaLiga,"Sábado, 7 Novembro 2020 17:30",Sevilha,CA Osasuna,1.6,3.7,5.4,2.12,1.53,Mais de2.5,1.35,2.56,Mais de1.5,3.8,1.15,Mais de3.5,2.12,1.53,Ambas Equipas Marcam (Sim/Não),1.11,1.21,2.19,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
