web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Time,HomeTeam,AwayTeam,ODDH,ODDD,ODDA
"1595259204-62","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","HibernianKilmarnock1 Agosto15:00","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/hibernian-vs-kilmarnock/","Escócia - Premiership","1 Agosto","15:00","Hibernian","Kilmarnock","1,95","3,10","3,15"
"1595259041-43","https://betway.pt/desportos/futebol/inglaterra-premier-league/","Sheffield UtdEvertonHoje18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200720/sheffield-utd-vs-everton/","Inglaterra - Premier League","20 Julho","18:00","Sheffield Utd","Everton","2,00","3,30","3,80"
"1595258814-14","https://betway.pt/desportos/futebol/liga-europa/","WolvesOlympiacos5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/wolves-vs-olympiacos/","Liga Europa","5 Agosto","17:55","Wolves","Olympiacos","1,80","3,25","4,20"
"1595258771-9","https://betway.pt/desportos/futebol/portugal-primeira-liga/","FC PortoMoreirenseHoje21:15","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200720/fc-porto-vs-moreirense/","null","null","null","null","null","null","null","null"
"1595258984-36","https://betway.pt/desportos/futebol/inglaterra-campeonato/","WiganFulham22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/wigan-vs-fulham/","Inglaterra - Campeonato","22 Julho","19:30","Wigan","Fulham","2,40","3,55","2,45"
"1595259098-50","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","SampdoriaGénova22 Julho20:45","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200722/sampdoria-vs-g%C3%A9nova/","Itália - Série A","22 Julho","20:45","Sampdoria","Génova","2,45","3,15","2,90"
"1595259069-46","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","UdineseJuventus23 Julho18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200723/udinese-vs-juventus/","Itália - Série A","23 Julho","18:30","Udinese","Juventus","5,15","3,85","1,60"
"1595258849-19","https://betway.pt/desportos/futebol/liga-europa/","LeverkusenRangers5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/leverkusen-vs-rangers/","Liga Europa","5 Agosto","17:55","Leverkusen","Rangers","1,62","3,80","4,50"
"1595258963-33","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Nottingham ForestStoke City22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/nottingham-forest-vs-stoke-city/","Inglaterra - Campeonato","22 Julho","19:30","Nottingham Forest","Stoke City","2,05","3,15","3,40"
"1595259112-52","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","ParmaNapoli22 Julho18:30","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200722/parma-vs-napoli/","Itália - Série A","22 Julho","18:30","Parma","Napoli","5,50","4,20","1,52"
"1595258821-15","https://betway.pt/desportos/futebol/liga-europa/","Inter de MilãoGetafe5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/inter-de-mil%C3%A3o-vs-getafe/","Liga Europa","5 Agosto","17:55","Inter de Milão","Getafe","1,95","3,20","3,65"
"1595258743-6","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/","Ural EkaterinburgLokomotiv de Moscovo22 Julho17:00","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/20200722/ural-ekaterinburg-vs-lokomotiv-de-moscovo/","Rússia - Premier Liga","22 Julho","17:00","Ural Ekaterinburg","Lokomotiv de Moscovo","4,25","3,55","1,64"
"1595258956-32","https://betway.pt/desportos/futebol/inglaterra-campeonato/","MillwallHuddersfield Town22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/millwall-vs-huddersfield-town/","Inglaterra - Campeonato","22 Julho","19:30","Millwall","Huddersfield Town","2,30","3,10","2,90"
