League,Date,Time,HT,AT
MLS,2020-09-19,200,Seattle Sounders,Los Angeles FC
Championship,2020-09-19,1130,Nottingham,Cardiff
Premier_League,2020-09-19,1130,Everton,West Brom
Bundesliga,2020-09-19,1330,Werder Bremen,Hertha Berlin
RFPL,2020-09-19,1330,Ural,Zenit
Bundesliga,2020-09-19,1330,Stuttgart,Freiburg
Bundesliga,2020-09-19,1330,FC Koln,Hoffenheim
Bundesliga,2020-09-19,1330,Eintracht Frankfurt,Arminia Bielefeld
Bundesliga,2020-09-19,1330,Union Berlin,Augsburg
Championship,2020-09-19,1400,Sheffield Wed,Watford
La_Liga,2020-09-19,1400,Villarreal,Eibar
Premiership,2020-09-19,1400,Kilmarnock,Hamilton
Championship,2020-09-19,1400,Swansea,Birmingham
Championship,2020-09-19,1400,Norwich,Preston
Championship,2020-09-19,1400,Luton,Derby
Premier_League,2020-09-19,1400,Leeds,Fulham
Championship,2020-09-19,1400,Blackburn,Wycombe
Championship,2020-09-19,1400,Brentford,Huddersfield
Premiership,2020-09-19,1400,St Johnstone,Ross County
Championship,2020-09-19,1400,Reading,Barnsley
Premiership,2020-09-19,1400,Dundee Utd,St. Mirren
Championship,2020-09-19,1400,Middlesbrough,Bournemouth
Championship,2020-09-19,1400,Rotherham,Millwall
Premiership,2020-09-19,1400,Celtic,Livingston
Eredivisie,2020-09-19,1430,AZ Alkmaar,Zwolle
Primeira_Liga,2020-09-19,1500,Nacional,Boavista
Ligue_1,2020-09-19,1500,Lens,Bordeaux
Serie_A,2020-09-19,1600,Fiorentina,Torino
Bundesliga,2020-09-19,1630,Dortmund,B. Monchengladbach
Premier_League,2020-09-19,1630,Manchester Utd,Crystal Palace
La_Liga,2020-09-19,1630,Getafe,Osasuna
Eredivisie,2020-09-19,1645,Vitesse,Sparta Rotterdam
Eredivisie,2020-09-19,1800,PSV,FC Emmen
Serie_A,2020-09-19,1845,Verona,AS Roma
La_Liga,2020-09-19,1900,Celta Vigo,Valencia
Premier_League,2020-09-19,1900,Arsenal,West Ham
Ligue_1,2020-09-19,1900,Rennes,Monaco
Eredivisie,2020-09-19,1900,Sittard,Heerenveen
MLS,2020-09-19,1930,Sporting Kansas City,FC Dallas
Primeira_Liga,2020-09-19,2000,FC Porto,Braga
MLS,2020-09-19,2030,New England Revolution,New York City
MLS,2020-09-19,2300,New York Red Bulls,FC Cincinnati
MLS,2020-09-19,2300,Atlanta Utd,Inter Miami
MLS,2020-09-19,2330,Orlando City,Chicago Fire
MLS,2020-09-19,2330,DC United,Toronto FC
MLS,2020-09-19,2330,Columbus Crew,Nashville SC
MLS,2020-09-20,0,Houston Dynamo,Minnesota United
MLS,2020-09-20,130,Real Salt Lake,Vancouver Whitecaps
MLS,2020-09-20,230,Los Angeles Galaxy,Colorado Rapids
MLS,2020-09-20,230,San Jose Earthquakes,Portland Timbers
Eredivisie,2020-09-20,1015,Den Haag,Groningen
Serie_A,2020-09-20,1030,Parma,Napoli
RFPL,2020-09-20,1100,Ufa,CSKA Moscow
RFPL,2020-09-20,1100,Arsenal Tula,Sochi
Premiership,2020-09-20,1100,Hibernian,Rangers
Ligue_1,2020-09-20,1100,Nice,Paris SG
Premier_League,2020-09-20,1100,Southampton,Tottenham
Eredivisie,2020-09-20,1230,Feyenoord,Twente
Eredivisie,2020-09-20,1230,Willem II,Heracles
Championship,2020-09-20,1300,Stoke,Bristol City
Ligue_1,2020-09-20,1300,Brest,Lorient
Ligue_1,2020-09-20,1300,Montpellier,Angers
Serie_A,2020-09-20,1300,Genoa,Crotone
Premier_League,2020-09-20,1300,Newcastle,Brighton
Ligue_1,2020-09-20,1300,Metz,Reims
Ligue_1,2020-09-20,1300,Strasbourg,Dijon
Bundesliga,2020-09-20,1330,RB Leipzig,Mainz
RFPL,2020-09-20,1330,Rubin Kazan,Spartak Moscow
La_Liga,2020-09-20,1400,Huesca,Cadiz CF
Premiership,2020-09-20,1400,Aberdeen,Motherwell
Eredivisie,2020-09-20,1445,Ajax,Waalwijk
Primeira_Liga,2020-09-20,1500,Santa Clara,Maritimo
Ligue_1,2020-09-20,1500,Nantes,St Etienne
Premier_League,2020-09-20,1530,Chelsea,Liverpool
RFPL,2020-09-20,1600,Lokomotiv Moscow,Tambov
Serie_A,2020-09-20,1600,Sassuolo,Cagliari
Bundesliga,2020-09-20,1600,Wolfsburg,Bayer Leverkusen
La_Liga,2020-09-20,1630,Betis,Valladolid
La_Liga,2020-09-20,1630,Granada CF,Alaves
Primeira_Liga,2020-09-20,1730,Moreirense,SC Farense
Premier_League,2020-09-20,1800,Leicester,Burnley
Serie_A,2020-09-20,1845,Juventus,Sampdoria
La_Liga,2020-09-20,1900,Real Sociedad,Real Madrid
Ligue_1,2020-09-20,1900,Marseille,Lille
Primeira_Liga,2020-09-20,2000,Tondela,Rio Ave
MLS,2020-09-20,2300,Montreal Impact,Philadelphia Union
RFPL,2020-09-21,1600,Dynamo Moscow,Akhmat Grozny
Premier_League,2020-09-21,1700,Aston Villa,Sheffield Utd
Primeira_Liga,2020-09-21,1845,Portimonense,Ferreira
Serie_A,2020-09-21,1845,AC Milan,Bologna
Premier_League,2020-09-21,1915,Wolves,Manchester City
Champions,2020-09-22,1900,Slavia Prague (Cze) ,Midtjylland (Den)
Champions,2020-09-22,1900,Krasnodar (Rus) ,PAOK (Gre)
Champions,2020-09-22,1900,Maccabi Tel Aviv (Isr) ,Salzburg (Aut)
Champions,2020-09-23,1900,Molde (Nor) ,Ferencvaros (Hun)
Champions,2020-09-23,1900,Olympiacos Piraeus (Gre) ,Omonia (Cyp)
Champions,2020-09-23,1900,Gent (Bel) ,Dyn. Kyiv (Ukr)
Europa_League,2020-09-24,1600,Plzen (Cze) ,Sonderjyske (Den)
Europa_League,2020-09-24,1630,FK Rostov (Rus) ,Maccabi Haifa (Isr)
Europa_League,2020-09-24,1700,Willem II (Ned) ,Rangers (Sco)
Europa_League,2020-09-24,1700,Charleroi (Bel) ,Partizan (Srb)
Europa_League,2020-09-24,1700,Shkendija (Mkd) ,Tottenham (Eng)
Europa_League,2020-09-24,1700,Apollon (Cyp) ,Lech Poznan (Pol)
Europa_League,2020-09-24,1700,Granada CF (Esp) ,Lokomotiv Tbilisi (Geo)
Europa_League,2020-09-24,1700,Basel (Sui) ,Anorthosis (Cyp)
