web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599412808-131,https://www.oddsportal.com/soccer/france/ligue-1/,Nimes - Rennes,https://www.oddsportal.com/soccer/france/ligue-1/nimes-rennes-vBFTVKbL/,Ligue 1,"Sunday, 13 Sep  2020, 13:00",Nimes - Rennes,
1599411640-2,https://www.oddsportal.com/soccer/spain/laliga/,Real Sociedad - Real Madrid,https://www.oddsportal.com/soccer/spain/laliga/real-sociedad-real-madrid-vmXyKZZb/,LaLiga,"Sunday, 20 Sep  2020, 19:00",Real Sociedad - Real Madrid,
1599412396-85,https://www.oddsportal.com/soccer/germany/bundesliga/,B. Monchengladbach - Union Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-union-berlin-SOeAsOaE/,Bundesliga,"Saturday, 26 Sep  2020, 13:30",B. Monchengladbach - Union Berlin,
1599412026-45,https://www.oddsportal.com/soccer/russia/premier-league/,Ural - Khimki,https://www.oddsportal.com/soccer/russia/premier-league/ural-khimki-xKIJLJrC/,Premier League,"Saturday, 12 Sep  2020, 13:30",Ural - Khimki,
1599412303-75,https://www.oddsportal.com/soccer/netherlands/eredivisie/,FC Emmen - Venlo,https://www.oddsportal.com/soccer/netherlands/eredivisie/fc-emmen-venlo-bo9j9JKO/,Eredivisie,"Sunday, 13 Sep  2020, 10:15",FC Emmen - Venlo,
1599412538-101,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Santa Clara - Maritimo,https://www.oddsportal.com/soccer/portugal/primeira-liga/santa-clara-maritimo-bXRmKPvs/,Primeira Liga,"Sunday, 20 Sep  2020, 15:00",Santa Clara - Maritimo,
1599411833-23,https://www.oddsportal.com/soccer/europe/europa-league/,Plzen (Cze)  - Sonderjyske (Den),https://www.oddsportal.com/soccer/europe/europa-league/plzen-sonderjyske-Eipk8tzA/,Europa League,"Thursday, 24 Sep  2020, 16:00",Plzen (Cze)  - Sonderjyske (Den),
1599412370-82,https://www.oddsportal.com/soccer/germany/bundesliga/,Schalke - Werder Bremen,https://www.oddsportal.com/soccer/germany/bundesliga/schalke-werder-bremen-txLgZa7f/,Bundesliga,"Saturday, 26 Sep  2020, 16:30",Schalke - Werder Bremen,
1599412362-81,https://www.oddsportal.com/soccer/germany/bundesliga/,Hoffenheim - Bayern Munich,https://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-bayern-munich-lvpJu2UQ/,Bundesliga,"Sunday, 27 Sep  2020, 13:30",Hoffenheim - Bayern Munich,
1599413026-155,https://www.oddsportal.com/soccer/england/premier-league/,Aston Villa - Sheffield Utd,https://www.oddsportal.com/soccer/england/premier-league/aston-villa-sheffield-utd-6i4WgGHA/,Premier League,"Sunday, 20 Sep  2020, 13:00",Aston Villa - Sheffield Utd,
1599412648-113,https://www.oddsportal.com/soccer/italy/serie-a/,Genoa - Crotone,https://www.oddsportal.com/soccer/italy/serie-a/genoa-crotone-U1mY0swr/,Serie A,"Sunday, 20 Sep  2020, 13:00",Genoa - Crotone,
1599411909-31,https://www.oddsportal.com/soccer/russia/premier-league/,Dynamo Moscow - Akhmat Grozny,https://www.oddsportal.com/soccer/russia/premier-league/dynamo-moscow-akhmat-grozny-nk0ArsjP/,Premier League,"Monday, 21 Sep  2020, 16:00",Dynamo Moscow - Akhmat Grozny,
1599412673-116,https://www.oddsportal.com/soccer/italy/serie-a/,Fiorentina - Torino,https://www.oddsportal.com/soccer/italy/serie-a/fiorentina-torino-C8o75NUQ/,Serie A,"Saturday, 19 Sep  2020, 16:00",Fiorentina - Torino,
1599411926-33,https://www.oddsportal.com/soccer/russia/premier-league/,Rubin Kazan - Spartak Moscow,https://www.oddsportal.com/soccer/russia/premier-league/rubin-kazan-spartak-moscow-IXjtwLDn/,Premier League,"Sunday, 20 Sep  2020, 13:30",Rubin Kazan - Spartak Moscow,
1599412462-93,https://www.oddsportal.com/soccer/germany/bundesliga/,Stuttgart - Freiburg,https://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-freiburg-ELi6r4p8/,Bundesliga,"Saturday, 19 Sep  2020, 13:30",Stuttgart - Freiburg,
1599412900-141,https://www.oddsportal.com/soccer/england/championship/,Preston - Swansea,https://www.oddsportal.com/soccer/england/championship/preston-swansea-Iy5t8Ve0/,Championship,"Saturday, 12 Sep  2020, 14:00",Preston - Swansea,
