web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1600464162-141,https://www.oddsportal.com/soccer/italy/serie-a/,Bologna - Parma,https://www.oddsportal.com/soccer/italy/serie-a/bologna-parma-zTTllp4b/,Serie A,"Monday, 28 Sep  2020, 18:45",Bologna - Parma,,Italy
1600464296-158,https://www.oddsportal.com/soccer/france/ligue-1/,Reims - Paris SG,https://www.oddsportal.com/soccer/france/ligue-1/reims-paris-sg-6csBesIp/,Ligue 1,"Sunday, 27 Sep  2020, 19:00",Reims - Paris SG,,France
1600463158-15,https://www.oddsportal.com/soccer/spain/laliga/,Celta Vigo - Valencia,https://www.oddsportal.com/soccer/spain/laliga/celta-vigo-valencia-84MGIPwP/,LaLiga,"Tomorrow, 19 Sep  2020, 19:00",Celta Vigo - Valencia,,Spain
1600464623-201,https://www.oddsportal.com/soccer/england/championship/,Coventry - QPR,https://www.oddsportal.com/soccer/england/championship/coventry-qpr-8OO4Yoaq/,Championship,"Today, 18 Sep  2020, 18:45",Coventry - QPR,Final result,England
1600463932-112,https://www.oddsportal.com/soccer/germany/bundesliga/,Schalke - Werder Bremen,https://www.oddsportal.com/soccer/germany/bundesliga/schalke-werder-bremen-txLgZa7f/,Bundesliga,"Saturday, 26 Sep  2020, 16:30",Schalke - Werder Bremen,,Germany
1600464177-143,https://www.oddsportal.com/soccer/italy/serie-a/,Crotone - AC Milan,https://www.oddsportal.com/soccer/italy/serie-a/crotone-ac-milan-8tSdnOYA/,Serie A,"Sunday, 27 Sep  2020, 16:00",Crotone - AC Milan,,Italy
1600463300-32,https://www.oddsportal.com/soccer/europe/europa-league/,Willem II (Ned)  - Rangers (Sco),https://www.oddsportal.com/soccer/europe/europa-league/willem-ii-rangers-IRcKCKLT/,Europa League,"Thursday, 24 Sep  2020, 17:00",Willem II (Ned)  - Rangers (Sco),,Europe
1600463991-120,https://www.oddsportal.com/soccer/germany/bundesliga/,RB Leipzig - Mainz,https://www.oddsportal.com/soccer/germany/bundesliga/rb-leipzig-mainz-AZ5tSr0R/,Bundesliga,"Sunday, 20 Sep  2020, 13:30",RB Leipzig - Mainz,,Germany
1600464557-192,https://www.oddsportal.com/soccer/england/championship/,Sheffield Wed - Watford,https://www.oddsportal.com/soccer/england/championship/sheffield-wed-watford-2s87h7jF/,Championship,"Tomorrow, 19 Sep  2020, 14:00",Sheffield Wed - Watford,,England
1600464087-132,https://www.oddsportal.com/soccer/portugal/primeira-liga/,FC Porto - Braga,https://www.oddsportal.com/soccer/portugal/primeira-liga/fc-porto-braga-YkK0HNOa/,Primeira Liga,"Tomorrow, 19 Sep  2020, 20:00",FC Porto - Braga,,Portugal
1600463195-19,https://www.oddsportal.com/soccer/europe/champions-league/,Molde (Nor)  - Ferencvaros (Hun),https://www.oddsportal.com/soccer/europe/champions-league/molde-ferencvaros-A3Pl9bS2/,Champions League,"Wednesday, 23 Sep  2020, 19:00",Molde (Nor)  - Ferencvaros (Hun),,Europe
1600464653-204,https://www.oddsportal.com/soccer/england/premier-league/,West Ham - Wolves,https://www.oddsportal.com/soccer/england/premier-league/west-ham-wolves-MoPl86xL/,Premier League,"Sunday, 27 Sep  2020, 18:00",West Ham - Wolves,,England
1600464542-190,https://www.oddsportal.com/soccer/england/championship/,Stoke - Bristol City,https://www.oddsportal.com/soccer/england/championship/stoke-city-bristol-city-EJzyyuLs/,Championship,"Sunday, 20 Sep  2020, 13:00",Stoke - Bristol City,,England
1600464080-131,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Santa Clara - Maritimo,https://www.oddsportal.com/soccer/portugal/primeira-liga/santa-clara-maritimo-bXRmKPvs/,Primeira Liga,"Sunday, 20 Sep  2020, 15:00",Santa Clara - Maritimo,,Portugal
1600463427-49,https://www.oddsportal.com/soccer/europe/europa-league/,Charleroi (Bel)  - Partizan (Srb),https://www.oddsportal.com/soccer/europe/europa-league/charleroi-partizan-EiKx7E0S/,Europa League,"Thursday, 24 Sep  2020, 17:00",Charleroi (Bel)  - Partizan (Srb),,Europe
1600463315-34,https://www.oddsportal.com/soccer/europe/europa-league/,Shkendija (Mkd)  - Tottenham (Eng),https://www.oddsportal.com/soccer/europe/europa-league/shkendija-tetovo-tottenham-QXWXVsMi/,Europa League,"Thursday, 24 Sep  2020, 17:00",Shkendija (Mkd)  - Tottenham (Eng),,Europe
