web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600973145-577","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-middlesbrough-0boSuM7J/","Saturday, 27 Jun  2020, 14:00","Stoke - Middlesbrough","2.29","3.12","3.46","Final result"
"1600973026-529","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Middlesbrough - Leeds","https://www.oddsportal.com/soccer/england/championship-2019-2020/middlesbrough-leeds-WnPu15NN/","Wednesday, 26 Feb  2020, 18:45","Middlesbrough - Leeds","4.90","3.87","1.71","Final result"
"1600972178-191","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Preston - Brentford","https://www.oddsportal.com/soccer/england/championship-2019-2020/preston-brentford-UoVN9nJ1/","Saturday, 14 Sep  2019, 14:00","Preston - Brentford","2.78","3.37","2.58","Final result"
"1600972944-496","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Stoke - Preston","https://www.oddsportal.com/soccer/england/championship-2019-2020/stoke-city-preston-dUEObLe8/","Wednesday, 12 Feb  2020, 19:00","Stoke - Preston","2.21","3.11","3.66","Final result"
"1600972823-449","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Middlesbrough - Birmingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/middlesbrough-birmingham-fTATfcxp/","Tuesday, 21 Jan  2020, 18:45","Middlesbrough - Birmingham","2.09","3.39","3.65","Final result"
"1600972572-348","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Hull - Stoke","https://www.oddsportal.com/soccer/england/championship-2019-2020/hull-city-stoke-city-pIePd4ks/","Saturday, 07 Dec  2019, 14:00","Hull - Stoke","2.55","3.34","2.84","Final result"
"1600972484-313","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Bristol City - Nottingham","https://www.oddsportal.com/soccer/england/championship-2019-2020/bristol-city-nottingham-Yg2zXB6b/","Saturday, 23 Nov  2019, 14:00","Bristol City - Nottingham","2.34","3.36","3.15","Final result"
"1600972671-388","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Blackburn - Wigan","https://www.oddsportal.com/soccer/england/championship-2019-2020/blackburn-wigan-pvTYblHd/","Monday, 23 Dec  2019, 18:45","Blackburn - Wigan","1.79","3.74","4.58","Final result"
"1600972912-483","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Blackburn - Fulham","https://www.oddsportal.com/soccer/england/championship-2019-2020/blackburn-fulham-dfbFXrc9/","Saturday, 08 Feb  2020, 14:00","Blackburn - Fulham","2.85","3.23","2.58","Final result"
"1600971985-114","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Luton - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/luton-middlesbrough-8bD9MV1E/","Friday, 02 Aug  2019, 18:45","Luton - Middlesbrough","2.28","3.34","3.30","Final result"
