web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600979411-1408","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-st-mirren-fHrFQGoS/","Saturday, 06 Oct  2018, 14:00","Aberdeen - St. Mirren","1.51","3.91","7.34","Final result"
"1600979409-1407","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Kilmarnock","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-kilmarnock-QaVtMzfq/","Saturday, 06 Oct  2018, 14:00","Dundee FC - Kilmarnock","3.91","3.64","1.91","Final result"
"1600979678-1504","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-aberdeen-bPTTrDJn/","Saturday, 02 Feb  2019, 14:00","Hibernian - Aberdeen","2.81","3.27","2.56","Final result"
"1600979888-1588","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee Utd - Inverness","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-utd-inverness-WxSVq4FL/","Friday, 17 May  2019, 18:45","Dundee Utd - Inverness","2.01","3.31","3.79","Final result"
"1600979814-1558","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-aberdeen-pKtzD6zC/","Saturday, 06 Apr  2019, 14:00","Dundee FC - Aberdeen","6.26","3.96","1.56","Final result"
"1600979652-1494","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-motherwell-IBe7RBlC/","Saturday, 26 Jan  2019, 14:00","Dundee FC - Motherwell","3.62","3.36","2.08","Final result"
"1600979588-1469","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-motherwell-8rmXWi81/","Wednesday, 19 Dec  2018, 18:45","Celtic - Motherwell","1.19","6.57","15.53","Final result"
"1600979324-1373","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-hibernian-bizA2kcg/","Sunday, 12 Aug  2018, 14:00","St Johnstone - Hibernian","3.06","3.21","2.43","Final result"
"1600979603-1475","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-rangers-hUsn3y6f/","Sunday, 23 Dec  2018, 11:15","St Johnstone - Rangers","5.86","3.90","1.59","Final result"
"1600979640-1489","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-hibernian-QesbVgkm/","Wednesday, 23 Jan  2019, 18:45","Motherwell - Hibernian","3.18","3.23","2.33","Final result"
"1600979542-1460","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - Livingston","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-livingston-v9rTXXhe/","Tuesday, 11 Dec  2018, 18:45","Aberdeen - Livingston","1.88","3.18","4.81","Final result"
"1600979449-1423","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-hibernian-vsMeZpUa/","Wednesday, 31 Oct  2018, 18:45","Hearts - Hibernian","2.59","3.27","2.76","Final result"
"1600979373-1393","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Livingston","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-livingston-GC4xDcHS/","Saturday, 22 Sep  2018, 14:00","Hearts - Livingston","1.68","3.69","5.40","Final result"
"1600979434-1417","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-hearts-nZoyWBN7/","Tuesday, 23 Oct  2018, 18:45","Dundee FC - Hearts","5.40","3.87","1.63","Final result"
"1600979751-1533","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Livingston - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/livingston-st-johnstone-EDox6bNR/","Saturday, 09 Mar  2019, 14:00","Livingston - St Johnstone","2.51","3.05","3.09","Final result"
"1600979838-1568","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-st-johnstone-EFty1ArA/","Saturday, 27 Apr  2019, 14:00","St. Mirren - St Johnstone","2.55","3.17","2.90","Final result"
