AT,Date,HT,League,Time
Rennes,2020-10-16,Dijon,Ligue_1,1800
Watford,2020-10-16,Derby County,Championship,1945
Paris Saint-Germain,2020-10-16,Nimes,Ligue_1,2000
Liverpool,2020-10-17,Everton,Premier_League,1230
Rangers,2020-10-17,Celtic,Premiership,1230
Atalanta,2020-10-17,Napoli,Serie_A,1400
Borussia Dortmund,2020-10-17,Hoffenheim,Bundesliga,1430
Werder Bremen,2020-10-17,SC Freiburg,Bundesliga,1430
Bayer Leverkusen,2020-10-17,Mainz,Bundesliga,1430
Stuttgart,2020-10-17,Hertha Berlin,Bundesliga,1430
RB Leipzig,2020-10-17,FC Augsburg,Bundesliga,1430
Millwall,2020-10-17,Wycombe Wanderers,Championship,1500
Huddersfield Town,2020-10-17,Swansea City,Championship,1500
Norwich City,2020-10-17,Rotherham United,Championship,1500
Reading,2020-10-17,Middlesbrough,Championship,1500
Stoke City,2020-10-17,Luton Town,Championship,1500
Nottingham Forest,2020-10-17,Blackburn Rovers,Championship,1500
Coventry City,2020-10-17,Brentford,Championship,1500
Queens Park Rangers,2020-10-17,Bournemouth,Championship,1500
Sheffield Wednesday,2020-10-17,Birmingham City,Championship,1500
Bristol City,2020-10-17,Barnsley,Championship,1500
Motherwell,2020-10-17,St Mirren,Premiership,1500
Kilmarnock,2020-10-17,Livingston,Premiership,1500
Hibernian,2020-10-17,Ross County,Premiership,1500
St. Johnstone,2020-10-17,Hamilton Academical,Premiership,1500
Aberdeen,2020-10-17,Dundee United,Premiership,1500
Burnley,2020-10-17,West Bromwich Albion,Premier_League,1500
Fulham,2020-10-17,Sheffield United,Premier_League,1500
Manchester United,2020-10-17,Newcastle United,Premier_League,1500
Aston Villa,2020-10-17,Leicester City,Premier_League,1500
Southampton,2020-10-17,Chelsea,Premier_League,1500
Lorient,2020-10-17,Reims,Ligue_1,1600
Lazio,2020-10-17,Sampdoria,Serie_A,1700
AC Milan,2020-10-17,Inter Milan,Serie_A,1700
Bayern Munich,2020-10-17,Arminia Bielefeld,Bundesliga,1730
Arsenal,2020-10-17,Manchester City,Premier_League,1730
Heerenveen,2020-10-17,Ajax,Eredivisie,1745
FC Twente,2020-10-17,Willem II,Eredivisie,1900
RKC Waalwijk,2020-10-17,Heracles Almelo,Eredivisie,1900
Wolfsburg,2020-10-17,M'gladbach,Bundesliga,1930
Juventus,2020-10-17,Crotone,Serie_A,1945
Bordeaux,2020-10-17,Marseille,Ligue_1,2000
VVV-Venlo,2020-10-17,AZ Alkmaar,Eredivisie,2000
Sparta Rotterdam,2020-10-18,Feyenoord,Eredivisie,1115
Sassuolo,2020-10-18,Bologna,Serie_A,1130
Lyon,2020-10-18,Strasbourg,Ligue_1,1200
Cardiff City,2020-10-18,Preston North End,Championship,1200
Vitesse Arnhem,2020-10-18,ADO Den Haag,Eredivisie,1330
Fortuna Sittard,2020-10-18,Emmen,Eredivisie,1330
Genoa,2020-10-18,Verona,Serie_A,1400
Cagliari,2020-10-18,Torino,Serie_A,1400
Fiorentina,2020-10-18,Spezia,Serie_A,1400
Brest,2020-10-18,Nantes,Ligue_1,1400
Metz,2020-10-18,Angers,Ligue_1,1400
Montpellier,2020-10-18,Monaco,Ligue_1,1400
Brighton and Hove Albion,2020-10-18,Crystal Palace,Premier_League,1400
Eintracht Frankfurt,2020-10-18,Cologne,Bundesliga,1430
PSV Eindhoven,2020-10-18,PEC Zwolle,Eredivisie,1545
FC Utrecht,2020-10-18,Groningen,Eredivisie,1545
