Unnamed: 0,AT,Date,HT,League,Time
76,Hamilton Academical,2020-10-20,Aberdeen,Premiership,1900
87,Birmingham City,2020-10-20,Norwich City,Championship,1945
88,Rotherham United,2020-10-20,Nottingham Forest,Championship,1945
89,Derby County,2020-10-20,Huddersfield Town,Championship,1945
90,Swansea City,2020-10-20,Coventry City,Championship,1945
91,Luton Town,2020-10-20,Millwall,Championship,1945
92,Middlesbrough,2020-10-20,Bristol City,Championship,1945
86,Wycombe Wanderers,2020-10-20,Reading,Championship,2000
128,PEC Zwolle,2020-10-21,RKC Waalwijk,Eredivisie,1630
81,Blackburn Rovers,2020-10-21,Watford,Championship,1945
82,Barnsley,2020-10-21,Stoke City,Championship,1945
83,Brentford,2020-10-21,Sheffield Wednesday,Championship,1945
84,Preston North End,2020-10-21,Queens Park Rangers,Championship,1945
85,Bournemouth,2020-10-21,Cardiff City,Championship,1945
11,Cologne,2020-10-23,Stuttgart,Bundesliga,1930
64,Torino,2020-10-23,Sassuolo,Serie_A,1945
79,Derby County,2020-10-23,Nottingham Forest,Championship,1945
0,Valencia,2020-10-23,Elche,La_Liga,2000
31,Angers,2020-10-23,Rennes,Ligue_1,2000
107,Leeds United,2020-10-23,Aston Villa,Premier_League,2000
159,Athletic Bilbao,2020-10-24,Osasuna,La_Liga,1200
77,Bournemouth,2020-10-24,Watford,Championship,1230
110,Manchester City,2020-10-24,West Ham United,Premier_League,1230
52,Sampdoria,2020-10-24,Atalanta,Serie_A,1400
147,Hertha Berlin,2020-10-24,RB Leipzig,Bundesliga,1430
148,M'gladbach,2020-10-24,Mainz,Bundesliga,1430
149,Eintracht Frankfurt,2020-10-24,Bayern Munich,Bundesliga,1430
150,SC Freiburg,2020-10-24,1. FC Union Berlin,Bundesliga,1430
12,Barnsley,2020-10-24,Millwall,Championship,1500
13,Wycombe Wanderers,2020-10-24,Norwich City,Championship,1500
70,Ross County,2020-10-24,Motherwell,Premiership,1500
71,Hamilton Academical,2020-10-24,St Mirren,Premiership,1500
72,Dundee United,2020-10-24,St. Johnstone,Premiership,1500
73,Hibernian,2020-10-24,Kilmarnock,Premiership,1500
74,Preston North End,2020-10-24,Huddersfield Town,Championship,1500
75,Middlesbrough,2020-10-24,Cardiff City,Championship,1500
78,Blackburn Rovers,2020-10-24,Coventry City,Championship,1500
80,Swansea City,2020-10-24,Bristol City,Championship,1500
109,Crystal Palace,2020-10-24,Fulham,Premier_League,1500
158,Real Madrid,2020-10-24,Barcelona,La_Liga,1500
127,Ajax,2020-10-24,VVV-Venlo,Eredivisie,1530
