AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameCheck,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
,,,,,,,,,,,,,Leeds United,,,,"8:00pm, Friday 23rd October 2020.",0,0,,428888,,,,,,,,,,,,,,Aston Villa,,, Premier League
,,,,,,,,,,,,,West Bromwich Albion,,,,"5:30pm, Monday 2nd November 2020.",0,0,,428899,,,,,,,,,,,,,,Fulham,,, Premier League
,,,,,,,,,,,,,Everton,,,,"2:00pm, Sunday 1st November 2020.",0,0,,428903,,,,,,,,,,,,,,Newcastle United,,, Premier League
,,,,,,,,,,,,,Arsenal,,,,"4:30pm, Sunday 1st November 2020.",0,0,,428902,,,,,,,,,,,,,,Manchester United,,, Premier League
,,,,,,,,,,,,,Brighton and Hove Albion,,,,"7:15pm, Sunday 1st November 2020.",0,0,,428905,,,,,,,,,,,,,,Tottenham Hotspur,,, Premier League
,,,,,,,,,,,,,Chelsea,,,,"3:00pm, Saturday 31st October 2020.",0,0,,428898,,,,,,,,,,,,,,Burnley,,, Premier League
,,,,,,,,,,,,,Celtic,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425650,,,,,,,,,,,,,,Hibernian,,, Scottish Premiership
,,,,,,,,,,,,,Manchester City,,,,"12:30pm, Saturday 31st October 2020.",0,0,,428904,,,,,,,,,,,,,,Sheffield United,,, Premier League
,,,,,,,,,,,,,Hamilton Academical,,,,"3:00pm, Saturday 21st November 2020.",0,0,,425649,,,,,,,,,,,,,,Dundee United,,, Scottish Premiership
,,,,,,,,,,,,,Arminia Bielefeld,,,,"2:30pm, Saturday 7th November 2020.",0,0,,427499,,,,,,,,,,,,,,1. FC Union Berlin,,, German Bundesliga
,,,,,,,,,,,,,Cologne,,,,"7:30pm, Friday 6th November 2020.",0,0,,427505,,,,,,,,,,,,,,Werder Bremen,,, German Bundesliga
,,,,,,,,,,,,,1. FC Union Berlin,,,,"7:30pm, Monday 2nd November 2020.",0,0,,427498,,,,,,,,,,,,,,Hoffenheim,,, German Bundesliga
,,,,,,,,,,,,,Benevento,,,,"7:45pm, Monday 2nd November 2020.",0,0,,434383,,,,,,,,,,,,,,Verona,,, Italian Serie A
,,,,,,,,,,,,,Genoa,,,,"7:45pm, Sunday 1st November 2020.",0,0,,434379,,,,,,,,,,,,,,Sampdoria,,, Italian Serie A
,,,,,,,,,,,,,Sassuolo,,,,"5:00pm, Sunday 1st November 2020.",0,0,,434377,,,,,,,,,,,,,,Napoli,,, Italian Serie A
,,,,,,,,,,,,,Fiorentina,,,,"5:00pm, Sunday 1st November 2020.",0,0,,434378,,,,,,,,,,,,,,Roma,,, Italian Serie A
,,,,,,,,,,,,,Stoke City,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429793,,,,,,,,,,,,,,Swansea City,,, Sky Bet Championship
,,,,,,,,,,,,,Millwall,,,,"7:00pm, Wednesday 28th October 2020.",0,0,,429799,,,,,,,,,,,,,,Preston North End,,, Sky Bet Championship
,,,,,,,,,,,,,West Ham United,,,,"5:30pm, Saturday 31st October 2020.",0,0,,428901,,,,,,,,,,,,,,Liverpool,,, Premier League
,,,,,,,,,,,,,Coventry City,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429792,,,,,,,,,,,,,,Middlesbrough,,, Sky Bet Championship
,,,,,,,,,,,,,Norwich City,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429791,,,,,,,,,,,,,,Brentford,,, Sky Bet Championship
,,,,,,,,,,,,,Reading,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429790,,,,,,,,,,,,,,Blackburn Rovers,,, Sky Bet Championship
,,,,,,,,,,,,,Rotherham United,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429785,,,,,,,,,,,,,,Reading,,, Sky Bet Championship
,,,,,,,,,,,,,Luton Town,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429786,,,,,,,,,,,,,,Sheffield Wednesday,,, Sky Bet Championship
,,,,,,,,,,,,,Brentford,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429787,,,,,,,,,,,,,,Stoke City,,, Sky Bet Championship
,,,,,,,,,,,,,Birmingham City,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429784,,,,,,,,,,,,,,Queens Park Rangers,,, Sky Bet Championship
,,,,,,,,,,,,,Wycombe Wanderers,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429782,,,,,,,,,,,,,,Norwich City,,, Sky Bet Championship
,,,,,,,,,,,,,Preston North End,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429780,,,,,,,,,,,,,,Huddersfield Town,,, Sky Bet Championship
,,,,,,,,,,,,,Barnsley,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429781,,,,,,,,,,,,,,Millwall,,, Sky Bet Championship
,,,,,,,,,,,,,Watford,,,,"7:45pm, Tuesday 27th October 2020.",0,0,,429794,,,,,,,,,,,,,,Wycombe Wanderers,,, Sky Bet Championship
,,,,,,,,,,,,,Middlesbrough,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429778,,,,,,,,,,,,,,Cardiff City,,, Sky Bet Championship
,,,,,,,,,,,,,Blackburn Rovers,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429779,,,,,,,,,,,,,,Coventry City,,, Sky Bet Championship
,,,,,,,,,,,,,Bournemouth,,,,"12:30pm, Saturday 24th October 2020.",0,0,,429788,,,,,,,,,,,,,,Watford,,, Sky Bet Championship
,,,,,,,,,,,,,Swansea City,,,,"3:00pm, Saturday 24th October 2020.",0,0,,429777,,,,,,,,,,,,,,Bristol City,,, Sky Bet Championship
,,,,,,,,,,,,,Cagliari,,,,"7:45pm, Saturday 31st October 2020.",0,0,,434374,,,,,,,,,,,,,,Bologna,,, Italian Serie A
,,,,,,,,,,,,,Parma,,,,"5:00pm, Saturday 31st October 2020.",0,0,,434376,,,,,,,,,,,,,,Inter Milan,,, Italian Serie A
,,,,,,,,,,,,,Derby County,,,,"7:45pm, Friday 23rd October 2020.",0,0,,429783,,,,,,,,,,,,,,Nottingham Forest,,, Sky Bet Championship
,,,,,,,,,,,,,Roma,,,,"7:45pm, Monday 26th October 2020.",0,0,,434371,,,,,,,,,,,,,,AC Milan,,, Italian Serie A
,,,,,,,,,,,,,Atalanta,,,,"2:00pm, Saturday 31st October 2020.",0,0,,434375,,,,,,,,,,,,,,Crotone,,, Italian Serie A
,,,,,,,,,,,,,Udinese,,,,"5:00pm, Sunday 25th October 2020.",0,0,,434367,,,,,,,,,,,,,,Fiorentina,,, Italian Serie A
,,,,,,,,,,,,,Verona,,,,"7:45pm, Sunday 25th October 2020.",0,0,,434369,,,,,,,,,,,,,,Juventus,,, Italian Serie A
,,,,,,,,,,,,,Spezia,,,,"2:00pm, Sunday 25th October 2020.",0,0,,434372,,,,,,,,,,,,,,Parma,,, Italian Serie A
,,,,,,,,,,,,,Crotone,,,,"11:30am, Sunday 25th October 2020.",0,0,,434366,,,,,,,,,,,,,,Cagliari,,, Italian Serie A
,,,,,,,,,,,,,Torino,,,,"7:45pm, Friday 23rd October 2020.",0,0,,434373,,,,,,,,,,,,,,Sassuolo,,, Italian Serie A
,,,,,,,,,,,,,Lyon,,,,"8:00pm, Sunday 1st November 2020.",0,0,,431443,,,,,,,,,,,,,,Lille,,, French Ligue 1
,,,,,,,,,,,,,Sampdoria,,,,"2:00pm, Saturday 24th October 2020.",0,0,,434364,,,,,,,,,,,,,,Atalanta,,, Italian Serie A
,,,,,,,,,,,,,Metz,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431447,,,,,,,,,,,,,,Nimes,,, French Ligue 1
,,,,,,,,,,,,,Bordeaux,,,,"4:00pm, Sunday 1st November 2020.",0,0,,431445,,,,,,,,,,,,,,Monaco,,, French Ligue 1
,,,,,,,,,,,,,Strasbourg,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431448,,,,,,,,,,,,,,Reims,,, French Ligue 1
,,,,,,,,,,,,,Nice,,,,"2:00pm, Sunday 1st November 2020.",0,0,,431441,,,,,,,,,,,,,,Angers,,, French Ligue 1
,,,,,,,,,,,,,Montpellier,,,,"12:00pm, Sunday 1st November 2020.",0,0,,431450,,,,,,,,,,,,,,St Etienne,,, French Ligue 1
,,,,,,,,,,,,,Brest,,,,"4:00pm, Saturday 31st October 2020.",0,0,,431449,,,,,,,,,,,,,,Rennes,,, French Ligue 1
,,,,,,,,,,,,,RC Lens,,,,"8:00pm, Friday 30th October 2020.",0,0,,431444,,,,,,,,,,,,,,Marseille,,, French Ligue 1
,,,,,,,,,,,,,Monaco,,,,"8:00pm, Sunday 25th October 2020.",0,0,,431435,,,,,,,,,,,,,,Lyon,,, French Ligue 1
