AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
55.6,2,0,3,10,3,33.0,78.4,0,5,2,1,3,Motherwell,50.0,2,,"3:00pm, Sunday 30th August 2020.",0,3,425595,44.4,3,2,7,11,1,67.0,90.3,0,17,8,6,1,Celtic,66.7,1, Scottish Premiership
46.4,0,2,2,16,2,39.2,78.9,0,6,5,1,5,Dundee United,71.4,3,,"3:00pm, Saturday 12th September 2020.",0,4,425604,53.6,2,3,6,4,3,60.8,83.8,0,25,14,9,1,Rangers,84.6,1, Scottish Premiership
61.7,4,1,4,18,1,47.0,72.8,0,14,3,7,2,Aberdeen,80.0,1,,"4:30pm, Sunday 30th August 2020.",1,0,425600,38.3,3,1,6,11,5,53.0,73.6,0,8,3,2,6,Hibernian,45.5,0, Scottish Premiership
47.8,6,0,6,11,2,37.6,59.5,0,11,4,1,4,St Mirren,52.4,1,,"7:45pm, Friday 2nd October 2020.",1,2,425619,52.2,8,0,5,14,1,62.4,75.5,0,15,1,6,0,Aberdeen,50.0,1, Scottish Premiership
57.8,7,4,3,12,2,70.0,86.2,0,24,11,6,2,Rangers,55.6,2,,"5:30pm, Saturday 29th August 2020.",2,0,425596,42.2,2,0,6,11,2,30.0,65.4,1,5,1,2,4,Hamilton Academical,71.4,1, Scottish Premiership
50.0,2,1,3,11,1,58.8,76.8,0,12,7,3,1,St. Johnstone,85.7,0,,"3:00pm, Saturday 12th September 2020.",0,1,425603,50.0,0,0,2,16,1,41.2,69.9,0,6,4,2,3,Motherwell,90.9,4, Scottish Premiership
37.7,2,0,10,14,4,50.2,70.9,0,7,4,1,2,Kilmarnock,45.0,1,300.,"3:00pm, Saturday 12th September 2020.",0,1,425601,62.3,5,2,10,8,1,49.8,70.9,0,13,5,3,1,Aberdeen,50.0,0, Scottish Premiership
39.3,0,0,10,13,1,61.6,81.3,0,10,6,4,5,Willem II,64.3,3,"4,000.","5:45pm, Saturday 12th September 2020.",0,2,431744,60.7,0,3,3,12,2,38.4,75.3,0,13,6,7,4,Heerenveen,58.3,2, Dutch Eredivisie
81.3,4,3,7,11,2,57.8,86.6,0,18,4,10,5,Celtic,68.4,1,300.,"3:00pm, Saturday 12th September 2020.",5,0,425605,18.8,2,1,4,13,3,42.2,82.8,0,9,2,5,4,Ross County,69.2,1, Scottish Premiership
45.2,4,0,5,16,1,54.0,59.9,0,12,5,3,1,Livingston,46.7,2,50.,"3:00pm, Saturday 1st August 2020.",0,1,425568,54.8,0,2,2,16,2,46.0,54.8,0,5,3,2,3,St Mirren,80.0,3, Scottish Premiership
75.0,0,3,3,11,0,76.8,89.9,0,17,8,9,1,Celtic,53.8,1,,"7:45pm, Wednesday 16th September 2020.",2,1,425582,25.0,2,1,4,13,1,23.2,57.9,0,8,4,2,7,St Mirren,53.8,3, Scottish Premiership
44.8,6,1,3,16,0,56.1,71.7,0,10,2,2,3,Livingston,61.9,2,,"3:00pm, Sunday 23rd August 2020.",1,2,425589,55.2,1,3,1,11,1,43.9,67.2,0,7,1,5,1,Aberdeen,53.8,0, Scottish Premiership
51.4,6,1,7,14,4,48.2,66.7,0,15,4,5,3,Hibernian,58.3,2,,"3:00pm, Saturday 12th September 2020.",3,0,425606,48.6,5,1,8,14,1,51.7,70.8,0,15,7,3,2,St Mirren,78.6,2, Scottish Premiership
48.7,1,1,1,13,1,48.3,76.3,1,9,4,4,3,Ajax,50.0,3,"3,934.","1:30pm, Sunday 13th September 2020.",1,0,431749,51.3,4,0,2,13,0,51.7,78.6,0,14,7,3,3,Sparta Rotterdam,73.7,2, Dutch Eredivisie
57.4,1,1,2,13,1,46.4,59.2,0,12,7,4,2,Hamilton Academical,23.1,2,,"3:00pm, Saturday 12th September 2020.",2,1,425602,42.6,10,2,7,21,3,53.6,63.7,0,19,7,2,2,Livingston,53.8,2, Scottish Premiership
63.6,1,2,3,11,1,46.5,82.2,0,13,6,6,5,Feyenoord,78.9,1,"2,993.","7:00pm, Saturday 12th September 2020.",2,0,431743,36.4,4,0,3,15,0,53.5,82.5,0,17,8,5,4,PEC Zwolle,71.4,3, Dutch Eredivisie
56.7,3,1,6,17,1,55.9,83.4,0,17,8,6,2,Vitesse Arnhem,76.0,1,"1,967.","3:45pm, Sunday 13th September 2020.",1,0,431748,43.3,0,0,0,11,0,44.1,76.1,0,6,4,2,4,RKC Waalwijk,35.7,1, Dutch Eredivisie
46.2,6,3,1,10,3,58.7,86.6,0,16,4,6,1,PSV Eindhoven,58.3,2,"6,049.","3:45pm, Sunday 13th September 2020.",3,1,431746,53.8,4,1,3,12,1,41.3,80.0,0,14,8,2,3,Groningen,62.5,4, Dutch Eredivisie
40.5,2,0,2,12,0,51.8,68.4,0,5,1,2,5,St Mirren,58.3,1,,"3:00pm, Saturday 29th August 2020.",0,1,425599,59.5,4,4,11,7,2,48.2,65.3,0,21,11,6,2,St. Johnstone,57.7,0, Scottish Premiership
58.8,1,0,5,16,4,36.3,63.5,1,4,2,1,2,Ross County,66.7,3,,"3:00pm, Saturday 29th August 2020.",0,1,425598,41.2,2,2,14,15,4,63.7,77.5,0,9,4,3,1,Livingston,53.8,1, Scottish Premiership
58.1,9,0,10,12,1,67.3,81.6,0,19,9,1,5,Dundee United,64.3,1,,"3:00pm, Saturday 29th August 2020.",0,4,425597,41.9,2,1,2,13,5,32.7,69.1,0,15,4,9,1,Kilmarnock,29.4,3, Scottish Premiership
55.0,0,0,3,13,2,56.1,73.3,0,2,2,0,3,Fortuna Sittard,83.3,0,"8,000.","8:00pm, Saturday 12th September 2020.",0,2,431741,45.0,4,3,7,9,3,43.9,74.7,0,14,5,5,0,FC Twente,56.3,1, Dutch Eredivisie
66.7,2,0,2,15,0,37.6,68.1,1,8,5,1,3,ADO Den Haag,68.4,1,"2,700.","1:30pm, Sunday 13th September 2020.",0,2,431747,33.3,3,5,7,5,3,62.4,84.3,0,22,14,5,1,Heracles Almelo,71.4,1, Dutch Eredivisie
50.0,10,4,12,7,1,73.1,87.7,0,26,7,9,2,FC Utrecht,73.3,1,"1,435.","7:00pm, Friday 18th September 2020.",1,1,431750,50.0,2,2,5,15,1,26.9,58.2,0,9,4,3,6,VVV-Venlo,82.6,2, Dutch Eredivisie
61.1,3,6,3,13,3,26.7,69.8,0,14,4,7,1,VVV-Venlo,80.0,3,"2,400.","11:15am, Sunday 13th September 2020.",5,3,431745,38.9,6,0,7,10,1,73.3,86.6,0,15,4,5,3,Emmen,84.6,2, Dutch Eredivisie
32.4,3,0,5,12,0,43.8,74.3,0,7,2,2,3,Emmen,72.7,3,"8,000.","7:00pm, Saturday 19th September 2020.",1,2,431753,67.6,7,2,7,8,0,56.2,84.1,0,22,10,5,2,PSV Eindhoven,70.0,0, Dutch Eredivisie
33.3,0,1,7,15,0,30.0,65.4,1,2,1,1,6,Sparta Rotterdam,47.4,2,"4,914.","5:45pm, Saturday 19th September 2020.",0,2,431754,66.7,7,3,6,4,0,70.0,86.8,0,26,10,9,1,Vitesse Arnhem,50.0,2, Dutch Eredivisie
57.1,2,0,3,6,4,36.8,79.1,1,6,1,3,7,RKC Waalwijk,47.4,0,"12,000.","3:45pm, Sunday 20th September 2020.",0,3,431756,42.9,5,2,4,8,2,63.2,86.2,0,23,8,10,3,Ajax,78.6,1, Dutch Eredivisie
52.1,1,4,2,11,2,33.3,68.3,0,10,4,5,5,Heerenveen,76.9,0,"2,825.","8:00pm, Saturday 19th September 2020.",3,1,431752,47.9,9,2,14,9,0,66.7,79.3,0,25,9,7,2,Fortuna Sittard,38.5,4, Dutch Eredivisie
42.9,2,1,5,8,0,42.9,73.3,0,7,3,2,1,Heracles Almelo,55.6,0,"3,908.","1:30pm, Sunday 20th September 2020.",0,4,431758,57.1,3,1,8,10,0,57.1,83.6,0,19,11,5,2,Willem II,50.0,1, Dutch Eredivisie
57.6,2,1,2,22,3,58.9,82.0,1,14,8,4,2,PEC Zwolle,60.0,5,"5,000.","3:30pm, Saturday 19th September 2020.",1,1,431751,42.4,5,0,6,7,4,41.1,70.1,1,13,5,3,3,AZ Alkmaar,66.7,2, Dutch Eredivisie
