HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Osasuna,Athletic Club,La_Liga,2020-10-24,1,0,0.99,0.58,7,13,2,5,3,5,11.04,6.59,1.83,0.83
CSKA Moscow,Arsenal Tula,RFPL,2020-10-26,5,1,2.66,0.84,23,6,8,2,21,4,8.33,17.73,2.6,0.26
Real Sociedad,SD Huesca,La_Liga,2020-10-25,4,1,1.8,0.59,13,6,6,4,16,2,8.86,15.06,2.36,0.42
Atalanta,Sampdoria,Serie_A,2020-10-24,1,3,2.1,2.5,20,7,5,4,12,3,7.27,10.13,1.05,1.7
Paris Saint Germain,Dijon,Ligue_1,2020-10-24,4,0,4.09,1.49,20,16,9,3,10,2,8.05,17.1,2.73,0.2
Genoa,Inter,Serie_A,2020-10-24,0,2,0.01,1.64,1,14,0,4,0,8,16.64,6.76,0.12,2.76
VfB Stuttgart,FC Cologne,Bundesliga,2020-10-23,1,1,0.72,2.38,9,15,4,4,4,3,11.95,16.9,0.29,2.58
Cadiz,Villarreal,La_Liga,2020-10-25,0,0,0.21,0.75,5,7,0,2,4,4,24.45,4.94,0.65,1.96
Juventus,Verona,Serie_A,2020-10-25,1,1,2.18,0.6,22,6,6,2,14,7,8.38,12.19,2.47,0.37
FK Akhmat,FC Ufa,RFPL,2020-10-25,3,1,2.54,0.42,8,6,3,1,7,3,11.94,4.97,2.84,0.1
Brighton,West Bromwich Albion,Premier_League,2020-10-26,1,1,0.55,0.3,5,9,3,3,4,4,10.71,14.42,1.58,0.94
Sassuolo,Torino,Serie_A,2020-10-23,3,3,1.69,2.09,17,17,6,10,13,7,5.0,20.52,1.09,1.67
Liverpool,Sheffield United,Premier_League,2020-10-24,2,1,2.4,1.4,17,13,5,2,7,8,14.17,19.65,2.17,0.62
West Bromwich Albion,Burnley,Premier_League,2020-10-19,0,0,0.73,1.09,13,9,6,4,3,2,8.25,13.32,0.99,1.68
Barcelona,Real Madrid,La_Liga,2020-10-24,1,3,1.57,3.21,10,15,4,9,5,8,11.75,13.5,0.43,2.42
Bayer Leverkusen,Augsburg,Bundesliga,2020-10-26,3,1,2.63,0.34,16,6,8,3,6,3,7.5,19.88,2.85,0.09
Borussia Dortmund,Schalke 04,Bundesliga,2020-10-24,3,0,1.48,0.24,18,3,7,0,16,1,9.29,18.08,2.4,0.38
Benevento,Napoli,Serie_A,2020-10-25,1,2,0.65,2.27,9,19,3,5,4,11,17.3,6.31,0.35,2.49
Levante,Celta Vigo,La_Liga,2020-10-26,1,1,1.19,0.82,10,11,3,3,10,3,6.03,8.41,1.72,0.95
Parma Calcio 1913,Spezia,Serie_A,2020-10-25,2,2,3.67,0.97,17,14,6,6,6,6,12.91,8.84,2.79,0.15
Burnley,Tottenham,Premier_League,2020-10-26,0,1,0.95,0.8,13,9,4,3,4,6,14.87,9.78,1.46,1.2
Bayern Munich,Eintracht Frankfurt,Bundesliga,2020-10-24,5,0,3.81,0.43,20,8,9,2,12,1,10.0,16.91,2.92,0.05
Getafe,Granada,La_Liga,2020-10-25,0,1,1.33,0.95,10,5,1,2,4,2,2.5,5.04,1.67,0.98
Fiorentina,Udinese,Serie_A,2020-10-25,3,2,1.2,2.69,5,16,3,6,5,8,12.4,6.4,0.36,2.47
Union Berlin,Freiburg,Bundesliga,2020-10-24,1,1,1.28,0.27,18,8,7,4,1,1,13.82,10.64,2.35,0.41
Ural,FC Tambov,RFPL,2020-10-25,0,0,0.64,0.17,12,6,1,1,5,0,6.56,22.07,1.8,0.72
Nice,Lille,Ligue_1,2020-10-25,1,1,0.87,0.89,8,12,3,4,3,5,13.17,13.55,1.31,1.34
Fulham,Crystal Palace,Premier_League,2020-10-24,1,2,1.05,2.81,16,14,3,10,8,9,6.24,21.53,0.33,2.54
AC Milan,Roma,Serie_A,2020-10-26,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
Elche,Valencia,La_Liga,2020-10-23,2,1,0.17,1.24,3,14,2,4,1,8,15.83,11.41,0.33,2.43
FC Krasnodar,Spartak Moscow,RFPL,2020-10-24,1,3,1.69,1.23,17,13,6,5,3,5,10.6,8.08,1.76,0.96
Verona,Genoa,Serie_A,2020-10-19,0,0,0.88,0.38,18,6,10,2,9,1,6.9,12.86,1.8,0.82
Cagliari,Crotone,Serie_A,2020-10-25,4,2,2.08,1.41,19,12,8,6,9,6,13.81,13.06,1.88,0.88
Lyon,Monaco,Ligue_1,2020-10-25,4,1,3.43,1.89,15,18,6,5,6,7,18.89,6.96,2.34,0.51
Manchester United,Chelsea,Premier_League,2020-10-24,0,0,0.65,0.22,14,6,4,1,6,1,22.06,14.68,1.73,0.79
West Ham,Manchester City,Premier_League,2020-10-24,1,1,0.26,0.89,6,14,2,7,2,13,20.3,13.08,0.68,1.94
