web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1603835550-204,https://understat.com/league/La_liga,100.990.58,https://understat.com/match/14840,Osasuna,Athletic Club,La liga,Oct 24 2020,1,0,0.99,0.58,7,13,2,5,3,5,11.04,6.59,1.83,0.83
1603835232-165,https://understat.com/league/RFPL,512.660.84,https://understat.com/match/14316,CSKA Moscow,Arsenal Tula,RFPL,Oct 26 2020,5,1,2.66,0.84,23,6,8,2,21,4,8.33,17.73,2.6,0.26
1603835507-198,https://understat.com/league/La_liga,411.800.59,https://understat.com/match/14841,Real Sociedad,SD Huesca,La liga,Oct 25 2020,4,1,1.8,0.59,13,6,6,4,16,2,8.86,15.06,2.36,0.42
1603835299-173,https://understat.com/league/Serie_A,132.102.50,https://understat.com/match/15466,Atalanta,Sampdoria,Serie A,Oct 24 2020,1,3,2.1,2.5,20,7,5,4,12,3,7.27,10.13,1.05,1.7
1603835632-214,https://understat.com/league/Ligue_1,404.091.49,https://understat.com/match/15831,Paris Saint Germain,Dijon,Ligue 1,Oct 24 2020,4,0,4.09,1.49,20,16,9,3,10,2,8.05,17.1,2.73,0.2
1603835291-172,https://understat.com/league/Serie_A,020.011.64,https://understat.com/match/15470,Genoa,Inter,Serie A,Oct 24 2020,0,2,0.01,1.64,1,14,0,4,0,8,16.64,6.76,0.12,2.76
1603835388-184,https://understat.com/league/Bundesliga,110.722.38,https://understat.com/match/15176,VfB Stuttgart,FC Cologne,Bundesliga,Oct 23 2020,1,1,0.72,2.38,9,15,4,4,4,3,11.95,16.9,0.29,2.58
1603835521-200,https://understat.com/league/La_liga,000.210.75,https://understat.com/match/14838,Cadiz,Villarreal,La liga,Oct 25 2020,0,0,0.21,0.75,5,7,0,2,4,4,24.45,4.94,0.65,1.96
1603835248-166,https://understat.com/league/Serie_A,112.180.60,https://understat.com/match/15471,Juventus,Verona,Serie A,Oct 25 2020,1,1,2.18,0.6,22,6,6,2,14,7,8.38,12.19,2.47,0.37
1603835181-158,https://understat.com/league/RFPL,312.540.42,https://understat.com/match/14317,FK Akhmat,FC Ufa,RFPL,Oct 25 2020,3,1,2.54,0.42,8,6,3,1,7,3,11.94,4.97,2.84,0.1
1603835491-197,https://understat.com/league/EPL,110.550.30,https://understat.com/match/14487,Brighton,West Bromwich Albion,EPL,Oct 26 2020,1,1,0.55,0.3,5,9,3,3,4,4,10.71,14.42,1.58,0.94
1603835306-174,https://understat.com/league/Serie_A,331.692.09,https://understat.com/match/15475,Sassuolo,Torino,Serie A,Oct 23 2020,3,3,1.69,2.09,17,17,6,10,13,7,5.0,20.52,1.09,1.67
1603835433-189,https://understat.com/league/EPL,212.401.40,https://understat.com/match/14490,Liverpool,Sheffield United,EPL,Oct 24 2020,2,1,2.4,1.4,17,13,5,2,7,8,14.17,19.65,2.17,0.62
1603835476-195,https://understat.com/league/EPL,000.731.09,https://understat.com/match/14484,West Bromwich Albion,Burnley,EPL,Oct 19 2020,0,0,0.73,1.09,13,9,6,4,3,2,8.25,13.32,0.99,1.68
1603835558-205,https://understat.com/league/La_liga,131.573.21,https://understat.com/match/14836,Barcelona,Real Madrid,La liga,Oct 24 2020,1,3,1.57,3.21,10,15,4,9,5,8,11.75,13.5,0.43,2.42
1603835395-185,https://understat.com/league/Bundesliga,312.630.34,https://understat.com/match/15184,Bayer Leverkusen,Augsburg,Bundesliga,Oct 26 2020,3,1,2.63,0.34,16,6,8,3,6,3,7.5,19.88,2.85,0.09
1603835352-179,https://understat.com/league/Bundesliga,301.480.24,https://understat.com/match/15181,Borussia Dortmund,Schalke 04,Bundesliga,Oct 24 2020,3,0,1.48,0.24,18,3,7,0,16,1,9.29,18.08,2.4,0.38
1603835270-169,https://understat.com/league/Serie_A,120.652.27,https://understat.com/match/15467,Benevento,Napoli,Serie A,Oct 25 2020,1,2,0.65,2.27,9,19,3,5,4,11,17.3,6.31,0.35,2.49
1603835572-207,https://understat.com/league/La_liga,111.190.82,https://understat.com/match/14839,Levante,Celta Vigo,La liga,Oct 26 2020,1,1,1.19,0.82,10,11,3,3,10,3,6.03,8.41,1.72,0.95
1603835263-168,https://understat.com/league/Serie_A,223.670.97,https://understat.com/match/15474,Parma Calcio 1913,Spezia,Serie A,Oct 25 2020,2,2,3.67,0.97,17,14,6,6,6,6,12.91,8.84,2.79,0.15
1603835484-196,https://understat.com/league/EPL,010.950.80,https://understat.com/match/14488,Burnley,Tottenham,EPL,Oct 26 2020,0,1,0.95,0.8,13,9,4,3,4,6,14.87,9.78,1.46,1.2
1603835359-180,https://understat.com/league/Bundesliga,503.810.43,https://understat.com/match/15180,Bayern Munich,Eintracht Frankfurt,Bundesliga,Oct 24 2020,5,0,3.81,0.43,20,8,9,2,12,1,10.0,16.91,2.92,0.05
1603835514-199,https://understat.com/league/La_liga,011.330.95,https://understat.com/match/14837,Getafe,Granada,La liga,Oct 25 2020,0,1,1.33,0.95,10,5,1,2,4,2,2.5,5.04,1.67,0.98
1603835255-167,https://understat.com/league/Serie_A,321.202.69,https://understat.com/match/15469,Fiorentina,Udinese,Serie A,Oct 25 2020,3,2,1.2,2.69,5,16,3,6,5,8,12.4,6.4,0.36,2.47
1603835381-183,https://understat.com/league/Bundesliga,111.280.27,https://understat.com/match/15177,Union Berlin,Freiburg,Bundesliga,Oct 24 2020,1,1,1.28,0.27,18,8,7,4,1,1,13.82,10.64,2.35,0.41
1603835196-160,https://understat.com/league/RFPL,000.640.17,https://understat.com/match/14313,Ural,FC Tambov,RFPL,Oct 25 2020,0,0,0.64,0.17,12,6,1,1,5,0,6.56,22.07,1.8,0.72
1603835595-209,https://understat.com/league/Ligue_1,110.870.89,https://understat.com/match/15830,Nice,Lille,Ligue 1,Oct 25 2020,1,1,0.87,0.89,8,12,3,4,3,5,13.17,13.55,1.31,1.34
1603835447-191,https://understat.com/league/EPL,121.052.81,https://understat.com/match/14489,Fulham,Crystal Palace,EPL,Oct 24 2020,1,2,1.05,2.81,16,14,3,10,8,9,6.24,21.53,0.33,2.54
1603835320-176,https://understat.com/league/Serie_A,332.822.36,https://understat.com/match/15473,AC Milan,Roma,Serie A,Oct 26 2020,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
1603835565-206,https://understat.com/league/La_liga,210.171.24,https://understat.com/match/14844,Elche,Valencia,La liga,Oct 23 2020,2,1,0.17,1.24,3,14,2,4,1,8,15.83,11.41,0.33,2.43
1603835203-161,https://understat.com/league/RFPL,131.691.23,https://understat.com/match/14318,FC Krasnodar,Spartak Moscow,RFPL,Oct 24 2020,1,3,1.69,1.23,17,13,6,5,3,5,10.6,8.08,1.76,0.96
1603835313-175,https://understat.com/league/Serie_A,000.880.38,https://understat.com/match/15465,Verona,Genoa,Serie A,Oct 19 2020,0,0,0.88,0.38,18,6,10,2,9,1,6.9,12.86,1.8,0.82
