AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
57.8,7,4,4,7,3,57.3,83.6,0,21,9,5,3,Sevilla,47.1,1,"17,402.","5:30pm, Sunday 17th February 2019.",0,3,399543,42.2,3,4,6,7,3,42.7,77.6,0,12,3,6,5,Villarreal,52.4,4, Spanish La Liga
58.7,5,0,4,15,3,52.6,80.4,0,8,1,2,4,Celta Vigo,66.7,2,"15,021.","5:30pm, Saturday 23rd February 2019.",0,0,399544,41.3,3,0,3,15,3,47.4,77.7,0,17,10,4,2,Alaves,57.9,2, Spanish La Liga
41.3,2,1,2,10,1,54.5,68.7,0,7,3,2,3,Eibar,83.3,4,"43,514.","7:45pm, Saturday 23rd February 2019.",0,1,399545,58.7,0,3,10,10,5,45.5,61.7,0,9,5,4,2,Athletic Bilbao,60,3, Spanish La Liga
50,5,2,7,9,0,48.9,85.7,0,14,6,3,5,Villarreal,66.7,3,"58,832.","3:15pm, Sunday 24th February 2019.",0,2,399546,50,3,3,6,9,3,51.1,87.2,0,15,5,7,3,Atletico Madrid,46.2,0, Spanish La Liga
51.4,2,1,4,9,5,31.6,70.8,0,12,6,4,2,SD Huesca,86.7,4,"19,554.","8:00pm, Friday 22nd February 2019.",1,1,399547,48.6,4,1,7,9,5,68.4,83.3,0,13,7,2,3,Espanyol,52.6,1, Spanish La Liga
43.2,1,1,2,12,3,57.9,79.8,0,7,4,2,0,Rayo Vallecano,60,1,"11,019.","12:00pm, Saturday 23rd February 2019.",1,2,399548,56.8,2,1,2,12,3,42.1,67.5,0,11,7,2,1,Getafe,68.4,2, Spanish La Liga
51,2,0,5,26,4,54.1,81.3,0,7,4,1,3,Real Sociedad,81.8,1,"10,026.","8:00pm, Monday 25th February 2019.",0,0,399549,49,3,2,3,26,1,45.9,77.4,0,10,4,3,1,Girona,64.7,4, Spanish La Liga
36.2,0,1,2,14,0,50.4,78.4,0,6,5,1,5,Valencia,77.8,3,"10,970.","11:00am, Sunday 24th February 2019.",1,1,399550,63.8,3,0,4,14,0,49.6,81.2,0,17,8,6,0,Leganes,50,5, Spanish La Liga
68.2,8,1,6,17,0,60.5,84.8,1,19,6,5,1,Real Madrid,76.9,1,"22,067.","7:45pm, Sunday 24th February 2019.",2,1,399551,31.8,2,2,4,17,2,39.5,76,1,11,7,2,3,Levante,53.8,3, Spanish La Liga
73.9,1,0,4,10,1,51.7,84.2,0,6,3,2,2,Real Betis,41.7,2,"19,931.","5:30pm, Sunday 24th February 2019.",2,0,399552,26.1,3,1,13,10,5,48.3,83.1,0,10,5,2,1,Real Valladolid,72.2,1, Spanish La Liga
61.8,7,2,8,15,3,60.4,85.6,0,17,2,8,2,Barcelona,40,1,"40,761.","3:15pm, Saturday 23rd February 2019.",4,2,399553,38.2,6,3,3,15,4,39.6,77.6,0,13,3,4,4,Sevilla,75,6, Spanish La Liga
54.9,1,1,0,14,3,37.2,63.8,0,3,1,1,3,Celta Vigo,58.8,1,"4,736.","11:00am, Sunday 3rd March 2019.",0,1,399554,45.1,6,0,7,14,5,62.8,76.3,0,15,5,4,1,Eibar,61.5,1, Spanish La Liga
37.5,3,1,3,17,1,46.3,74.4,0,14,8,3,3,Real Valladolid,63.6,2,"20,059.","12:00pm, Saturday 2nd March 2019.",1,3,399555,62.5,2,5,5,17,3,53.7,80.6,0,15,7,6,2,Espanyol,40,2, Spanish La Liga
51.1,3,1,12,15,4,71.5,80.8,0,12,4,5,1,Sevilla,71.4,4,"6,834.","5:30pm, Saturday 2nd March 2019.",1,2,399556,48.9,1,1,3,15,1,28.5,53.7,0,7,3,3,1,SD Huesca,71.4,5, Spanish La Liga
35.3,3,4,2,15,3,60.9,80.9,0,15,8,4,2,Levante,80,4,"9,422.","8:00pm, Monday 4th March 2019.",0,1,399557,64.7,3,3,2,15,0,39.1,71,0,14,8,3,4,Leganes,61.9,6, Spanish La Liga
44.2,3,2,1,17,2,45.6,78.5,0,12,5,4,3,Girona,50,4,"11,714.","8:00pm, Friday 1st March 2019.",2,0,399558,55.8,2,1,7,17,1,54.4,79.7,1,9,4,3,2,Rayo Vallecano,75,3, Spanish La Liga
51,4,2,4,14,2,35.3,65.8,0,11,2,5,1,Getafe,83.3,2,"46,211.","3:15pm, Sunday 3rd March 2019.",2,1,399559,49,0,1,4,14,4,64.7,81.3,0,6,4,2,3,Real Betis,66.7,2, Spanish La Liga
50,0,1,6,16,2,51.3,84.2,0,9,5,4,3,Barcelona,66.7,2,"78,819.","7:45pm, Saturday 2nd March 2019.",1,0,399560,50,7,0,8,16,2,48.7,85.4,0,17,7,3,3,Real Madrid,52.6,3, Spanish La Liga
42.9,1,3,4,12,0,38.6,77.5,1,8,4,3,3,Atletico Madrid,40.9,2,"25,955.","5:30pm, Sunday 3rd March 2019.",2,0,399561,57.1,5,0,7,12,0,61.4,87.6,0,19,11,3,1,Real Sociedad,50,1, Spanish La Liga
65.6,1,1,2,12,0,49.6,84.1,0,4,2,1,1,Athletic Bilbao,70,3,"39,119.","7:45pm, Sunday 3rd March 2019.",0,2,399562,34.4,2,1,6,12,1,50.4,83.8,0,11,6,3,1,Valencia,75,0, Spanish La Liga
46,2,2,2,15,3,40.2,69.9,0,10,6,2,2,Alaves,58.8,3,"15,552.","3:15pm, Saturday 2nd March 2019.",2,1,399563,54,3,1,8,15,5,59.8,80.3,0,9,4,2,0,Villarreal,84.2,2, Spanish La Liga
38.6,5,4,5,10,3,56.5,68.6,0,20,12,3,2,Eibar,62.5,1,"15,175.","12:00pm, Saturday 9th March 2019.",1,1,399564,61.4,3,3,3,10,0,43.5,60.8,0,16,10,3,2,Alaves,60,1, Spanish La Liga
43.1,1,2,0,13,2,34.8,70.4,0,5,2,2,5,Espanyol,81.8,5,"38,779.","8:00pm, Friday 8th March 2019.",1,1,399565,56.9,1,0,7,13,3,65.2,82.4,0,15,8,6,1,Athletic Bilbao,52.6,3, Spanish La Liga
41.2,0,0,4,9,0,55.4,82.8,0,3,1,2,3,Leganes,66.7,2,"58,174.","3:15pm, Saturday 9th March 2019.",0,1,399566,58.8,4,0,4,9,0,44.6,77.4,0,13,5,4,2,Atletico Madrid,57.9,2, Spanish La Liga
61.5,4,1,4,12,2,31.1,78.9,0,8,3,1,3,Rayo Vallecano,60.9,2,"74,158.","5:30pm, Saturday 9th March 2019.",1,3,399567,38.5,2,4,10,12,5,68.9,89.9,0,12,4,6,0,Barcelona,73.9,1, Spanish La Liga
52.2,4,2,4,17,1,62.4,88.3,0,14,6,4,1,Real Betis,52.6,0,"18,132.","11:00am, Sunday 10th March 2019.",1,0,399568,47.8,0,0,4,17,6,37.6,82.4,0,7,6,1,3,Celta Vigo,53.8,3, Spanish La Liga
48.3,5,1,1,14,3,43.2,58.8,0,7,1,1,3,SD Huesca,52.2,4,"10,683.","7:45pm, Saturday 9th March 2019.",1,2,399569,51.7,1,0,13,14,4,56.8,67,0,13,7,5,0,Getafe,64.3,0, Spanish La Liga
36.6,3,2,1,13,4,39.8,78.5,1,11,2,6,5,Valencia,54.5,2,"11,502.","3:15pm, Sunday 10th March 2019.",3,2,399570,63.4,4,1,6,13,0,60.2,84.4,0,17,6,7,3,Girona,60,1, Spanish La Liga
78.1,3,1,2,8,2,48.5,79.7,0,13,5,5,3,Villarreal,43.8,5,"19,621.","5:30pm, Sunday 10th March 2019.",2,0,399571,21.9,2,2,8,8,2,51.5,78.1,0,11,6,3,4,Levante,54.5,3, Spanish La Liga
63,4,5,12,14,1,62.3,88.6,1,15,5,6,1,Real Madrid,64.3,4,"21,914.","7:45pm, Sunday 10th March 2019.",4,1,399572,37,1,2,5,14,5,37.7,80.7,0,10,7,2,2,Real Valladolid,41.7,1, Spanish La Liga
