AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
40,1,0,2,13,0,49.2,86.8,0,7,4,2,7,Nice,68.8,1,"23,706.","2:00pm, Sunday 14th April 2019.",0,0,390000,60,1,1,4,13,2,50.8,87,0,14,6,7,2,Rennes,57.9,2, French Ligue 1
45.2,0,1,4,13,1,49.7,79.7,0,4,3,1,3,Bordeaux,63.2,0,"33,935.","4:00pm, Sunday 14th April 2019.",0,3,390001,54.8,2,3,8,13,1,50.3,79,0,14,6,6,1,St Etienne,61.5,2, French Ligue 1
53.5,5,2,4,12,1,35.9,67.7,0,15,5,5,3,Guingamp,83.3,2,"25,190.","7:00pm, Saturday 13th April 2019.",3,3,390002,46.5,0,2,1,12,0,64.1,79.4,0,9,3,6,2,Strasbourg,50,1, French Ligue 1
54.9,5,1,6,17,3,69.3,85.5,0,10,1,4,6,Rennes,50,3,"12,751.","6:00pm, Friday 19th April 2019.",2,3,390003,45.1,0,1,6,17,1,30.7,68.8,0,12,2,10,2,Dijon,64.7,2, French Ligue 1
47.2,3,2,5,16,0,56,76.1,0,15,6,6,2,Marseille,60,3,"18,164.","4:00pm, Saturday 20th April 2019.",3,1,390004,52.8,3,2,3,16,2,44,69.8,0,9,3,3,3,Guingamp,56.3,2, French Ligue 1
60,3,1,7,9,1,35.8,81.5,0,11,5,3,9,Angers,69.2,2,"43,917.","7:45pm, Friday 19th April 2019.",1,2,390005,40,3,4,7,9,1,64.2,91,0,24,10,11,3,Lyon,53.3,0, French Ligue 1
51.4,2,1,1,14,0,45.1,78.8,0,8,2,4,1,Amiens,72.7,3,"19,253.","2:00pm, Sunday 21st April 2019.",2,3,390006,48.6,3,2,4,14,6,54.9,82.7,0,11,4,4,2,Nantes,55.6,2, French Ligue 1
57.9,0,1,4,8,0,35.5,78.7,0,7,5,2,8,Caen,59.1,3,"17,092.","7:00pm, Saturday 20th April 2019.",1,0,390007,42.1,7,2,11,8,1,64.5,89.8,0,21,6,8,1,Nice,70.6,2, French Ligue 1
50,3,1,6,14,5,60.1,87,0,11,6,2,0,Bordeaux,70.6,4,"13,910.","7:00pm, Saturday 20th April 2019.",1,2,390008,50,2,0,3,14,0,39.9,75.7,0,8,4,2,1,Nimes,81.3,0, French Ligue 1
46.7,3,1,6,16,0,57.4,84.7,0,14,8,3,1,St Etienne,57.1,0,"19,102.","4:00pm, Sunday 21st April 2019.",2,0,390009,53.3,1,1,1,16,4,42.6,79.3,0,8,6,1,2,Reims,55,3, French Ligue 1
61.1,3,2,5,16,1,45.8,79.4,0,20,10,7,0,Montpellier,27.3,2,"25,192.","7:00pm, Saturday 20th April 2019.",3,1,390010,38.9,3,0,2,16,2,54.2,78.2,0,6,2,1,4,Strasbourg,66.7,2, French Ligue 1
48.6,3,1,3,16,1,51,77.2,0,16,9,4,2,Lille,48.1,3,"15,002.","2:00pm, Sunday 21st April 2019.",0,0,390011,51.4,4,0,2,16,3,49,72.1,0,10,4,2,4,Toulouse,73.7,2, French Ligue 1
55.6,5,1,4,13,1,36.9,78.3,0,15,6,4,2,Monaco,54.8,1,"43,581.","8:00pm, Sunday 21st April 2019.",1,3,390012,44.4,0,5,3,13,3,63.1,87.3,0,10,5,5,3,Paris Saint-Germain,61.5,0, French Ligue 1
43.9,3,0,1,12,2,52.7,81,0,7,3,1,1,Strasbourg,56.5,3,"11,833.","2:00pm, Sunday 28th April 2019.",0,0,390013,56.1,2,1,3,12,2,47.3,81.3,0,8,5,1,1,Amiens,71.4,1, French Ligue 1
33.3,0,0,0,6,1,42.3,81.3,0,5,1,4,3,Reims,64.3,3,"11,464.","2:00pm, Sunday 28th April 2019.",1,1,390014,66.7,3,1,4,6,2,57.7,87,0,9,2,4,3,Angers,66.7,0, French Ligue 1
75,3,4,3,15,3,63,87.2,0,18,10,5,0,Lyon,50,3,"27,455.","7:45pm, Friday 26th April 2019.",3,2,390015,25,3,1,2,15,0,37,79.1,1,10,5,2,2,Bordeaux,31.8,3, French Ligue 1
46.9,2,1,3,17,0,48.5,69.9,0,13,8,3,1,Dijon,70,4,"19,004.","2:00pm, Sunday 28th April 2019.",0,1,390016,53.1,6,2,5,17,0,51.5,75.4,0,14,6,2,3,Caen,46.2,1, French Ligue 1
32,0,1,4,8,2,40.3,78.9,0,8,5,3,3,Nimes,80,2,"36,356.","2:00pm, Sunday 28th April 2019.",0,5,390017,68,2,4,1,8,3,59.7,87.2,0,14,4,8,3,Lille,64.3,1, French Ligue 1
48.1,3,0,4,13,3,35.1,64.2,0,14,5,6,2,Nantes,76.9,1,"51,969.","8:00pm, Sunday 28th April 2019.",2,1,390018,51.9,5,2,7,13,0,64.9,83.8,0,17,10,2,4,Marseille,65,4, French Ligue 1
40.7,2,1,3,17,0,66.2,89.2,0,8,3,3,5,Paris Saint-Germain,88.9,4,"20,477.","6:00pm, Tuesday 30th April 2019.",2,3,390019,59.3,2,3,9,17,1,33.8,76,0,15,5,8,1,Montpellier,59.3,3, French Ligue 1
43.6,1,1,4,12,1,38.8,80.9,0,13,9,3,2,Guingamp,65,3,"16,374.","2:00pm, Sunday 28th April 2019.",0,3,390020,56.4,5,2,2,12,1,61.2,90.1,0,15,5,5,3,Nice,58.3,4, French Ligue 1
55.9,4,0,9,13,1,49.1,80.9,0,16,7,5,2,Monaco,36.4,2,"28,285.","6:00pm, Wednesday 1st May 2019.",2,2,390021,44.1,1,2,5,13,0,50.9,79.9,0,10,5,4,3,Rennes,50,2, French Ligue 1
33.3,3,0,6,17,2,45.8,73.6,0,12,6,3,5,Toulouse,72.7,2,"28,203.","4:00pm, Sunday 28th April 2019.",0,2,390022,66.7,3,2,5,17,1,54.2,83.3,0,14,4,7,3,St Etienne,58.8,1, French Ligue 1
60.7,3,2,1,17,0,37.2,79.5,0,9,5,1,2,Angers,52.6,0,"18,584.","7:00pm, Saturday 4th May 2019.",1,0,390023,39.3,3,0,5,17,3,62.8,87.6,0,10,5,2,0,Bordeaux,65,2, French Ligue 1
62.5,0,1,0,24,1,35.9,61.3,0,1,1,0,1,Caen,53.8,4,"16,879.","7:00pm, Saturday 4th May 2019.",0,0,390024,37.5,1,0,5,24,1,64.1,78.6,0,10,8,1,0,Guingamp,33.3,1, French Ligue 1
